basin_id,horizon,MSE,MAE,NSE,RMSE
CA_15020,1,0.22242874,0.30183095,0.899657815694809,0.4716235
CA_15020,2,0.31440794,0.35384107,0.8587728291749954,0.5607209
CA_15020,3,0.39746502,0.39531574,0.8222961127758026,0.6304483
CA_15020,4,0.51854014,0.45467478,0.7693233340978622,0.7200973
CA_15020,5,0.60133123,0.4967738,0.7338187396526337,0.7754555
CA_15020,6,0.61215496,0.5107125,0.7303545475006104,0.78240335
CA_15020,7,0.677261,0.5426311,0.7031266987323761,0.8229587
CA_15020,8,0.79847604,0.59069514,0.6519689559936523,0.8935749
CA_15020,9,0.9439302,0.6447611,0.5914423167705536,0.9715607
CA_15020,10,0.99677205,0.66707355,0.571130245923996,0.9983847
CA_15022,1,0.325604,0.35826516,0.9077690988779068,0.5706172
CA_15022,2,0.40816376,0.41248024,0.8850201219320297,0.638877
CA_15022,3,0.5374613,0.4592752,0.8494187593460083,0.7331175
CA_15022,4,0.734058,0.53360456,0.7954447269439697,0.8567719
CA_15022,5,0.8646184,0.5853332,0.7602544575929642,0.9298486
CA_15022,6,0.8815703,0.6027316,0.7568325996398926,0.9389197
CA_15022,7,1.0045894,0.64963216,0.7243367433547974,1.002292
CA_15022,8,1.1627531,0.71198905,0.6824553310871124,1.0783103
CA_15022,9,1.3129009,0.77026236,0.643265038728714,1.1458188
CA_15022,10,1.4070723,0.810481,0.6195851862430573,1.1862007
CA_15025,1,0.08195888,0.20606822,0.9063730388879776,0.28628463
CA_15025,2,0.11958982,0.23776935,0.8636509329080582,0.34581763
CA_15025,3,0.14242905,0.24757276,0.8379749953746796,0.37739775
CA_15025,4,0.18106866,0.27352184,0.7945872098207474,0.42552164
CA_15025,5,0.20520386,0.2931098,0.767974853515625,0.45299432
CA_15025,6,0.19212623,0.2850411,0.7834468185901642,0.43832207
CA_15025,7,0.19845429,0.2883821,0.7769740223884583,0.44548208
CA_15025,8,0.24754277,0.3236143,0.7233323156833649,0.4975367
