gauge_id,cluster_0_prob,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob,cluster_11_prob,cluster_12_prob,predicted_cluster
CA_15013,0.023333333333333334,0.04666666666666667,0.03,0.18,0.043333333333333335,0.16666666666666666,0.023333333333333334,0.16,0.15333333333333332,0.03666666666666667,0.043333333333333335,0.0033333333333333335,0.09,3
CA_15016,0.08,0.03,0.03,0.14,0.023333333333333334,0.24333333333333335,0.03666666666666667,0.14666666666666667,0.08666666666666667,0.04,0.06,0.01,0.07333333333333333,5
CA_15020,0.09666666666666666,0.03666666666666667,0.016666666666666666,0.12,0.023333333333333334,0.3,0.03666666666666667,0.12333333333333334,0.04666666666666667,0.05333333333333334,0.06666666666666667,0.01,0.07,5
CA_15022,0.1,0.03,0.023333333333333334,0.12,0.03,0.25333333333333335,0.03666666666666667,0.18,0.05,0.04,0.06666666666666667,0.006666666666666667,0.06333333333333334,5
CA_15025,0.10666666666666667,0.03,0.023333333333333334,0.13,0.023333333333333334,0.2966666666666667,0.03,0.14333333333333334,0.05,0.03333333333333333,0.07,0.006666666666666667,0.056666666666666664,5
CA_15030,0.11333333333333333,0.04,0.023333333333333334,0.14,0.02,0.2733333333333333,0.03333333333333333,0.12,0.05333333333333334,0.043333333333333335,0.08333333333333333,0.006666666666666667,0.05,5
CA_15034,0.10666666666666667,0.04,0.02666666666666667,0.15,0.02666666666666667,0.26,0.03,0.11333333333333333,0.06,0.043333333333333335,0.07666666666666666,0.006666666666666667,0.06,5
CA_15039,0.12,0.056666666666666664,0.03333333333333333,0.14333333333333334,0.03666666666666667,0.21666666666666667,0.07,0.11,0.07333333333333333,0.05,0.03,0.006666666666666667,0.05333333333333334,5
CA_15040,0.1,0.02666666666666667,0.03333333333333333,0.14333333333333334,0.02,0.27666666666666667,0.02666666666666667,0.14,0.07666666666666666,0.02666666666666667,0.06,0.0033333333333333335,0.06666666666666667,5
CA_15044,0.10333333333333333,0.023333333333333334,0.03333333333333333,0.20333333333333334,0.013333333333333334,0.20333333333333334,0.03,0.12666666666666668,0.09,0.02666666666666667,0.05333333333333334,0.0,0.09333333333333334,3
