gauge_id,cluster
CH_2009,0
CH_2011,0
CH_2016,8
CH_2018,0
CH_2019,0
CH_2020,0
CH_2024,0
CH_2033,0
CH_2034,9
CH_2044,8
CH_2053,2
CH_2056,0
CH_2063,2
CH_2067,0
CH_2070,8
CH_2078,0
CH_2084,0
CH_2085,0
CH_2086,10
CH_2087,0
CH_2091,2
CH_2106,9
CH_2109,0
CH_2110,0
CH_2112,11
CH_2117,0
CH_2119,8
CH_2122,9
CH_2126,9
CH_2132,9
CH_2135,0
CH_2139,2
CH_2141,0
CH_2143,0
CH_2150,2
CH_2151,0
CH_2155,8
CH_2159,8
CH_2160,2
CH_2161,0
CH_2170,2
CH_2174,2
CH_2176,11
CH_2179,8
CH_2181,11
CH_2185,0
CH_2187,2
CH_2199,9
CH_2200,0
CH_2202,9
CH_2203,2
CH_2205,2
CH_2210,9
CH_2215,8
CH_2239,0
CH_2243,2
CH_2247,9
CH_2262,0
CH_2263,0
CH_2265,2
CH_2269,0
CH_2270,9
CH_2289,2
CH_2290,9
CH_2303,11
CH_2307,9
CH_2321,8
CH_2342,2
CH_2346,0
CH_2351,0
CH_2352,0
CH_2355,0
CH_2364,0
CH_2368,10
CH_2369,9
CH_2372,0
CH_2374,6
CH_2378,9
CH_2386,9
CH_2387,0
CH_2403,2
CH_2409,2
CH_2410,0
CH_2415,9
CH_2418,2
CH_2419,0
CH_2420,0
CH_2426,2
CH_2432,9
CH_2433,8
CH_2434,9
CH_2450,9
CH_2458,9
CH_2468,11
CH_2469,0
CH_2471,9
CH_2473,0
CH_2475,10
CH_2478,9
CH_2480,9
CH_2481,0
CH_2485,9
CH_2487,11
CH_2488,2
CH_2490,9
CH_2491,0
CH_2493,9
CH_2494,0
CH_2497,9
CH_2498,0
CH_2602,0
CH_2603,11
CH_2605,0
CH_2610,9
CH_2617,0
CH_2634,8
CH_3009,0
CH_3019,2
CH_3032,2
CH_3033,0
CH_4002,9
CH_4004,9
CH_4006,9
CH_4007,9
CH_4009,9
CH_4010,0
CH_4011,9
CH_4015,9
CH_4016,1
CH_4017,9
CH_4018,9
CH_4020,1
CH_5009,9
CH_5014,9
CH_5032,9
CL_10100002,0
CL_10100006,10
CL_10102001,0
CL_10111001,0
CL_10121001,0
CL_10122001,0
CL_10122003,0
CL_10133000,0
CL_10134001,0
CL_10137001,0
CL_10140001,0
CL_10142003,0
CL_1020003,4
CL_10304001,0
CL_10305001,0
CL_10306001,0
CL_10313001,0
CL_10322003,10
CL_10328001,0
CL_10340001,0
CL_10343001,0
