gauge_id,cluster
CH_2009,14
CH_2011,14
CH_2016,3
CH_2018,14
CH_2019,14
CH_2020,14
CH_2024,14
CH_2033,14
CH_2034,8
CH_2044,3
CH_2053,14
CH_2056,14
CH_2063,3
CH_2067,14
CH_2070,3
CH_2078,14
CH_2084,14
CH_2085,14
CH_2086,2
CH_2087,14
CH_2091,14
CH_2106,8
CH_2109,14
CH_2110,14
CH_2112,14
CH_2117,14
CH_2119,3
CH_2122,8
CH_2126,8
CH_2132,8
CH_2135,14
CH_2139,3
CH_2141,14
CH_2143,14
CH_2150,14
CH_2151,14
CH_2155,3
CH_2159,3
CH_2160,13
CH_2161,14
CH_2170,14
CH_2174,3
CH_2176,3
CH_2179,3
CH_2181,3
CH_2185,14
CH_2187,14
CH_2199,8
CH_2200,14
CH_2202,8
CH_2203,13
CH_2205,14
CH_2210,8
CH_2215,3
CH_2239,14
CH_2243,14
CH_2247,8
CH_2262,14
CH_2263,14
CH_2265,14
CH_2269,14
CH_2270,8
CH_2289,14
CH_2290,8
CH_2303,3
CH_2307,8
CH_2321,2
CH_2342,14
CH_2346,14
CH_2351,14
CH_2352,14
CH_2355,14
CH_2364,10
CH_2368,2
CH_2369,8
CH_2372,14
CH_2374,3
CH_2378,8
CH_2386,8
CH_2387,14
CH_2403,13
CH_2409,3
CH_2410,14
CH_2415,8
CH_2418,13
CH_2419,14
CH_2420,14
CH_2426,14
CH_2432,8
CH_2433,4
CH_2434,8
CH_2450,8
CH_2458,1
CH_2468,3
CH_2469,14
CH_2471,8
CH_2473,14
CH_2475,2
CH_2478,8
CH_2480,8
CH_2481,14
CH_2485,8
CH_2487,3
CH_2488,13
CH_2490,8
CH_2491,14
CH_2493,8
CH_2494,14
CH_2497,8
CH_2498,14
CH_2602,14
CH_2603,3
CH_2605,2
CH_2610,8
CH_2617,14
CH_2634,3
CH_3009,14
CH_3019,14
CH_3032,14
CH_3033,14
CH_4002,8
CH_4004,1
CH_4006,8
CH_4007,8
CH_4009,8
CH_4010,14
CH_4011,8
CH_4015,8
CH_4016,6
CH_4017,8
CH_4018,8
CH_4020,6
CH_5009,8
CH_5014,8
CH_5032,8
CL_10100002,8
CL_10100006,8
CL_10102001,8
CL_10111001,1
CL_10121001,1
CL_10122001,1
CL_10122003,1
CL_10133000,1
CL_10134001,1
CL_10137001,1
CL_10140001,1
CL_10142003,1
CL_1020003,10
CL_10304001,8
CL_10305001,1
CL_10306001,8
CL_10313001,1
CL_10322003,8
CL_10328001,1
CL_10340001,1
CL_10343001,1
CL_10343002,1
CL_10344003,1
CL_10344004,1
CL_10351001,1
CL_10356001,1
CL_10362001,1
CL_10363002,1
CL_10364001,1
CL_10405002,1
CL_10405005,1
CL_10431001,11
CL_10432002,1
CL_1050002,10
CL_10514001,8
CL_10523002,8
CL_11040001,9
CL_11143001,4
CL_11314001,1
CL_11342001,4
CL_11536004,10
CL_11542001,10
CL_11711000,10
CL_1201005,10
CL_12280002,10
CL_12284002,13
CL_12284003,13
CL_12284006,13
CL_12284007,13
CL_12285001,1
CL_12285003,4
CL_12286002,2
CL_12287001,10
CL_12289001,10
CL_12289002,10
CL_12291001,4
CL_12400004,1
CL_12452001,2
CL_12561001,4
CL_12563001,2
CL_12582001,4
CL_12585001,4
CL_12600001,4
CL_12622001,4
CL_12802001,1
CL_12805001,1
CL_12806001,1
CL_12820001,6
CL_12825002,14
CL_12861001,11
CL_12872001,1
CL_12876001,4
CL_12878001,4
CL_1730001,10
CL_2104003,10
CL_3404001,8
CL_3414001,14
CL_3430001,14
CL_3430002,13
CL_3434001,2
CL_3453001,10
CL_3804002,14
CL_3806001,14
CL_3814001,13
CL_3814003,14
CL_3820002,2
CL_4301002,14
CL_4302001,13
CL_4308001,14
CL_4311001,13
CL_4313001,13
CL_4314002,13
CL_4320001,14
CL_4323001,13
CL_4400001,1
CL_4501001,13
CL_4503001,12
CL_4511002,13
CL_4512001,13
CL_4513001,3
CL_4514001,13
CL_4515001,3
CL_4520001,0
CL_4523001,13
CL_4523002,4
CL_4532001,13
CL_4533002,1
CL_4540002,11
CL_4703002,13
CL_4704001,4
CL_4712001,3
CL_4721001,13
CL_4723001,3
CL_4726001,4
CL_5200001,3
CL_5401003,14
CL_5402001,13
CL_5406001,13
CL_5410002,14
CL_5414001,13
CL_5421002,2
CL_5701001,14
CL_5702001,14
CL_5706001,14
CL_5707002,14
CL_5710001,14
CL_5716001,1
CL_5721001,14
CL_5722001,4
CL_5722002,3
CL_5730005,11
CL_5730008,4
CL_5737002,8
CL_5746001,11
CL_5748001,6
CL_6000003,14
CL_6013001,4
CL_6027001,8
CL_6033001,8
CL_6034001,1
CL_7103001,8
CL_7104002,4
CL_7112001,3
CL_7115001,3
CL_7116001,1
CL_7123001,1
CL_7303000,3
CL_7308001,8
CL_7308002,9
CL_7317003,9
CL_7317005,4
CL_7320003,8
CL_7330001,1
CL_7332001,1
CL_7335001,1
CL_7335002,1
CL_7336001,1
CL_7339001,1
CL_7343001,1
CL_7350001,1
CL_7350003,8
CL_7354001,8
CL_7354002,1
CL_7355002,8
CL_7359001,1
CL_7372001,1
CL_7374001,1
CL_7379001,1
CL_7379002,1
CL_7381001,11
CL_7383001,1
CL_8104001,8
CL_8105001,8
CL_8106001,8
CL_8106002,8
CL_8114001,1
CL_8117004,1
CL_8123001,1
CL_8124002,1
CL_8130002,1
CL_8132001,1
CL_8133001,1
CL_8134002,1
CL_8134003,1
CL_8135002,1
CL_8140002,1
CL_8141001,1
CL_8210003,5
CL_8220001,1
CL_8304001,8
CL_8312001,8
CL_8313000,8
CL_8317001,8
CL_8317002,1
CL_8323002,1
CL_8332001,1
CL_8343001,1
CL_8351001,1
CL_8356001,1
CL_8358001,1
CL_8383001,1
CL_8385001,1
CL_8386001,1
CL_8430001,1
CL_8700003,1
CL_8821003,1
CL_8821006,1
CL_8822002,1
CL_8910001,1
CL_9101002,11
CL_9102001,1
CL_9104001,1
CL_9104002,1
CL_9106001,1
CL_9113001,1
CL_9116001,1
CL_9122002,1
CL_9123001,1
CL_9127001,1
CL_9129002,1
CL_9134001,1
CL_9135001,1
CL_9140001,1
CL_9402001,8
CL_9404001,1
CL_9412001,8
CL_9414001,8
CL_9416001,8
CL_9420001,1
CL_9433001,1
CL_9434001,1
CL_9436001,1
CL_9437002,1
USA_01013500,0
USA_01022500,4
USA_01030500,0
USA_01031500,0
USA_01047000,0
USA_01052500,0
USA_01054200,0
USA_01055000,0
USA_01057000,0
USA_01073000,4
USA_01078000,0
USA_01118300,8
USA_01121000,4
USA_01123000,4
USA_01134500,0
USA_01137500,0
USA_01139000,0
USA_01139800,0
USA_01142500,0
USA_01144000,0
USA_01162500,4
USA_01169000,0
USA_01170100,0
USA_01181000,0
USA_01187300,4
USA_01195100,4
USA_01333000,4
USA_01350000,0
USA_01350080,0
USA_01350140,4
USA_01365000,4
USA_01411300,4
USA_01413500,4
USA_01414500,4
USA_01415000,4
USA_01423000,4
USA_01434025,0
USA_01435000,4
USA_01439500,4
USA_01440000,4
USA_01440400,4
USA_01451800,4
USA_01466500,4
USA_01484100,4
USA_01485500,6
USA_01486000,4
USA_01487000,4
USA_01491000,6
USA_01510000,4
USA_01516500,4
USA_01518862,4
USA_01532000,4
USA_01539000,4
USA_01542810,4
USA_01543000,4
USA_01543500,4
USA_01544500,4
USA_01545600,4
USA_01547700,4
USA_01548500,4
USA_01549500,4
USA_01550000,4
USA_01552000,4
USA_01552500,4
USA_01557500,4
USA_01567500,6
USA_01568000,4
USA_01580000,6
USA_01583500,6
USA_01586610,4
USA_01591400,6
USA_01594950,4
USA_01596500,4
USA_01605500,4
USA_01606500,4
USA_01613050,4
USA_01620500,6
USA_01632000,6
USA_01632900,6
USA_01634500,4
USA_01638480,6
USA_01639500,6
USA_01644000,4
USA_01658500,6
USA_01664000,4
USA_01666500,6
USA_01667500,6
USA_01669000,4
USA_01669520,11
USA_02011400,4
USA_02011460,4
USA_02013000,6
USA_02014000,6
USA_02015700,4
USA_02016000,6
USA_02017500,6
USA_02018000,6
USA_02027000,6
USA_02027500,6
USA_02028500,6
USA_02038850,6
USA_02046000,6
USA_02051000,6
USA_02051500,6
USA_02053200,11
USA_02053800,6
USA_02055100,6
USA_02056900,6
USA_02059500,6
USA_02064000,6
USA_02065500,6
USA_02069700,6
USA_02070000,6
USA_02074500,6
USA_02077200,6
USA_02081500,6
USA_02082950,11
USA_02092500,11
USA_02096846,4
USA_02102908,11
USA_02108000,11
USA_02111180,6
USA_02111500,6
USA_02112120,6
USA_02112360,6
USA_02118500,6
USA_02125000,11
USA_02128000,11
USA_02137727,6
USA_02140991,6
USA_02143000,6
USA_02143040,6
USA_02149000,6
USA_02152100,6
USA_02177000,1
USA_02178400,1
USA_02193340,11
USA_02196000,11
USA_02198100,11
USA_02202600,11
USA_02212600,1
USA_02215100,1
USA_02216180,1
USA_02221525,4
USA_02231000,5
USA_02231342,5
USA_02235200,5
USA_02245500,5
USA_02246000,5
USA_02296500,5
USA_02297155,5
USA_02297310,5
USA_02298123,5
USA_02298608,5
USA_02299950,5
USA_02300700,5
USA_02310947,5
USA_02312200,5
USA_02314500,11
USA_02315500,11
USA_02324400,11
USA_02327100,11
USA_02342933,11
USA_02349900,1
USA_02350900,1
USA_02361000,4
USA_02363000,1
USA_02369800,11
USA_02371500,1
USA_02372250,4
USA_02374500,1
USA_02381600,1
USA_02384540,1
USA_02395120,4
USA_02408540,4
USA_02415000,4
USA_02422500,4
USA_02427250,11
USA_02430085,8
USA_02430615,8
USA_02450250,1
USA_02464000,1
USA_02464146,6
USA_02464360,1
USA_02465493,1
USA_02469800,1
USA_02472000,1
USA_02472500,6
USA_02479155,6
USA_02479300,6
USA_02479560,1
USA_02481000,6
USA_02481510,6
USA_03010655,4
USA_03011800,4
USA_03015500,4
USA_03021350,4
USA_03026500,4
USA_03028000,4
USA_03049000,6
USA_03049800,6
USA_03050000,6
USA_03066000,4
USA_03069500,4
USA_03070500,1
USA_03076600,4
USA_03078000,4
USA_03140000,6
USA_03144000,6
USA_03159540,4
USA_03161000,6
USA_03164000,6
USA_03165000,6
USA_03170000,6
USA_03173000,1
USA_03180500,4
USA_03182500,4
USA_03186500,4
USA_03187500,4
USA_03213700,1
USA_03237280,1
USA_03237500,1
USA_03238500,6
USA_03241500,8
USA_03280700,1
USA_03281500,8
USA_03285000,6
USA_03291780,6
USA_03300400,6
USA_03338780,6
USA_03340800,8
USA_03346000,6
USA_03357350,6
USA_03364500,6
USA_03366500,6
USA_03368000,6
USA_03384450,6
USA_03439000,6
USA_03455500,1
