gauge_id,cluster
CH_2009,0
CH_2011,0
CH_2016,10
CH_2018,0
CH_2019,0
CH_2020,0
CH_2024,0
CH_2033,0
CH_2034,1
CH_2044,6
CH_2053,0
CH_2056,0
CH_2063,10
CH_2067,0
CH_2070,6
CH_2078,0
CH_2084,0
CH_2085,0
CH_2086,0
CH_2087,0
CH_2091,10
CH_2106,1
CH_2109,0
CH_2110,0
CH_2112,0
CH_2117,0
CH_2119,9
CH_2122,1
CH_2126,1
CH_2132,9
CH_2135,0
CH_2139,10
CH_2141,0
CH_2143,0
CH_2150,0
CH_2151,0
CH_2155,6
CH_2159,9
CH_2160,10
CH_2161,0
CH_2170,10
CH_2174,10
CH_2176,6
CH_2179,6
CH_2181,6
CH_2185,0
CH_2187,10
CH_2199,1
CH_2200,0
CH_2202,1
CH_2203,10
CH_2205,10
CH_2210,1
CH_2215,9
CH_2239,0
CH_2243,10
CH_2247,1
CH_2262,0
CH_2263,0
CH_2265,10
CH_2269,0
CH_2270,1
CH_2289,10
CH_2290,9
CH_2303,6
CH_2307,1
CH_2321,4
CH_2342,0
CH_2346,0
CH_2351,0
CH_2352,0
CH_2355,0
CH_2364,0
CH_2368,0
CH_2369,1
CH_2372,0
CH_2374,6
CH_2378,9
CH_2386,1
CH_2387,0
CH_2403,10
CH_2409,10
CH_2410,0
CH_2415,1
CH_2418,10
CH_2419,0
CH_2420,0
CH_2426,0
CH_2432,1
CH_2433,9
CH_2434,1
CH_2450,1
CH_2458,1
CH_2468,6
CH_2469,0
CH_2471,1
CH_2473,0
CH_2475,0
CH_2478,1
CH_2480,9
CH_2481,0
CH_2485,1
CH_2487,6
CH_2488,10
CH_2490,1
CH_2491,0
CH_2493,1
CH_2494,0
CH_2497,2
CH_2498,0
CH_2602,0
CH_2603,6
CH_2605,0
CH_2610,2
CH_2617,0
CH_2634,6
CH_3009,0
CH_3019,0
CH_3032,0
CH_3033,0
CH_4002,1
CH_4004,1
CH_4006,1
CH_4007,1
CH_4009,1
CH_4010,0
CH_4011,1
CH_4015,1
CH_4016,2
CH_4017,1
CH_4018,1
CH_4020,9
CH_5009,9
CH_5014,9
CH_5032,1
CL_1001001,7
CL_1001002,7
CL_1001003,7
CL_10100002,1
CL_10100006,1
CL_10102001,1
CL_10111001,1
CL_10121001,1
CL_10122001,1
CL_10122003,1
CL_10133000,8
CL_10134001,1
CL_10137001,1
CL_10140001,1
CL_10142003,1
CL_1020002,10
CL_1020003,7
CL_1021001,7
CL_1021002,5
CL_10304001,1
CL_10305001,1
