basin_id,horizon,MSE,MAE,NSE,RMSE
CA_15013,1,0.3697441,0.3503035,0.8528885692358017,0.60806584
CA_15013,2,0.4187267,0.38361484,0.8333978056907654,0.647091
CA_15013,3,0.52645755,0.42323047,0.790534034371376,0.72557396
CA_15013,4,0.6160749,0.46417633,0.754882887005806,0.7849044
CA_15013,5,0.69942987,0.48700216,0.7217282056808472,0.83631927
CA_15013,6,0.7598862,0.50384325,0.6976893842220306,0.87171453
CA_15013,7,0.82898384,0.52098155,0.6702112257480621,0.9104855
CA_15013,8,0.8805031,0.5391773,0.6497237384319305,0.9383513
CA_15013,9,0.90089947,0.5355087,0.6416139602661133,0.94915724
CA_15013,10,0.92632097,0.55512434,0.6315010190010071,0.9624557
CA_15020,1,0.10284814,0.2024184,0.9504575990140438,0.32069945
CA_15020,2,0.12244719,0.21961403,0.9414250329136848,0.34992456
CA_15020,3,0.16140388,0.24587223,0.9233630299568176,0.401751
CA_15020,4,0.19349559,0.27515465,0.9088414236903191,0.43988132
CA_15020,5,0.2258564,0.29150712,0.8944232240319252,0.4752435
CA_15020,6,0.259313,0.31184843,0.8797115236520767,0.5092278
CA_15020,7,0.31414452,0.33425406,0.8553818315267563,0.56048596
CA_15020,8,0.3464085,0.34577048,0.8419039398431778,0.58856475
CA_15020,9,0.3883538,0.36223593,0.8245801031589508,0.6231804
CA_15020,10,0.42445183,0.376879,0.8100039660930634,0.6514997
CA_15022,1,0.26130816,0.2450396,0.9108012467622757,0.5111831
CA_15022,2,0.20812099,0.25051743,0.9296328276395798,0.4562028
CA_15022,3,0.18698515,0.25640157,0.9373741745948792,0.4324178
CA_15022,4,0.20899679,0.27794984,0.9306737631559372,0.45716166
CA_15022,5,0.2202368,0.27760464,0.9276142492890358,0.46929392
CA_15022,6,0.23476481,0.2904174,0.9235883802175522,0.48452535
CA_15022,7,0.26415274,0.30816716,0.914852038025856,0.5139579
CA_15022,8,0.26855254,0.31376305,0.914215624332428,0.51822054
CA_15022,9,0.30088484,0.32702395,0.9048017784953117,0.5485297
CA_15022,10,0.32681185,0.3419921,0.8975706323981285,0.5716746
CA_15025,1,0.087832056,0.19644186,0.8865969628095627,0.29636472
CA_15025,2,0.07368189,0.18804145,0.9051918759942055,0.27144408
CA_15025,3,0.07679483,0.1890824,0.9016075506806374,0.2771188
