horizon,MSE,MAE,NSE,RMSE
1,0.22628401,0.24531843,0.8766148239374161,0.4756932
2,0.19507816,0.24495828,0.8936847820878029,0.44167653
3,0.21336977,0.26002082,0.8837792351841927,0.46191967
4,0.24840586,0.2856689,0.8647688776254654,0.4984033
5,0.27984902,0.2996882,0.8477371484041214,0.52900755
6,0.3157139,0.31997362,0.8283252865076065,0.5618842
7,0.3549007,0.3405749,0.8071303069591522,0.59573543
8,0.39154455,0.35972336,0.7873533815145493,0.6257352
9,0.41756174,0.36675677,0.7733930051326752,0.64619017
10,0.4478448,0.38102484,0.7571370005607605,0.6692121
