basin_id,horizon,MSE,MAE,NSE,RMSE
CA_15013,1,0.14320299,0.1953283,0.9430636465549469,0.37842172
CA_15013,2,0.2508703,0.25711584,0.9002487286925316,0.5008695
CA_15013,3,0.35191423,0.30487245,0.8600681573152542,0.5932236
CA_15013,4,0.43521592,0.33471507,0.8269511014223099,0.659709
CA_15013,5,0.505646,0.36554357,0.7989638149738312,0.7110879
CA_15013,6,0.5805291,0.39417815,0.7692216783761978,0.7619246
CA_15013,7,0.6452289,0.41298842,0.7435405850410461,0.8032614
CA_15013,8,0.70378226,0.4290821,0.720312774181366,0.8389173
CA_15013,9,0.74593973,0.4370018,0.7036169469356537,0.86367804
CA_15013,10,0.76971984,0.44303548,0.6942341923713684,0.8773368
CA_15020,1,0.03014702,0.08779096,0.9857830321416259,0.17362897
CA_15020,2,0.05075223,0.1129692,0.9762370642274618,0.22528255
CA_15020,3,0.07277155,0.14051482,0.966185562312603,0.269762
CA_15020,4,0.09463304,0.16600469,0.9563778340816498,0.30762485
CA_15020,5,0.115766875,0.18919466,0.9470559805631638,0.3402453
CA_15020,6,0.13593854,0.21002549,0.9383138120174408,0.36869845
CA_15020,7,0.1568525,0.22908466,0.9293687716126442,0.39604607
CA_15020,8,0.17905289,0.24614258,0.9200661405920982,0.42314643
CA_15020,9,0.20003825,0.2628683,0.9116125479340553,0.44725636
CA_15020,10,0.22151314,0.2806593,0.902992732822895,0.47065184
CA_15022,1,0.027216453,0.09198049,0.9908566912636161,0.1649741
CA_15022,2,0.047095373,0.11794168,0.9843377768993378,0.21701469
CA_15022,3,0.0728852,0.14624035,0.9760025013238192,0.2699726
CA_15022,4,0.09776785,0.1708633,0.9681271202862263,0.31267852
CA_15022,5,0.115659446,0.18898849,0.9626377671957016,0.3400874
CA_15022,6,0.13522118,0.20534661,0.9567357189953327,0.36772433
CA_15022,7,0.15375118,0.22093645,0.9512691050767899,0.39211118
CA_15022,8,0.16912887,0.23416117,0.946861993521452,0.4112528
CA_15022,9,0.1870426,0.24790095,0.9417687691748142,0.4324842
CA_15022,10,0.20384623,0.2597904,0.937108226120472,0.45149332
CA_15025,1,0.015245955,0.06827906,0.9806409198790789,0.123474516
CA_15025,2,0.024621816,0.083511144,0.9688802864402533,0.1569134
CA_15025,3,0.0317255,0.095297456,0.9601080007851124,0.17811653
CA_15025,4,0.037263818,0.10609086,0.9534145370125771,0.19303839
CA_15025,5,0.04336099,0.117226236,0.9461497738957405,0.20823301
CA_15025,6,0.047370695,0.1249164,0.9415385201573372,0.2176481
CA_15025,7,0.052442543,0.13325892,0.9356634989380836,0.22900337
CA_15025,8,0.059020393,0.14040248,0.9282834604382515,0.24294113
CA_15025,9,0.06624543,0.14878985,0.9201945886015892,0.2573819
CA_15025,10,0.07346009,0.1584046,0.9122069701552391,0.27103522
CA_15039,1,0.026473932,0.07375662,0.9361071884632111,0.16270812
CA_15039,2,0.047461722,0.10343677,0.885432206094265,0.21785711
CA_15039,3,0.06294101,0.12346385,0.8480368554592133,0.25088045
CA_15039,4,0.0733128,0.13729104,0.8229605853557587,0.27076337
CA_15039,5,0.08294701,0.14988579,0.7996559292078018,0.28800523
CA_15039,6,0.094204925,0.16123618,0.7724195271730423,0.30692822
CA_15039,7,0.10324313,0.17130908,0.7505358159542084,0.3213147
CA_15039,8,0.11151653,0.17780657,0.7304918169975281,0.3339409
CA_15039,9,0.11810158,0.18370607,0.7145209610462189,0.3436591
CA_15039,10,0.12263582,0.19014584,0.7035021185874939,0.35019398
CA_15040,1,0.0589597,0.094540685,0.9751050043851137,0.24281618
CA_15040,2,0.10363097,0.13726787,0.9562419019639492,0.32191765
CA_15040,3,0.14655265,0.1736128,0.9381155893206596,0.38282195
CA_15040,4,0.18771216,0.20483342,0.9207329750061035,0.4332576
