horizon,MSE,MAE,NSE,RMSE
1,0.04080328,0.07448135,0.9779676925390959,0.20199822
2,0.07606485,0.10974111,0.9589507579803467,0.27579856
3,0.10807563,0.13723421,0.9417100660502911,0.32874858
4,0.138092,0.16120674,0.9255652651190758,0.3716073
5,0.16625795,0.18022594,0.9104373008012772,0.40774742
6,0.18866163,0.19665992,0.898426853120327,0.43435198
7,0.20867655,0.20920993,0.8877201676368713,0.45681128
8,0.22545466,0.21980305,0.8787747845053673,0.47482067
9,0.23952413,0.22977377,0.8712988346815109,0.489412
10,0.25251848,0.23858246,0.864410936832428,0.50251216
