horizon,MSE,MAE,NSE,RMSE
1,1.9208171,0.9376769,-0.03717243671417236,1.3859354
2,1.9218022,0.93777627,-0.03712201118469238,1.3862908
3,1.9228355,0.9378751,-0.03706955909729004,1.3866634
4,1.9238821,0.9379675,-0.03701627254486084,1.3870407
5,1.924956,0.9380619,-0.03696846961975098,1.3874278
6,1.9259746,0.93814313,-0.03692150115966797,1.3877949
7,1.9270859,0.9382527,-0.03688168525695801,1.3881952
8,1.9283265,0.9383844,-0.036846160888671875,1.388642
9,1.9296062,0.93854296,-0.03681647777557373,1.3891027
10,1.9309108,0.938712,-0.03679704666137695,1.3895721
