basin_id,horizon,MSE,MAE,NSE,RMSE
CA_15013,1,0.13000336,0.18122648,0.9483117088675499,0.3605598
CA_15013,2,0.2443055,0.2501324,0.9028590172529221,0.4942727
CA_15013,3,0.33862388,0.2959482,0.8653527945280075,0.581914
CA_15013,4,0.4158645,0.32868308,0.834645539522171,0.6448756
CA_15013,5,0.48281828,0.35848874,0.8080397099256516,0.6948513
CA_15013,6,0.55292374,0.38382453,0.7801956832408905,0.74358845
CA_15013,7,0.6114371,0.40282112,0.7569718509912491,0.78194445
CA_15013,8,0.660866,0.4153644,0.7373679578304291,0.81293666
CA_15013,9,0.6964221,0.4280315,0.7232916951179504,0.8345191
CA_15013,10,0.7103989,0.43408513,0.7177990078926086,0.84285164
CA_15020,1,0.026492676,0.08283429,0.9875063765794039,0.16276571
CA_15020,2,0.048255682,0.10952008,0.977405983954668,0.21967176
CA_15020,3,0.068918,0.13773268,0.9679761752486229,0.26252237
CA_15020,4,0.08810705,0.1649764,0.9593860618770123,0.29682833
CA_15020,5,0.10902221,0.18887465,0.950140543282032,0.33018512
CA_15020,6,0.12847704,0.20863621,0.9416996948421001,0.35843694
CA_15020,7,0.1492552,0.22822084,0.9327898696064949,0.3863356
CA_15020,8,0.17107153,0.24521995,0.9236292243003845,0.41360795
CA_15020,9,0.19253176,0.2614725,0.9149293154478073,0.43878442
CA_15020,10,0.21221215,0.2780217,0.9070659205317497,0.4606649
CA_15022,1,0.026556019,0.09193108,0.9910785621032119,0.16296017
CA_15022,2,0.0428058,0.1167183,0.9857643339782953,0.20689562
CA_15022,3,0.06275931,0.14100139,0.9793364591896534,0.25051808
CA_15022,4,0.08004691,0.16135181,0.9739042483270168,0.28292564
CA_15022,5,0.0965553,0.17943431,0.9688091035932302,0.3107335
CA_15022,6,0.1118703,0.19692704,0.9642068780958652,0.33447018
CA_15022,7,0.12843427,0.21485747,0.9592932090163231,0.35837728
CA_15022,8,0.14470093,0.22991815,0.9545369185507298,0.38039574
CA_15022,9,0.1644855,0.24514851,0.9487913809716702,0.40556812
CA_15022,10,0.18303676,0.25994024,0.9435284771025181,0.42782795
CA_15025,1,0.012480372,0.06328303,0.9841526169329882,0.111715585
CA_15025,2,0.02253683,0.08265324,0.9715155195444822,0.15012272
CA_15025,3,0.031604815,0.10080901,0.9602597504854202,0.17777742
CA_15025,4,0.04019796,0.1169091,0.9497464187443256,0.20049429
CA_15025,5,0.04633112,0.12820089,0.9424611479043961,0.21524665
CA_15025,6,0.050936345,0.137317,0.9371380507946014,0.22569081
CA_15025,7,0.05687462,0.14747725,0.9302262291312218,0.23848401
CA_15025,8,0.06319711,0.15684886,0.9232082590460777,0.25139037
CA_15025,9,0.06916635,0.16583446,0.9166757762432098,0.26299495
CA_15025,10,0.075302444,0.17428869,0.9100051447749138,0.2744129
CA_15039,1,0.023045376,0.065664865,0.9443817436695099,0.15180704
CA_15039,2,0.04330294,0.09690718,0.8954710885882378,0.20809358
CA_15039,3,0.06011006,0.12179784,0.8548718243837357,0.24517353
CA_15039,4,0.07383209,0.14014654,0.8217065781354904,0.27172062
CA_15039,5,0.08584225,0.15441464,0.7926629781723022,0.29298848
CA_15039,6,0.09811534,0.166249,0.7629727274179459,0.31323367
CA_15039,7,0.10798473,0.17677955,0.7390787899494171,0.3286103
CA_15039,8,0.116646305,0.1861767,0.7180943787097931,0.3415352
CA_15039,9,0.12405067,0.19432962,0.700140655040741,0.3522083
CA_15039,10,0.12976992,0.20060289,0.6862539350986481,0.36023593
CA_15040,1,0.05981925,0.093772136,0.9747420698404312,0.24457975
CA_15040,2,0.10335705,0.13244484,0.9563575647771358,0.3214919
CA_15040,3,0.1444088,0.16677703,0.9390208683907986,0.3800116
CA_15040,4,0.17987055,0.19696522,0.9240443259477615,0.4241115
CA_15040,5,0.21281406,0.22183022,0.9101277217268944,0.46131775
CA_15040,6,0.23942554,0.24244134,0.8988837078213692,0.48931128
CA_15040,7,0.26322973,0.260345,0.8888240531086922,0.5130592
CA_15040,8,0.28334495,0.27576026,0.8803213536739349,0.53230155
CA_15040,9,0.29815924,0.28623685,0.8740556389093399,0.5460396
CA_15040,10,0.30824053,0.29557842,0.8697912991046906,0.55519414
CA_15044,1,0.19331042,0.1383313,0.9510623440146446,0.4396708
CA_15044,2,0.34854302,0.20433085,0.9117444232106209,0.5903753
CA_15044,3,0.48588237,0.2596897,0.8769415095448494,0.69705266
CA_15044,4,0.59426314,0.30460933,0.8494604080915451,0.77088463
CA_15044,5,0.686653,0.3385659,0.8260224610567093,0.8286453
CA_15044,6,0.76355827,0.36607963,0.8064995557069778,0.8738182
CA_15044,7,0.808505,0.3863273,0.7950710654258728,0.8991691
CA_15044,8,0.8409119,0.4017483,0.7868173271417618,0.9170125
CA_15044,9,0.87713796,0.4136066,0.7775921672582626,0.93655646
CA_15044,10,0.90165645,0.4229003,0.7713326811790466,0.94955593
CA_15045,1,0.0814143,0.09662314,0.9657471366226673,0.2853319
CA_15045,2,0.15625641,0.14228828,0.9342556297779083,0.39529282
CA_15045,3,0.19915847,0.17952189,0.9162000045180321,0.44627175
CA_15045,4,0.24473983,0.21669208,0.8970149159431458,0.49471188
CA_15045,5,0.29197305,0.2498564,0.8771325051784515,0.5403453
CA_15045,6,0.34428632,0.27877146,0.8551100194454193,0.58675915
CA_15045,7,0.39213878,0.30500987,0.8349623680114746,0.62620986
CA_15045,8,0.44025946,0.3296538,0.8147026598453522,0.6635205
CA_15045,9,0.4853345,0.3506827,0.7957249134778976,0.6966595
CA_15045,10,0.52808744,0.37223503,0.7777286469936371,0.72669625
CA_15069,1,0.014349471,0.09245422,0.9821431413292885,0.11978928
CA_15069,2,0.014084542,0.08784448,0.9824737589806318,0.11867832
CA_15069,3,0.015233722,0.0885404,0.9810444433242083,0.12342496
CA_15069,4,0.017537223,0.093038484,0.9781777802854776,0.13242818
CA_15069,5,0.021393852,0.10171663,0.9733783658593893,0.14626637
CA_15069,6,0.026612367,0.11353663,0.966884657740593,0.16313298
CA_15069,7,0.03182266,0.1241946,0.9604011811316013,0.17838907
CA_15069,8,0.036618583,0.13317674,0.9544333331286907,0.19135983
CA_15069,9,0.04227355,0.14297085,0.9473993256688118,0.20560533
CA_15069,10,0.04869351,0.1535862,0.9394142404198647,0.22066607
CA_15070,1,0.0172476,0.074015446,0.9899231940507889,0.13133012
CA_15070,2,0.03128097,0.10125865,0.9815822690725327,0.17686427
CA_15070,3,0.0537594,0.13049902,0.9680990651249886,0.23186073
CA_15070,4,0.07979212,0.15800318,0.9522763080894947,0.282475
CA_15070,5,0.11032539,0.18343714,0.9336496517062187,0.33215266
CA_15070,6,0.1418866,0.20665352,0.9141936227679253,0.37667838
CA_15070,7,0.17497699,0.23049034,0.8935890048742294,0.4183025
CA_15070,8,0.20769177,0.25384277,0.8729808032512665,0.45573214
CA_15070,9,0.24099746,0.27531943,0.8517740219831467,0.4909149
CA_15070,10,0.27412453,0.29515624,0.8304338753223419,0.52356905
CA_15081,1,0.02104197,0.07190502,0.9815118592232466,0.14505851
CA_15081,2,0.038591575,0.09796286,0.966111570596695,0.19644739
CA_15081,3,0.05261816,0.12119402,0.9538228996098042,0.2293865
CA_15081,4,0.066569865,0.14285536,0.9416150040924549,0.25801137
CA_15081,5,0.0823074,0.16307436,0.9278472065925598,0.28689265
CA_15081,6,0.09515686,0.1807398,0.9166132882237434,0.30847505
CA_15081,7,0.106114954,0.19597125,0.9070253893733025,0.3257529
CA_15081,8,0.11826225,0.21196237,0.8964057639241219,0.34389278
CA_15081,9,0.13073123,0.22648679,0.8855005502700806,0.36156774
CA_15081,10,0.14396968,0.24076027,0.8739247471094131,0.37943336
CA_15083,1,0.07564614,0.14309691,0.9695898611098528,0.27503842
CA_15083,2,0.13142148,0.19440329,0.9471828602254391,0.362521
CA_15083,3,0.18216544,0.23179837,0.9268100261688232,0.42680845
CA_15083,4,0.23134637,0.26898888,0.9070697575807571,0.48098478
CA_15083,5,0.27635565,0.30149198,0.8890131413936615,0.5256954
CA_15083,6,0.31180432,0.32849443,0.8748028874397278,0.55839443
CA_15083,7,0.34492686,0.34902087,0.8615324050188065,0.5873048
CA_15083,8,0.38030612,0.3715676,0.8473538458347321,0.6166896
CA_15083,9,0.41448382,0.3935729,0.8336619883775711,0.6438042
CA_15083,10,0.45814198,0.41558683,0.8161932677030563,0.6768619
CA_15090,1,0.1414527,0.17773716,0.9582109935581684,0.37610197
CA_15090,2,0.26292813,0.23017426,0.9223784059286118,0.51276517
CA_15090,3,0.39383122,0.2798564,0.8838148266077042,0.6275597
CA_15090,4,0.51064086,0.32217857,0.8494601249694824,0.7145914
CA_15090,5,0.618434,0.36371034,0.8178097456693649,0.78640574
CA_15090,6,0.7245954,0.405407,0.7866840064525604,0.8512317
CA_15090,7,0.8288026,0.44459364,0.7561765611171722,0.91038597
CA_15090,8,0.9249718,0.48196724,0.728074699640274,0.96175456
CA_15090,9,1.0106918,0.51813424,0.7030816376209259,1.0053316
CA_15090,10,1.0820673,0.5530488,0.6823344826698303,1.0402247
CA_15194,1,0.026040506,0.09266066,0.9855175744742155,0.16137071
CA_15194,2,0.05172405,0.12828313,0.9712373875081539,0.22742923
CA_15194,3,0.08070938,0.15654987,0.9551250711083412,0.28409398
CA_15194,4,0.109684326,0.18483503,0.9390226900577545,0.33118623
CA_15194,5,0.13693479,0.2091626,0.9238830283284187,0.370047
CA_15194,6,0.16399743,0.22989337,0.9088562428951263,0.40496597
CA_15194,7,0.18876494,0.2472625,0.8951101526618004,0.4344709
CA_15194,8,0.21099772,0.26139185,0.8827771842479706,0.45934486
CA_15194,9,0.22741885,0.27210152,0.8736767917871475,0.47688454
CA_15194,10,0.23826066,0.27931142,0.867678239941597,0.4881195
CA_15214,1,0.017848613,0.071201414,0.9886778220534325,0.1335987
CA_15214,2,0.03340009,0.09603258,0.9788118544965982,0.18275692
CA_15214,3,0.05254216,0.12203146,0.9666671007871628,0.22922076
CA_15214,4,0.07222641,0.14425726,0.9541772603988647,0.2687497
CA_15214,5,0.09227831,0.16516934,0.9414530172944069,0.30377346
CA_15214,6,0.111332156,0.18186711,0.9293608739972115,0.33366475
CA_15214,7,0.13047312,0.19847737,0.9172093942761421,0.36121064
CA_15214,8,0.1483701,0.21401826,0.9058453664183617,0.3851884
CA_15214,9,0.16548799,0.22961892,0.8949739187955856,0.40680215
CA_15214,10,0.18093528,0.24439049,0.8851610496640205,0.42536488
CA_15216,1,0.06637703,0.11126982,0.9676647484302521,0.2576374
CA_15216,2,0.1306212,0.16203272,0.9362685307860374,0.36141554
CA_15216,3,0.1805915,0.20039333,0.9118056669831276,0.42496058
