horizon,MSE,MAE,NSE,RMSE
1,0.048844714,0.09072177,0.9736256059259176,0.2210084
2,0.08638104,0.122781344,0.9533835090696812,0.2939065
3,0.12049702,0.14937359,0.9350106716156006,0.3471268
4,0.15022483,0.17104122,0.9190253913402557,0.3875885
5,0.17706451,0.18981995,0.9046158269047737,0.42079034
6,0.20134835,0.20585085,0.8915964886546135,0.44871858
7,0.22296196,0.21939342,0.880033828318119,0.47218847
8,0.24267171,0.23110393,0.8695172965526581,0.49261722
9,0.26142624,0.24212907,0.8595303893089294,0.5112986
10,0.27847654,0.25256103,0.8504728227853775,0.52770877
