basin_id,horizon,MSE,MAE,NSE,RMSE
CA_15013,1,0.21866016,0.26405728,0.9135151356458664,0.46761113
CA_15013,2,0.29673758,0.31264728,0.8827161192893982,0.54473627
CA_15013,3,0.37264538,0.3513526,0.8528184145689011,0.6104469
CA_15013,4,0.4474314,0.37551042,0.8233685940504074,0.6689031
CA_15013,5,0.51687044,0.39841217,0.7961065322160721,0.71893704
CA_15013,6,0.5891876,0.4158327,0.7676979601383209,0.7675856
CA_15013,7,0.6488554,0.42866442,0.7441400587558746,0.8055156
CA_15013,8,0.7090691,0.43721092,0.7203548848628998,0.8420624
CA_15013,9,0.76414585,0.4474873,0.6987175941467285,0.8741544
CA_15013,10,0.79741496,0.45995128,0.6857807636260986,0.89298093
CA_15020,1,0.21514063,0.27461192,0.9033584371209145,0.46383253
CA_15020,2,0.23473606,0.28521913,0.8952747508883476,0.48449567
CA_15020,3,0.26866728,0.30964014,0.8810075893998146,0.5183312
CA_15020,4,0.29267126,0.3269548,0.8713714331388474,0.540991
CA_15020,5,0.29094845,0.32591122,0.8731007725000381,0.5393964
CA_15020,6,0.3080917,0.3375969,0.866634413599968,0.5550601
CA_15020,7,0.31896833,0.34513777,0.8629506677389145,0.5647728
CA_15020,8,0.3564444,0.36374822,0.8481316864490509,0.5970296
CA_15020,9,0.38453782,0.38164157,0.8378018140792847,0.6201111
CA_15020,10,0.40839234,0.39311716,0.8292277008295059,0.63905585
CA_15022,1,0.41199002,0.40602267,0.8648075014352798,0.6418645
CA_15022,2,0.4282003,0.39839453,0.8608444482088089,0.6543701
CA_15022,3,0.45565715,0.40493518,0.8533320277929306,0.6750238
CA_15022,4,0.4871156,0.41548055,0.844686433672905,0.69793665
CA_15022,5,0.47362295,0.41609263,0.8503098040819168,0.6882027
CA_15022,6,0.46286434,0.4123015,0.8550567775964737,0.68034136
CA_15022,7,0.46670732,0.41409692,0.855181559920311,0.6831598
CA_15022,8,0.4988794,0.43135294,0.8465022891759872,0.70631397
CA_15022,9,0.48467308,0.42401177,0.8521956205368042,0.69618464
CA_15022,10,0.4927608,0.4293074,0.8510390818119049,0.7019692
CA_15025,1,0.64746,0.49450082,0.2182246446609497,0.804649
CA_15025,2,0.6667281,0.48996928,0.19841617345809937,0.81653416
CA_15025,3,0.68927324,0.49793705,0.17525547742843628,0.8302248
CA_15025,4,0.7192536,0.5086774,0.14402061700820923,0.8480882
CA_15025,5,0.6658901,0.49435478,0.21245276927947998,0.8160209
CA_15025,6,0.66444236,0.49596262,0.2188137173652649,0.81513333
CA_15025,7,0.6386393,0.4879426,0.2533218264579773,0.7991491
CA_15025,8,0.68448216,0.50842786,0.2070896029472351,0.82733434
CA_15025,9,0.6803402,0.50613016,0.2183603048324585,0.8248274
CA_15025,10,0.7023853,0.51688135,0.19921553134918213,0.8380843
CA_15039,1,0.045779284,0.12376521,0.892035074532032,0.21396095
CA_15039,2,0.06482799,0.14332643,0.8472044616937637,0.25461343
CA_15039,3,0.07792915,0.15632752,0.8164401054382324,0.27915794
CA_15039,4,0.096107796,0.17724486,0.7737460732460022,0.31001258
CA_15039,5,0.10444151,0.18151759,0.7542625516653061,0.32317412
CA_15039,6,0.12204485,0.19804148,0.7128860950469971,0.34934917
CA_15039,7,0.1331177,0.20807849,0.6867625713348389,0.364853
CA_15039,8,0.1445876,0.22160637,0.6595230400562286,0.38024676
CA_15039,9,0.15146558,0.2257297,0.6430617570877075,0.3891858
CA_15039,10,0.16258585,0.2354749,0.6168407499790192,0.40321937
CA_15040,1,0.10082121,0.14564812,0.9589988887310028,0.31752357
CA_15040,2,0.14193241,0.17753531,0.9422745853662491,0.37673917
CA_15040,3,0.1882547,0.20913668,0.9234292656183243,0.43388328
CA_15040,4,0.2298011,0.23171198,0.9065261483192444,0.47937575
CA_15040,5,0.26509655,0.2536579,0.8921633437275887,0.5148753
CA_15040,6,0.29972097,0.2756412,0.8780729472637177,0.54746777
CA_15040,7,0.33016524,0.2918857,0.8656828701496124,0.57460004
CA_15040,8,0.36042133,0.30936405,0.8533695191144943,0.600351
CA_15040,9,0.38253346,0.3221108,0.8443736284971237,0.6184929
CA_15040,10,0.3928999,0.33007535,0.8401613086462021,0.6268173
CA_15044,1,0.4379926,0.24472304,0.8929144889116287,0.6618101
CA_15044,2,0.50098884,0.2793405,0.8775034248828888,0.70780563
CA_15044,3,0.58001316,0.31630027,0.8581708073616028,0.76158595
CA_15044,4,0.66056275,0.3464871,0.8384932577610016,0.8127501
CA_15044,5,0.7175247,0.364601,0.8245823532342911,0.8470683
CA_15044,6,0.78287804,0.38491508,0.8086599856615067,0.88480395
CA_15044,7,0.81914395,0.39517745,0.7998537868261337,0.9050657
CA_15044,8,0.85447884,0.41495708,0.7912858426570892,0.92438024
CA_15044,9,0.89033943,0.4301353,0.7826059013605118,0.943578
CA_15044,10,0.92301613,0.44143057,0.7746759057044983,0.9607373
CA_15045,1,0.12009763,0.14909157,0.9514463059604168,0.34655106
CA_15045,2,0.18249904,0.18884401,0.9262310937047005,0.42719907
CA_15045,3,0.23757936,0.22723229,0.9039833471179008,0.48742113
CA_15045,4,0.2990445,0.2598282,0.879163347184658,0.5468496
CA_15045,5,0.35583204,0.29147494,0.8562416732311249,0.5965166
CA_15045,6,0.41289997,0.31402153,0.8332146406173706,0.64257294
CA_15045,7,0.46393916,0.3357847,0.8126339465379715,0.68113077
CA_15045,8,0.5192557,0.35511798,0.7903340011835098,0.720594
CA_15045,9,0.56749195,0.3744946,0.7709009051322937,0.75332063
CA_15045,10,0.6137057,0.39344466,0.7522916048765182,0.7833937
CA_15069,1,0.075136326,0.20825428,0.9087209179997444,0.27411005
CA_15069,2,0.07653148,0.21659286,0.9070466905832291,0.27664322
CA_15069,3,0.071485825,0.20631954,0.9131957590579987,0.26736835
CA_15069,4,0.07306694,0.21180424,0.9112918078899384,0.27030897
CA_15069,5,0.07267702,0.20683634,0.911781057715416,0.26958677
CA_15069,6,0.06840445,0.20093197,0.9169836267828941,0.26154244
CA_15069,7,0.0709741,0.19979393,0.9138834029436111,0.26640964
CA_15069,8,0.075206436,0.2064854,0.9087674841284752,0.27423793
CA_15069,9,0.07779111,0.21011198,0.9056606292724609,0.27891058
CA_15069,10,0.085081525,0.22163717,0.8968598395586014,0.29168737
CA_15070,1,0.054819938,0.16365689,0.967079509049654,0.23413658
CA_15070,2,0.06345726,0.15897125,0.9618811160326004,0.25190723
CA_15070,3,0.084696144,0.1768087,0.9491073861718178,0.29102603
CA_15070,4,0.11060657,0.19535884,0.9335178136825562,0.33257568
CA_15070,5,0.13846627,0.21683678,0.916746474802494,0.37211055
CA_15070,6,0.16809936,0.23289648,0.8988979235291481,0.40999922
CA_15070,7,0.19885229,0.25313365,0.8803642243146896,0.44592857
CA_15070,8,0.22227061,0.26598272,0.8662326484918594,0.47145584
CA_15070,9,0.24847679,0.27653816,0.8504134863615036,0.49847445
CA_15070,10,0.27033445,0.28921568,0.8372025638818741,0.519937
CA_15081,1,0.1880552,0.26505378,0.8520315587520599,0.43365332
CA_15081,2,0.19694729,0.26486427,0.8451522141695023,0.44378743
CA_15081,3,0.20948626,0.27073592,0.8354157209396362,0.45769668
CA_15081,4,0.21514426,0.27940294,0.8311717212200165,0.46383646
CA_15081,5,0.21460073,0.28432238,0.8317892104387283,0.4632502
CA_15081,6,0.23821892,0.3048309,0.813466802239418,0.48807675
CA_15081,7,0.2476974,0.3163997,0.8061944991350174,0.49769208
CA_15081,8,0.26520202,0.3329073,0.7926689237356186,0.5149777
CA_15081,9,0.2869574,0.3514457,0.7758286148309708,0.53568405
CA_15081,10,0.30525133,0.3653398,0.7617049962282181,0.55249554
CA_15083,1,0.1745636,0.25836986,0.9332144111394882,0.4178081
CA_15083,2,0.22939867,0.28565103,0.9122686311602592,0.4789558
CA_15083,3,0.27097288,0.30705678,0.8964218944311142,0.52055055
