,horizon,prediction,observed,basin_id
0,1,4.7657995,2.7799997,CA_15013
1,2,5.645544,2.7799997,CA_15013
2,3,6.4859443,3.0799997,CA_15013
3,4,4.6294184,2.7799997,CA_15013
4,5,5.0690875,3.0799997,CA_15013
5,6,6.446496,3.63,CA_15013
6,7,5.6312833,3.63,CA_15013
7,8,5.829578,3.2699997,CA_15013
8,9,6.178844,2.93,CA_15013
9,10,5.733386,3.63,CA_15013
10,1,4.9524307,2.7799997,CA_15013
11,2,5.6383634,3.0799997,CA_15013
12,3,6.994339,2.7799997,CA_15013
13,4,4.627383,3.0799997,CA_15013
14,5,4.972249,3.63,CA_15013
15,6,6.623283,3.63,CA_15013
16,7,5.527896,3.2699997,CA_15013
17,8,6.049195,2.93,CA_15013
18,9,6.262067,3.63,CA_15013
19,10,5.8659577,4.2,CA_15013
20,1,4.962762,3.0799997,CA_15013
21,2,5.7238464,2.7799997,CA_15013
22,3,6.934597,3.0799997,CA_15013
23,4,4.877013,3.63,CA_15013
24,5,5.3660116,3.63,CA_15013
25,6,6.713037,3.2699997,CA_15013
26,7,5.949778,2.93,CA_15013
27,8,6.1809316,3.63,CA_15013
28,9,6.125194,4.2,CA_15013
29,10,5.9311423,3.8300002,CA_15013
30,1,5.5599523,2.7799997,CA_15013
31,2,5.6342525,3.0799997,CA_15013
32,3,7.276927,3.63,CA_15013
33,4,4.9324718,3.63,CA_15013
34,5,5.4406796,3.2699997,CA_15013
35,6,7.288594,2.93,CA_15013
36,7,6.042902,3.63,CA_15013
37,8,6.346144,4.2,CA_15013
38,9,6.136046,3.8300002,CA_15013
39,10,5.8847547,4.43,CA_15013
40,1,5.444444,3.0799997,CA_15013
41,2,6.0569773,3.63,CA_15013
42,3,7.6466894,3.63,CA_15013
43,4,5.157504,3.2699997,CA_15013
44,5,5.9184933,2.93,CA_15013
45,6,7.6604257,3.63,CA_15013
46,7,6.549386,4.2,CA_15013
47,8,6.7569113,3.8300002,CA_15013
48,9,6.6590133,4.43,CA_15013
49,10,6.3100085,3.4699998,CA_15013
50,1,5.233742,3.63,CA_15013
51,2,6.0436893,3.63,CA_15013
52,3,7.582913,3.2699997,CA_15013
53,4,4.9897614,2.93,CA_15013
54,5,6.3027177,3.63,CA_15013
55,6,8.298615,4.2,CA_15013
56,7,6.642203,3.8300002,CA_15013
57,8,6.2016034,4.43,CA_15013
58,9,6.450394,3.4699998,CA_15013
59,10,6.2525444,3.4699998,CA_15013
60,1,5.699091,3.63,CA_15013
61,2,5.9212255,3.2699997,CA_15013
62,3,7.7108793,2.93,CA_15013
63,4,5.315593,3.63,CA_15013
64,5,5.900919,4.2,CA_15013
65,6,8.153653,3.8300002,CA_15013
66,7,6.4233246,4.43,CA_15013
67,8,6.53527,3.4699998,CA_15013
68,9,6.3040133,3.4699998,CA_15013
69,10,6.1608925,3.4699998,CA_15013
70,1,5.4757667,3.2699997,CA_15013
71,2,6.073862,2.93,CA_15013
72,3,7.694127,3.63,CA_15013
73,4,5.3500257,4.2,CA_15013
74,5,5.778716,3.8300002,CA_15013
75,6,7.8285513,4.43,CA_15013
76,7,6.137529,3.4699998,CA_15013
77,8,6.431619,3.4699998,CA_15013
78,9,6.58054,3.4699998,CA_15013
79,10,6.2061586,4.0,CA_15013
80,1,5.094883,2.93,CA_15013
81,2,6.3057513,3.63,CA_15013
82,3,7.4800982,4.2,CA_15013
83,4,5.159239,3.8300002,CA_15013
84,5,6.122398,4.43,CA_15013
85,6,7.6933413,3.4699998,CA_15013
86,7,6.1559796,3.4699998,CA_15013
87,8,6.2235827,3.4699998,CA_15013
88,9,6.8470826,4.0,CA_15013
89,10,6.448311,4.43,CA_15013
90,1,5.133897,3.63,CA_15013
91,2,6.794331,4.2,CA_15013
92,3,8.060534,3.8300002,CA_15013
93,4,5.690584,4.43,CA_15013
94,5,6.268294,3.4699998,CA_15013
95,6,8.274832,3.4699998,CA_15013
96,7,6.3881416,3.4699998,CA_15013
97,8,6.6122055,4.0,CA_15013
98,9,7.3994455,4.43,CA_15013
99,10,6.8207526,4.63,CA_15013
100,1,5.2017064,4.2,CA_15013
101,2,6.844428,3.8300002,CA_15013
102,3,8.022112,4.43,CA_15013
103,4,6.1039233,3.4699998,CA_15013
104,5,6.579051,3.4699998,CA_15013
105,6,8.204927,3.4699998,CA_15013
106,7,6.5724745,4.0,CA_15013
107,8,6.7771125,4.43,CA_15013
108,9,7.0394244,4.63,CA_15013
109,10,6.896577,4.63,CA_15013
110,1,5.4521604,3.8300002,CA_15013
111,2,6.6919513,4.43,CA_15013
112,3,7.4701486,3.4699998,CA_15013
113,4,5.749092,3.4699998,CA_15013
114,5,6.093794,3.4699998,CA_15013
115,6,7.906146,4.0,CA_15013
116,7,6.251671,4.43,CA_15013
117,8,6.9513435,4.63,CA_15013
118,9,6.964374,4.63,CA_15013
119,10,6.6199374,4.43,CA_15013
120,1,5.530041,4.43,CA_15013
121,2,6.271041,3.4699998,CA_15013
122,3,7.678799,3.4699998,CA_15013
123,4,5.9611187,3.4699998,CA_15013
124,5,5.89967,4.0,CA_15013
125,6,7.6930223,4.43,CA_15013
126,7,6.033778,4.63,CA_15013
127,8,6.7062984,4.63,CA_15013
128,9,6.7196174,4.43,CA_15013
129,10,6.495724,4.43,CA_15013
130,1,5.2941165,3.4699998,CA_15013
131,2,6.359118,3.4699998,CA_15013
132,3,8.11781,3.4699998,CA_15013
133,4,5.657211,4.0,CA_15013
134,5,6.3423944,4.43,CA_15013
135,6,8.008459,4.63,CA_15013
136,7,6.111566,4.63,CA_15013
137,8,6.4329815,4.43,CA_15013
138,9,7.119115,4.43,CA_15013
139,10,6.7820373,4.43,CA_15013
140,1,5.177399,3.4699998,CA_15013
141,2,6.6412883,3.4699998,CA_15013
142,3,7.846271,4.0,CA_15013
143,4,5.484872,4.43,CA_15013
144,5,6.318649,4.63,CA_15013
145,6,7.907331,4.63,CA_15013
146,7,6.238821,4.43,CA_15013
147,8,6.798032,4.43,CA_15013
148,9,7.25649,4.43,CA_15013
149,10,6.7599134,3.63,CA_15013
150,1,5.4598007,3.4699998,CA_15013
151,2,6.313737,4.0,CA_15013
152,3,7.5839424,4.43,CA_15013
153,4,5.5335646,4.63,CA_15013
154,5,5.768742,4.63,CA_15013
155,6,8.093063,4.43,CA_15013
156,7,5.9957643,4.43,CA_15013
157,8,6.849556,4.43,CA_15013
158,9,6.8534555,3.63,CA_15013
159,10,6.576327,3.8300002,CA_15013
160,1,5.76605,4.0,CA_15013
161,2,6.418611,4.43,CA_15013
162,3,7.376184,4.63,CA_15013
163,4,5.6647367,4.63,CA_15013
164,5,5.6193905,4.43,CA_15013
165,6,7.690778,4.43,CA_15013
166,7,5.9697447,4.43,CA_15013
167,8,7.216244,3.63,CA_15013
168,9,6.7450047,3.8300002,CA_15013
169,10,6.2929277,3.63,CA_15013
170,1,5.9965277,4.43,CA_15013
171,2,6.638897,4.63,CA_15013
172,3,7.483904,4.63,CA_15013
173,4,5.6362104,4.43,CA_15013
174,5,5.922394,4.43,CA_15013
175,6,7.5581474,4.43,CA_15013
176,7,6.5395775,3.63,CA_15013
177,8,7.4988203,3.8300002,CA_15013
178,9,6.900123,3.63,CA_15013
179,10,6.3248353,3.63,CA_15013
180,1,5.936955,4.63,CA_15013
181,2,6.7207384,4.63,CA_15013
182,3,7.503245,4.43,CA_15013
183,4,5.554325,4.43,CA_15013
184,5,6.213568,4.43,CA_15013
185,6,7.8751707,3.63,CA_15013
186,7,6.401737,3.8300002,CA_15013
187,8,7.314256,3.63,CA_15013
188,9,6.7291317,3.63,CA_15013
189,10,6.190834,3.4699998,CA_15013
190,1,5.811802,4.63,CA_15013
191,2,6.579584,4.43,CA_15013
192,3,8.044717,4.43,CA_15013
193,4,5.4421325,4.43,CA_15013
194,5,6.4073844,3.63,CA_15013
195,6,7.957762,3.8300002,CA_15013
196,7,6.67632,3.63,CA_15013
197,8,7.176013,3.63,CA_15013
198,9,6.703734,3.4699998,CA_15013
199,10,6.2978034,3.63,CA_15013
200,1,5.8990097,4.43,CA_15013
201,2,6.634196,4.43,CA_15013
202,3,8.006416,4.43,CA_15013
203,4,5.765003,3.63,CA_15013
204,5,6.0381994,3.8300002,CA_15013
205,6,8.126107,3.63,CA_15013
206,7,6.5407677,3.63,CA_15013
207,8,7.2052054,3.4699998,CA_15013
208,9,6.82256,3.63,CA_15013
209,10,6.3242197,4.2,CA_15013
210,1,5.9800186,4.43,CA_15013
211,2,6.1967134,4.43,CA_15013
212,3,7.847762,3.63,CA_15013
213,4,5.614834,3.8300002,CA_15013
214,5,5.92367,3.63,CA_15013
215,6,7.811585,3.63,CA_15013
216,7,6.2372108,3.4699998,CA_15013
217,8,6.864762,3.63,CA_15013
218,9,6.5118203,4.2,CA_15013
219,10,6.166867,3.4699998,CA_15013
220,1,5.621061,4.43,CA_15013
221,2,5.862749,3.63,CA_15013
222,3,7.809873,3.8300002,CA_15013
223,4,5.596318,3.63,CA_15013
224,5,5.566823,3.63,CA_15013
225,6,7.0891275,3.4699998,CA_15013
226,7,5.748378,3.63,CA_15013
227,8,6.2662535,4.2,CA_15013
228,9,6.394865,3.4699998,CA_15013
229,10,6.078818,4.0,CA_15013
230,1,5.857714,3.63,CA_15013
231,2,5.805867,3.8300002,CA_15013
232,3,7.9679933,3.63,CA_15013
233,4,5.670702,3.63,CA_15013
234,5,5.5447326,3.4699998,CA_15013
235,6,7.0629196,3.63,CA_15013
236,7,5.9930153,4.2,CA_15013
237,8,6.5212626,3.4699998,CA_15013
238,9,6.32828,4.0,CA_15013
239,10,6.022435,4.0,CA_15013
240,1,5.7365446,3.8300002,CA_15013
241,2,5.7737265,3.63,CA_15013
242,3,7.7050657,3.63,CA_15013
243,4,5.811163,3.4699998,CA_15013
244,5,5.62134,3.63,CA_15013
245,6,7.546374,4.2,CA_15013
246,7,5.6543155,3.4699998,CA_15013
247,8,6.4539247,4.0,CA_15013
