horizon,MSE,MAE,NSE,RMSE
1,0.16140638,0.18989867,0.9127397835254669,0.40175414
2,0.19737576,0.21084435,0.8933029100298882,0.44426993
3,0.2259501,0.22821951,0.8778624534606934,0.4753421
4,0.25205827,0.24432127,0.8637682944536209,0.50205404
5,0.2743472,0.2578662,0.8516055047512054,0.5237816
6,0.29275942,0.26771477,0.8415822088718414,0.5410725
7,0.311277,0.2790606,0.8314797580242157,0.55792207
8,0.33163044,0.28954548,0.8204594105482101,0.5758736
9,0.3464541,0.29921395,0.8124510943889618,0.58860356
10,0.35986537,0.3060033,0.8052021861076355,0.5998878
