model_type,country,run,best_val_loss,best_epoch,checkpoint_path
tide,Tajikistan,0,0.05715359002351761,53,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tide/run_0/Tajikistan_tide_epoch=53_val_loss=0.0572.ckpt
tide,Tajikistan,1,0.06098663806915283,52,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tide/run_1/Tajikistan_tide_epoch=52_val_loss=0.0610.ckpt
tide,Tajikistan,2,0.0590285025537014,37,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tide/run_2/Tajikistan_tide_epoch=37_val_loss=0.0590.ckpt
tide,Tajikistan,3,0.05471237003803253,50,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tide/run_3/Tajikistan_tide_epoch=50_val_loss=0.0547.ckpt
tide,Tajikistan,4,0.057278312742710114,48,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tide/run_4/Tajikistan_tide_epoch=48_val_loss=0.0573.ckpt
tsmixer,Tajikistan,0,0.06197251379489899,21,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tsmixer/run_0/Tajikistan_tsmixer_epoch=21_val_loss=0.0620.ckpt
tsmixer,Tajikistan,1,0.05853097140789032,27,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tsmixer/run_1/Tajikistan_tsmixer_epoch=27_val_loss=0.0585.ckpt
tsmixer,Tajikistan,2,0.05945918336510658,30,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tsmixer/run_2/Tajikistan_tsmixer_epoch=30_val_loss=0.0595.ckpt
tsmixer,Tajikistan,3,0.05873936042189598,35,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tsmixer/run_3/Tajikistan_tsmixer_epoch=35_val_loss=0.0587.ckpt
tsmixer,Tajikistan,4,0.05987676978111267,35,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tsmixer/run_4/Tajikistan_tsmixer_epoch=35_val_loss=0.0599.ckpt
ealstm,Tajikistan,0,0.05713215842843056,28,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/ealstm/run_0/Tajikistan_ealstm_epoch=28_val_loss=0.0571.ckpt
ealstm,Tajikistan,1,0.054894860833883286,28,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/ealstm/run_1/Tajikistan_ealstm_epoch=28_val_loss=0.0549.ckpt
ealstm,Tajikistan,2,0.05562684312462807,27,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/ealstm/run_2/Tajikistan_ealstm_epoch=27_val_loss=0.0556.ckpt
ealstm,Tajikistan,3,0.05796630308032036,23,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/ealstm/run_3/Tajikistan_ealstm_epoch=23_val_loss=0.0580.ckpt
ealstm,Tajikistan,4,0.05376856401562691,32,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/ealstm/run_4/Tajikistan_ealstm_epoch=32_val_loss=0.0538.ckpt
tft,Tajikistan,0,0.05079860985279083,48,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tft/run_0/Tajikistan_tft_epoch=48_val_loss=0.0508.ckpt
tft,Tajikistan,1,0.05321414768695831,40,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tft/run_1/Tajikistan_tft_epoch=40_val_loss=0.0532.ckpt
tft,Tajikistan,2,0.05057860165834427,41,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tft/run_2/Tajikistan_tft_epoch=41_val_loss=0.0506.ckpt
tft,Tajikistan,3,0.05150860175490379,42,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tft/run_3/Tajikistan_tft_epoch=42_val_loss=0.0515.ckpt
tft,Tajikistan,4,0.05163486674427986,41,experiments/DataSharing/output/ToKyrgyzstan/checkpoints/tajikistan/tft/run_4/Tajikistan_tft_epoch=41_val_loss=0.0516.ckpt
