basin_id,horizon,MSE,MAE,NSE,RMSE
CA_15013,1,0.14520247,0.19968542,0.9422841742634773,0.38105443
CA_15013,2,0.25386515,0.2652793,0.8990800976753235,0.50385034
CA_15013,3,0.35100454,0.31450853,0.8604468554258347,0.59245634
CA_15013,4,0.44179443,0.35450822,0.8243307024240494,0.6646762
CA_15013,5,0.5090536,0.3858601,0.7975742369890213,0.71347994
CA_15013,6,0.59760475,0.41818464,0.762359082698822,0.773049
CA_15013,7,0.64902735,0.4364702,0.7419134676456451,0.80562234
CA_15013,8,0.7104398,0.46353775,0.7175026834011078,0.8428759
CA_15013,9,0.71591324,0.46361294,0.7153466939926147,0.84611654
CA_15013,10,0.75040525,0.47471634,0.7016600370407104,0.86625934
CA_15020,1,0.032068275,0.10071959,0.9848183318972588,0.17907616
CA_15020,2,0.056370236,0.12612653,0.9735052678734064,0.23742417
CA_15020,3,0.07844343,0.15643485,0.9634118787944317,0.28007755
CA_15020,4,0.10020738,0.18554431,0.9536358527839184,0.3165555
CA_15020,5,0.12568225,0.21645764,0.9423107132315636,0.35451692
CA_15020,6,0.14787117,0.23888376,0.9326581805944443,0.3845402
CA_15020,7,0.17295964,0.256403,0.9218431264162064,0.41588417
CA_15020,8,0.20359875,0.27968878,0.9087993428111076,0.45121917
CA_15020,9,0.22451699,0.29594365,0.900467611849308,0.47383225
CA_15020,10,0.23985425,0.3089381,0.8946219682693481,0.48974916
CA_15022,1,0.024826664,0.09424673,0.9916370343416929,0.15756479
CA_15022,2,0.049546916,0.12896492,0.9834770709276199,0.22259137
CA_15022,3,0.07548237,0.15590373,0.9750775061547756,0.27474055
CA_15022,4,0.100856215,0.17978539,0.9670258834958076,0.31757867
CA_15022,5,0.12118278,0.21108907,0.9607423543930054,0.34811318
CA_15022,6,0.14146785,0.22481713,0.9546104930341244,0.37612212
CA_15022,7,0.15717459,0.23576568,0.9500497095286846,0.39645252
CA_15022,8,0.18026844,0.25409436,0.9432178735733032,0.4245803
CA_15022,9,0.19317153,0.2657176,0.9397144168615341,0.43951282
CA_15022,10,0.20943187,0.2814786,0.9352351278066635,0.45763728
CA_15025,1,0.01379396,0.06669938,0.9824195951223373,0.11744769
CA_15025,2,0.023360625,0.081597686,0.9703631792217493,0.15284184
CA_15025,3,0.03494738,0.10934817,0.9558897539973259,0.18694219
CA_15025,4,0.047448788,0.12959598,0.9404546841979027,0.21782742
CA_15025,5,0.06124677,0.15108567,0.9236447513103485,0.24748085
CA_15025,6,0.080443986,0.17335066,0.9003390371799469,0.2836265
CA_15025,7,0.08858546,0.18433158,0.8909046351909637,0.29763308
CA_15025,8,0.115258105,0.20726912,0.8594107925891876,0.33949685
CA_15025,9,0.11503637,0.20563975,0.8608873337507248,0.33917013
CA_15025,10,0.115973495,0.21013565,0.8608776330947876,0.3405488
CA_15039,1,0.030021735,0.082619555,0.9274849072098732,0.17326781
CA_15039,2,0.048270006,0.1075598,0.8833848610520363,0.21970436
CA_15039,3,0.065077275,0.13097033,0.8427495509386063,0.2551025
CA_15039,4,0.076670766,0.14483833,0.8146991729736328,0.27689487
CA_15039,5,0.08694475,0.15764481,0.7898274809122086,0.29486394
CA_15039,6,0.10253117,0.17355919,0.7521016895771027,0.32020488
CA_15039,7,0.10828496,0.18085241,0.7381390035152435,0.3290668
CA_15039,8,0.11698946,0.19325456,0.7170338034629822,0.34203723
CA_15039,9,0.11893494,0.19488825,0.7122717797756195,0.34486943
CA_15039,10,0.12262841,0.19898386,0.7032783031463623,0.3501834
CA_15040,1,0.0664197,0.12158637,0.97187858261168,0.2577202
CA_15040,2,0.11399088,0.1578176,0.9517354033887386,0.33762535
CA_15040,3,0.157434,0.1897908,0.9333416819572449,0.39677954
CA_15040,4,0.19966055,0.22161728,0.9154627546668053,0.4468339
CA_15040,5,0.23730697,0.2509484,0.8995187655091286,0.48714164
CA_15040,6,0.27380395,0.27341235,0.8840634599328041,0.5232628
CA_15040,7,0.303944,0.2904741,0.871295765042305,0.55131114
CA_15040,8,0.3321279,0.31188977,0.8593553155660629,0.5763054
CA_15040,9,0.3450116,0.32322425,0.8538930863142014,0.5873769
CA_15040,10,0.3635636,0.3361122,0.8460332155227661,0.6029624
CA_15044,1,0.2270442,0.17392631,0.9424270652234554,0.47649154
CA_15044,2,0.35926542,0.22652875,0.9088771939277649,0.5993875
CA_15044,3,0.4772404,0.27321672,0.8789263963699341,0.6908259
CA_15044,4,0.5849647,0.31692037,0.851562887430191,0.7648299
CA_15044,5,0.6853517,0.36045295,0.826053261756897,0.8278597
CA_15044,6,0.7750212,0.38508376,0.803253784775734,0.88035285
CA_15044,7,0.8251924,0.40626574,0.7904754728078842,0.908401
CA_15044,8,0.8743672,0.42128012,0.7779466956853867,0.935076
CA_15044,9,0.902145,0.43677554,0.7708480507135391,0.9498131
CA_15044,10,0.9404125,0.45053414,0.761081725358963,0.9697487
CA_15045,1,0.104539156,0.13677725,0.9559132158756256,0.32332516
CA_15045,2,0.18258767,0.17815535,0.9229976236820221,0.42730278
CA_15045,3,0.22959572,0.20955555,0.9031722918152809,0.47916147
CA_15045,4,0.283376,0.24639028,0.8804876282811165,0.53233075
CA_15045,5,0.33846727,0.28409776,0.8572450876235962,0.5817794
CA_15045,6,0.3919716,0.3123477,0.8346693366765976,0.62607634
CA_15045,7,0.44798577,0.33962438,0.8110322803258896,0.66931736
CA_15045,8,0.4990327,0.3627464,0.7894879430532455,0.70642245
CA_15045,9,0.54097104,0.38153344,0.771783784031868,0.7355073
CA_15045,10,0.582371,0.3969271,0.7543047666549683,0.76313233
CA_15069,1,0.0061314665,0.052019693,0.9923596121370792,0.07830368
CA_15069,2,0.009682575,0.0647922,0.9879350187256932,0.09840008
CA_15069,3,0.0126724765,0.07241678,0.984210005030036,0.1125721
CA_15069,4,0.017144218,0.084180824,0.9786378052085638,0.13093594
CA_15069,5,0.022737468,0.097675025,0.9716684520244598,0.15078948
CA_15069,6,0.026947878,0.107458726,0.9664221592247486,0.16415809
CA_15069,7,0.032356914,0.119239174,0.9596816226840019,0.17988028
CA_15069,8,0.03795609,0.13174428,0.9527039229869843,0.19482322
CA_15069,9,0.046275854,0.14493327,0.9423389099538326,0.21511823
CA_15069,10,0.052543975,0.1541545,0.9345321133732796,0.22922473
CA_15070,1,0.02917142,0.10248767,0.9834080208092928,0.17079642
CA_15070,2,0.045126777,0.12380571,0.9741410054266453,0.21243064
CA_15070,3,0.066505566,0.14607896,0.9616026468575001,0.25788674
CA_15070,4,0.094172865,0.1741196,0.9452146030962467,0.30687597
CA_15070,5,0.123427324,0.20106964,0.927643708884716,0.35132226
CA_15070,6,0.16776048,0.236775,0.9008914157748222,0.40958574
CA_15070,7,0.19517112,0.25203767,0.8837949186563492,0.44178176
CA_15070,8,0.24204491,0.28916755,0.8547469526529312,0.4919806
CA_15070,9,0.2538509,0.29407504,0.8468211889266968,0.5038362
CA_15070,10,0.2800362,0.3101992,0.8300811499357224,0.52918446
CA_15081,1,0.025859816,0.09032458,0.9771074894815683,0.16080987
CA_15081,2,0.04442957,0.11658884,0.9606929942965508,0.21078323
CA_15081,3,0.055865977,0.13573042,0.9506061933934689,0.23635985
CA_15081,4,0.06857797,0.15612018,0.9394048564136028,0.26187396
CA_15081,5,0.085885376,0.177204,0.9241545274853706,0.29306206
CA_15081,6,0.09992101,0.19331634,0.9118004217743874,0.31610286
CA_15081,7,0.11366265,0.21065938,0.8997018039226532,0.33713892
CA_15081,8,0.1270777,0.22439864,0.8878987208008766,0.3564796
CA_15081,9,0.13799113,0.23340018,0.8782839253544807,0.37147158
CA_15081,10,0.1424018,0.23637417,0.8744034022092819,0.37736163
CA_15083,1,0.08860855,0.16840357,0.9642783366143703,0.29767188
CA_15083,2,0.14412543,0.2143656,0.9419136829674244,0.37963855
CA_15083,3,0.19093667,0.2435266,0.9230692982673645,0.43696302
CA_15083,4,0.24004832,0.2777571,0.9033019617199898,0.48994726
CA_15083,5,0.29628685,0.3166328,0.8806726112961769,0.5443224
CA_15083,6,0.34480375,0.34743074,0.8611619174480438,0.5871999
CA_15083,7,0.38549697,0.36953157,0.844809040427208,0.620884
CA_15083,8,0.42446604,0.39250174,0.8291481286287308,0.6515106
CA_15083,9,0.43924618,0.40661687,0.8232268989086151,0.6627565
CA_15083,10,0.45196915,0.4163934,0.8181578814983368,0.6722865
CA_15090,1,0.15706244,0.1946941,0.9535003565251827,0.39631104
CA_15090,2,0.27981356,0.24199729,0.9172107055783272,0.52897406
CA_15090,3,0.4069006,0.30469987,0.879693329334259,0.6378876
CA_15090,4,0.5243946,0.34566236,0.8450627774000168,0.72415096
CA_15090,5,0.64075905,0.3882356,0.8108140081167221,0.8004743
CA_15090,6,0.7403446,0.42592072,0.7815635502338409,0.8604328
CA_15090,7,0.827273,0.4585197,0.7560856342315674,0.9095455
CA_15090,8,0.9055895,0.48590705,0.7331804931163788,0.9516247
CA_15090,9,0.9974192,0.50637615,0.706328421831131,0.9987088
CA_15090,10,1.063079,0.5298695,0.6872134506702423,1.0310572
CA_15194,1,0.034190185,0.11823375,0.9809518251568079,0.18490589
CA_15194,2,0.06261116,0.15042883,0.9651234447956085,0.25022224
CA_15194,3,0.097099975,0.18262911,0.945920143276453,0.3116087
CA_15194,4,0.13152906,0.21163261,0.9267558678984642,0.36266935
CA_15194,5,0.16393445,0.24025203,0.9087220951914787,0.4048882
CA_15194,6,0.20499861,0.26979822,0.8858782052993774,0.45276773
CA_15194,7,0.23303796,0.28830016,0.8702920079231262,0.48274004
CA_15194,8,0.2738661,0.31560132,0.8475944846868515,0.52332217
CA_15194,9,0.2842966,0.32150146,0.8418181985616684,0.5331947
CA_15194,10,0.29702696,0.32990935,0.8347645848989487,0.5450018
CA_15214,1,0.024119984,0.09344826,0.9846752574667335,0.1553061
CA_15214,2,0.041436702,0.117661096,0.9736718069761992,0.20356007
CA_15214,3,0.059412777,0.13897821,0.9622483961284161,0.24374737
CA_15214,4,0.08161543,0.16240124,0.948138203471899,0.28568414
