basin_id,horizon,MSE,MAE,NSE,RMSE
CA_15013,1,0.15868728,0.21540615,0.9367834851145744,0.39835572
CA_15013,2,0.2878827,0.32892013,0.8853233233094215,0.536547
CA_15013,3,0.3883912,0.37412137,0.845296323299408,0.6232104
CA_15013,4,0.46757624,0.36445156,0.8137699365615845,0.68379545
CA_15013,5,0.55660725,0.40107015,0.7783273756504059,0.74606115
CA_15013,6,0.64492345,0.43477738,0.7431751787662506,0.80307126
CA_15013,7,0.75334716,0.4525089,0.7000149488449097,0.86795574
CA_15013,8,0.7800667,0.4552502,0.6893822848796844,0.8832139
CA_15013,9,0.8061058,0.46083757,0.6790177524089813,0.89783394
CA_15013,10,0.82851636,0.46923357,0.6700941026210785,0.9102287
CA_15020,1,0.052607473,0.13369155,0.9745328724384308,0.22936319
CA_15020,2,0.08290409,0.20181555,0.9600800983607769,0.2879307
CA_15020,3,0.10782297,0.22467007,0.9484581761062145,0.32836407
CA_15020,4,0.11678205,0.19293715,0.9446041360497475,0.34173387
CA_15020,5,0.14395268,0.2244639,0.9322352856397629,0.37941098
CA_15020,6,0.16673191,0.24940094,0.9221041202545166,0.40832818
CA_15020,7,0.17619343,0.24352865,0.9182992056012154,0.419754
CA_15020,8,0.21000755,0.2669829,0.9034501388669014,0.4582658
CA_15020,9,0.24503992,0.28805968,0.888482503592968,0.49501508
CA_15020,10,0.25997132,0.29860127,0.8827268555760384,0.5098738
CA_15022,1,0.057457216,0.1435607,0.9803662151098251,0.23970234
CA_15022,2,0.08182577,0.20166132,0.9723019301891327,0.28605205
CA_15022,3,0.09879428,0.21193625,0.966869056224823,0.3143156
CA_15022,4,0.10542938,0.1822519,0.9649693444371223,0.3246989
CA_15022,5,0.12699966,0.23260964,0.9581589959561825,0.35637012
CA_15022,6,0.14521314,0.25802237,0.9525850377976894,0.3810684
CA_15022,7,0.1465938,0.24007043,0.952556848526001,0.38287568
CA_15022,8,0.16910571,0.26227197,0.9457262568175793,0.41122463
CA_15022,9,0.20503871,0.2858264,0.9347705692052841,0.45281202
CA_15022,10,0.2160381,0.2731655,0.9318608716130257,0.464799
CA_15025,1,0.04335304,0.12009263,0.9440075494349003,0.20821393
CA_15025,2,0.047930267,0.15417902,0.9382997304201126,0.21892983
CA_15025,3,0.05295312,0.15321608,0.9320852160453796,0.23011544
CA_15025,4,0.056197718,0.13217102,0.9282493740320206,0.23706058
CA_15025,5,0.074643314,0.17832534,0.9052383676171303,0.27320927
CA_15025,6,0.082885884,0.19636768,0.8953471034765244,0.28789908
CA_15025,7,0.07919091,0.17835708,0.9005269259214401,0.2814088
CA_15025,8,0.0918884,0.19658469,0.8855834603309631,0.30313098
CA_15025,9,0.09975077,0.20479493,0.8767732605338097,0.31583345
CA_15025,10,0.096165136,0.18801099,0.8820533454418182,0.31010503
CA_15039,1,0.031418703,0.08570653,0.9235340356826782,0.17725322
CA_15039,2,0.05506781,0.13430792,0.8659526109695435,0.23466532
CA_15039,3,0.0725016,0.1600161,0.823482096195221,0.2692612
CA_15039,4,0.082960315,0.1519469,0.7979809790849686,0.28802833
CA_15039,5,0.094590865,0.1641039,0.7696163207292557,0.30755627
CA_15039,6,0.10414188,0.17507488,0.7463068664073944,0.32271022
CA_15039,7,0.112011336,0.18139547,0.7270858883857727,0.33468094
CA_15039,8,0.11541251,0.18565662,0.7187466621398926,0.33972418
CA_15039,9,0.12021704,0.18926762,0.7069837749004364,0.3467233
CA_15039,10,0.123297915,0.19611898,0.6994185447692871,0.35113803
CA_15040,1,0.08560713,0.13306099,0.9631343632936478,0.29258695
CA_15040,2,0.13314576,0.21331704,0.9426581189036369,0.36489144
CA_15040,3,0.17793916,0.2502202,0.9233621656894684,0.42182836
CA_15040,4,0.20282082,0.22647496,0.9126414358615875,0.45035633
CA_15040,5,0.24383314,0.25064522,0.8949685767292976,0.49379462
CA_15040,6,0.2746734,0.27481452,0.8816749528050423,0.5240929
CA_15040,7,0.2940429,0.2816619,0.8733161240816116,0.5422572
CA_15040,8,0.32673112,0.3009945,0.859216496348381,0.571604
CA_15040,9,0.35606673,0.3144733,0.8465604037046432,0.5967133
CA_15040,10,0.37082663,0.33191746,0.8401868343353271,0.6089554
CA_15044,1,0.25272027,0.19640702,0.9350616410374641,0.5027129
CA_15044,2,0.3894202,0.30353954,0.8999141901731491,0.6240354
CA_15044,3,0.512228,0.35251948,0.8683229237794876,0.71570104
CA_15044,4,0.592692,0.32338965,0.8476056605577469,0.7698649
CA_15044,5,0.6856795,0.34655306,0.8236628919839859,0.82805765
CA_15044,6,0.7631894,0.37882903,0.8036935329437256,0.8736071
