horizon,MSE,MAE,NSE,RMSE
1,0.04947807,0.10338661,0.973243610933423,0.22243667
2,0.083811276,0.12926102,0.9547001235187054,0.2895018
3,0.117773935,0.15097746,0.9363775253295898,0.3431821
4,0.1519926,0.17421092,0.9179418385028839,0.3898623
5,0.18379138,0.19504374,0.900833249092102,0.42870897
6,0.2124857,0.21284166,0.8854196593165398,0.4609617
7,0.24297012,0.2311034,0.8690600544214249,0.49292
8,0.27200127,0.24659052,0.8535077422857285,0.5215374
9,0.2920227,0.2582939,0.8428396433591843,0.54039127
10,0.31323284,0.27078682,0.8315322399139404,0.55967206
