horizon,MSE,MAE,NSE,RMSE
1,0.05118232,0.10004219,0.9723220001906157,0.22623509
2,0.08677223,0.1277547,0.9530997350811958,0.29457128
3,0.11905223,0.15182093,0.9356869757175446,0.34503946
4,0.15187661,0.1750305,0.9180044606328011,0.3897135
5,0.1826496,0.19777398,0.9014493077993393,0.42737523
6,0.21234585,0.21593584,0.8854950740933418,0.46081
7,0.23580877,0.22930196,0.8729193955659866,0.48560145
8,0.26168343,0.24749637,0.8590646386146545,0.51155
9,0.27682924,0.25498536,0.8510164469480515,0.52614564
10,0.29192743,0.264785,0.842991054058075,0.5403031
