horizon,MSE,MAE,NSE,RMSE
1,1.5942383,0.4306292,0.7865835577249527,1.2626315
2,2.515503,0.5554705,0.6632955372333527,1.5860337
3,2.9443371,0.6492273,0.6061544120311737,1.7159071
4,3.22809,0.71318525,0.5683231055736542,1.7966887
5,3.4637074,0.79367757,0.5368435084819794,1.8611038
6,3.6668768,0.82082206,0.5096985101699829,1.9149091
7,3.927309,0.8547224,0.47489434480667114,1.9817439
8,3.9304142,0.86495435,0.47449833154678345,1.9825273
9,4.004094,0.89236015,0.4646736979484558,2.0010233
10,4.059918,0.88964635,0.4572046399116516,2.0149238
