basin_id,horizon,MSE,MAE,NSE,RMSE
CA_15013,1,0.1442132,0.21124713,0.9426634609699249,0.37975413
CA_15013,2,0.250182,0.27351087,0.9005250558257103,0.500182
CA_15013,3,0.3589955,0.32294595,0.8572561889886856,0.59916234
CA_15013,4,0.44531158,0.3554379,0.8229414820671082,0.6673167
CA_15013,5,0.5070462,0.37928787,0.7984122931957245,0.7120718
CA_15013,6,0.5794624,0.4060888,0.7696519047021866,0.76122427
CA_15013,7,0.6304743,0.42205042,0.7494115829467773,0.7940241
CA_15013,8,0.6762424,0.43624443,0.7312642633914948,0.8223396
CA_15013,9,0.71500057,0.4492091,0.7159173488616943,0.84557706
CA_15013,10,0.7435112,0.46304813,0.7046530544757843,0.86227095
CA_15020,1,0.033131666,0.108459756,0.9843751844018698,0.18202107
CA_15020,2,0.052545935,0.12762995,0.9753966927528381,0.229229
CA_15020,3,0.07295184,0.15338938,0.9661010652780533,0.27009597
CA_15020,4,0.0916425,0.17932335,0.9577553272247314,0.3027251
CA_15020,5,0.10952043,0.20299636,0.9499113447964191,0.3309387
CA_15020,6,0.12443861,0.22145595,0.9435305818915367,0.3527586
CA_15020,7,0.14578488,0.24097686,0.934350460767746,0.38181788
CA_15020,8,0.16663592,0.25957423,0.9256069585680962,0.40821064
CA_15020,9,0.185087,0.2761595,0.9182161167263985,0.4302174
CA_15020,10,0.20231314,0.29274735,0.9113982543349266,0.44979233
CA_15022,1,0.041732334,0.12381736,0.9859792971983552,0.20428494
CA_15022,2,0.06063978,0.143336,0.9798322580754757,0.24625146
CA_15022,3,0.085319676,0.16834821,0.9719069078564644,0.29209533
CA_15022,4,0.10974346,0.18960488,0.9642211087048054,0.3312755
CA_15022,5,0.13403428,0.20859891,0.9566998071968555,0.36610693
CA_15022,6,0.15393026,0.22208315,0.9507472738623619,0.39233947
CA_15022,7,0.17592132,0.23877399,0.9442396908998489,0.41942975
CA_15022,8,0.19369742,0.25288942,0.939140073955059,0.44011068
CA_15022,9,0.21142423,0.26523343,0.9341751933097839,0.45980892
CA_15022,10,0.22898377,0.27762613,0.9293496161699295,0.47852248
CA_15025,1,0.029060312,0.103784524,0.9631019160151482,0.17047085
CA_15025,2,0.03884859,0.11430517,0.9509017840027809,0.19710046
CA_15025,3,0.0513885,0.13051592,0.9353873208165169,0.2266903
CA_15025,4,0.06403303,0.14714512,0.9199535623192787,0.2530475
CA_15025,5,0.07448294,0.15962578,0.9075041636824608,0.27291563
CA_15025,6,0.08345526,0.17112999,0.8970105424523354,0.28888625
CA_15025,7,0.09263361,0.18267287,0.8863620907068253,0.3043577
CA_15025,8,0.09988122,0.19201386,0.8786380290985107,0.3160399
CA_15025,9,0.10928566,0.20213817,0.8683500587940216,0.3305838
CA_15025,10,0.1199667,0.21409696,0.8566330820322037,0.34636208
