basin_id,horizon,MSE,MAE,NSE,RMSE
CA_15013,1,0.13106824,0.18166736,0.9478883221745491,0.3620335
CA_15013,2,0.23435871,0.24926993,0.9068140760064125,0.4841061
CA_15013,3,0.33037806,0.30231482,0.8686316013336182,0.57478523
CA_15013,4,0.39939538,0.33234668,0.8411939144134521,0.6319774
CA_15013,5,0.46203905,0.36149442,0.8163011819124222,0.6797345
CA_15013,6,0.52273357,0.38751966,0.792197197675705,0.72300315
CA_15013,7,0.56313527,0.39871624,0.7761703729629517,0.7504234
CA_15013,8,0.59576076,0.40781268,0.7632411569356918,0.7718554
CA_15013,9,0.6256648,0.41811568,0.7514056116342545,0.79098976
CA_15013,10,0.6408158,0.4261176,0.7454404234886169,0.8005097
CA_15020,1,0.024407648,0.0852434,0.9884896501898766,0.15622947
CA_15020,2,0.04772111,0.11324477,0.9776562787592411,0.21845162
CA_15020,3,0.06902857,0.14161506,0.9679247997701168,0.2627329
CA_15020,4,0.087067656,0.16513903,0.9598651826381683,0.2950723
CA_15020,5,0.105798684,0.18516299,0.9516147635877132,0.3252671
CA_15020,6,0.12243833,0.20259531,0.9444399364292622,0.3499119
CA_15020,7,0.13943285,0.21988703,0.9372129067778587,0.37340707
CA_15020,8,0.15883113,0.23802944,0.9290936589241028,0.39853624
CA_15020,9,0.17577595,0.2521919,0.9223329201340675,0.41925642
CA_15020,10,0.19190793,0.2650002,0.9159577414393425,0.43807298
CA_15022,1,0.025484378,0.087650396,0.9914385778829455,0.15963827
CA_15022,2,0.046832066,0.1177424,0.9844253435730934,0.21640718
CA_15022,3,0.071095966,0.14498766,0.9765916094183922,0.26663828
CA_15022,4,0.08957718,0.1658662,0.9707973226904869,0.29929447
CA_15022,5,0.10556559,0.18635835,0.9658984504640102,0.32490858
CA_15022,6,0.12002915,0.20181924,0.9615964367985725,0.34645224
CA_15022,7,0.13475373,0.2150733,0.9572902768850327,0.36708817
CA_15022,8,0.15009744,0.2284303,0.9528414085507393,0.3874241
CA_15022,9,0.16737254,0.24227089,0.9478925690054893,0.4091119
CA_15022,10,0.1848299,0.25436985,0.9429752454161644,0.4299185
CA_15025,1,0.013696036,0.0679113,0.9826089832931757,0.11703007
CA_15025,2,0.024491185,0.08962685,0.9690453913062811,0.1564966
CA_15025,3,0.035874285,0.110950895,0.9548912681639194,0.18940508
CA_15025,4,0.0451291,0.1280985,0.9435817301273346,0.21243611
CA_15025,5,0.053005125,0.1410267,0.9341726750135422,0.23022842
CA_15025,6,0.06133965,0.15409723,0.9242990463972092,0.24766843
CA_15025,7,0.07139249,0.16642268,0.9124157130718231,0.26719373
CA_15025,8,0.08323788,0.17824139,0.8988564312458038,0.28850976
CA_15025,9,0.091855265,0.18686949,0.8893425911664963,0.30307633
CA_15025,10,0.095216505,0.19069448,0.8862056061625481,0.30857173
CA_15039,1,0.024989933,0.06949569,0.9396887086331844,0.15808204
CA_15039,2,0.04548353,0.10121991,0.8902073577046394,0.21326868
CA_15039,3,0.06146274,0.12315867,0.8516059368848801,0.2479168
CA_15039,4,0.074105,0.13910586,0.8210475295782089,0.27222234
CA_15039,5,0.084804565,0.15168591,0.795169323682785,0.29121223
CA_15039,6,0.09540827,0.16101323,0.7695124745368958,0.3088823
CA_15039,7,0.10287206,0.16788365,0.7514324337244034,0.32073674
CA_15039,8,0.109230034,0.17433847,0.7360177040100098,0.33049968
CA_15039,9,0.114798784,0.18017174,0.7225046157836914,0.33881968
CA_15039,10,0.11788592,0.18540387,0.7149860262870789,0.3433452
CA_15040,1,0.055180144,0.09103131,0.9767008740454912,0.23490454
CA_15040,2,0.1000025,0.13236347,0.9577740244567394,0.31623173
CA_15040,3,0.141355,0.16734068,0.9403103962540627,0.37597206
CA_15040,4,0.18108425,0.19799884,0.9235318079590797,0.42553994
CA_15040,5,0.21928242,0.22436678,0.9073961079120636,0.468276
CA_15040,6,0.25101793,0.24553303,0.8939879015088081,0.5010169
CA_15040,7,0.27634662,0.26157293,0.8832840770483017,0.5256868
CA_15040,8,0.296178,0.27487633,0.8749009519815445,0.5442224
CA_15040,9,0.30671975,0.2821716,0.8704396337270737,0.5538229
CA_15040,10,0.30460003,0.2843505,0.8713291436433792,0.5519058
CA_15044,1,0.17253402,0.13033366,0.9563220106065273,0.41537213
CA_15044,2,0.31517273,0.19595,0.9201942160725594,0.56140244
CA_15044,3,0.4368119,0.25406703,0.8893694952130318,0.66091746
CA_15044,4,0.5458483,0.29618475,0.861724928021431,0.7388155
CA_15044,5,0.6412383,0.3281839,0.8375292122364044,0.80077356
CA_15044,6,0.7141866,0.35132122,0.8190113008022308,0.84509563
CA_15044,7,0.7535283,0.36754555,0.8090058118104935,0.86806005
CA_15044,8,0.7835455,0.37885404,0.8013605177402496,0.88518107
CA_15044,9,0.8149441,0.3883046,0.793362095952034,0.90274256
CA_15044,10,0.83800536,0.39574942,0.7874750941991806,0.9154263
CA_15045,1,0.08275039,0.10189543,0.9651850126683712,0.28766367
CA_15045,2,0.16654408,0.15361348,0.9299271330237389,0.40809813
CA_15045,3,0.21168324,0.19053037,0.910929948091507,0.46009046
CA_15045,4,0.25969642,0.22464271,0.8907212764024734,0.50960416
CA_15045,5,0.30826923,0.25669003,0.8702747821807861,0.55522
CA_15045,6,0.35832462,0.28482118,0.8492020964622498,0.59860224
CA_15045,7,0.40527147,0.30888093,0.8294352740049362,0.6366094
CA_15045,8,0.45143437,0.3286109,0.8099993467330933,0.67188865
CA_15045,9,0.4902586,0.34337837,0.7936523705720901,0.7001847
CA_15045,10,0.524693,0.35818496,0.7791573703289032,0.72435695
CA_15069,1,0.005359061,0.05260681,0.9933310435153544,0.073205605
CA_15069,2,0.007071415,0.059857413,0.9912006128579378,0.08409171
CA_15069,3,0.010234077,0.070934206,0.9872655775398016,0.10116362
CA_15069,4,0.013105649,0.08276676,0.9836921505630016,0.11447991
CA_15069,5,0.016260289,0.09298143,0.979766359552741,0.12751584
CA_15069,6,0.020102264,0.106771454,0.9749855604022741,0.14178245
CA_15069,7,0.0243106,0.116574585,0.9697488807141781,0.15591857
