horizon,MSE,MAE,NSE,RMSE
1,0.045097344,0.0857854,0.9758787117898464,0.21236135
2,0.079994395,0.11715759,0.9572279267013073,0.2828328
3,0.1136966,0.14560051,0.939227033406496,0.33718926
4,0.1449515,0.16821858,0.9225375577807426,0.38072497
5,0.1748568,0.1887073,0.9065577164292336,0.41815883
6,0.1995209,0.20477204,0.8933021947741508,0.44667763
7,0.22106847,0.21799484,0.8817426785826683,0.4701792
8,0.23965015,0.22894342,0.8718071430921555,0.48954076
9,0.25641024,0.23860319,0.8628490716218948,0.50636965
10,0.27041543,0.24706411,0.855379119515419,0.5200148
