epoch,lr-Adam,step,train_loss,train_mse,val_loss,val_mse
,1e-05,0,,,,
0,,47,,,0.09209052473306656,0.09209052473306656
,1e-05,48,,,,
1,,49,0.11255206912755966,0.11255206912755966,,
1,,95,,,0.08716101944446564,0.08716101944446564
,1e-05,96,,,,
2,,99,0.10255306214094162,0.10255306214094162,,
2,,143,,,0.08452874422073364,0.08452874422073364
,1e-05,144,,,,
3,,149,0.10376328229904175,0.10376328229904175,,
3,,191,,,0.08266283571720123,0.08266283571720123
,1e-05,192,,,,
4,,199,0.09285435825586319,0.09285435825586319,,
4,,239,,,0.08122622221708298,0.08122622221708298
,1e-05,240,,,,
5,,249,0.07754430919885635,0.07754430919885635,,
5,,287,,,0.08002964407205582,0.08002964407205582
,1e-05,288,,,,
6,,299,0.102242611348629,0.102242611348629,,
6,,335,,,0.078974649310112,0.078974649310112
,1e-05,336,,,,
7,,349,0.09240467846393585,0.09240467846393585,,
7,,383,,,0.07804297655820847,0.07804297655820847
,1e-05,384,,,,
8,,399,0.09413619339466095,0.09413619339466095,,
8,,431,,,0.07731792330741882,0.07731792330741882
,1e-05,432,,,,
9,,449,0.10504712909460068,0.10504712909460068,,
9,,479,,,0.07657507061958313,0.07657507061958313
,1e-05,480,,,,
10,,499,0.0861750990152359,0.0861750990152359,,
10,,527,,,0.07586508244276047,0.07586508244276047
,1e-05,528,,,,
11,,549,0.08872152864933014,0.08872152864933014,,
11,,575,,,0.07533074170351028,0.07533074170351028
,1e-05,576,,,,
12,,599,0.08601846545934677,0.08601846545934677,,
12,,623,,,0.07483628392219543,0.07483628392219543
,1e-05,624,,,,
13,,649,0.08489476144313812,0.08489476144313812,,
13,,671,,,0.07429247349500656,0.07429247349500656
,1e-05,672,,,,
14,,699,0.09010521322488785,0.09010521322488785,,
14,,719,,,0.07387241721153259,0.07387241721153259
,1e-05,720,,,,
15,,749,0.07737650722265244,0.07737650722265244,,
15,,767,,,0.0734163373708725,0.0734163373708725
,1e-05,768,,,,
16,,799,0.07966353744268417,0.07966353744268417,,
16,,815,,,0.07306000590324402,0.07306000590324402
,1e-05,816,,,,
17,,849,0.07264192402362823,0.07264192402362823,,
17,,863,,,0.07265352457761765,0.07265352457761765
,1e-05,864,,,,
18,,899,0.08896900713443756,0.08896900713443756,,
18,,911,,,0.07239729166030884,0.07239729166030884
,1e-05,912,,,,
19,,949,0.07857365906238556,0.07857365906238556,,
19,,959,,,0.07202363759279251,0.07202363759279251
,1e-05,960,,,,
20,,999,0.0711076557636261,0.0711076557636261,,
20,,1007,,,0.07173065096139908,0.07173065096139908
,1e-05,1008,,,,
21,,1049,0.08663200587034225,0.08663200587034225,,
21,,1055,,,0.07140552997589111,0.07140552997589111
,1e-05,1056,,,,
22,,1099,0.07745495438575745,0.07745495438575745,,
22,,1103,,,0.07111336290836334,0.07111336290836334
,1e-05,1104,,,,
23,,1149,0.08041580766439438,0.08041580766439438,,
23,,1151,,,0.07085897028446198,0.07085897028446198
,1e-05,1152,,,,
24,,1199,0.08554159849882126,0.08554159849882126,,
24,,1199,,,0.07060935348272324,0.07060935348272324
,1e-05,1200,,,,
25,,1247,,,0.07033538818359375,0.07033538818359375
,1e-05,1248,,,,
26,,1249,0.07487794011831284,0.07487794011831284,,
26,,1295,,,0.07012078911066055,0.07012078911066055
,1e-05,1296,,,,
27,,1299,0.08538348972797394,0.08538348972797394,,
27,,1343,,,0.06993824988603592,0.06993824988603592
,1e-05,1344,,,,
28,,1349,0.0745197981595993,0.0745197981595993,,
28,,1391,,,0.06969084590673447,0.06969084590673447
,1e-05,1392,,,,
29,,1399,0.06445211917161942,0.06445211917161942,,
29,,1439,,,0.0694715678691864,0.0694715678691864
