horizon,MSE,MAE,NSE,RMSE
1,0.24305013,0.23521517,0.9005623459815979,0.49300113
2,0.31997094,0.27788922,0.869137167930603,0.56565976
3,0.4084833,0.31804094,0.832996740937233,0.63912696
4,0.48527163,0.34971982,0.8016766756772995,0.6966144
5,0.54406226,0.37383795,0.777733102440834,0.73760575
6,0.5874542,0.39491677,0.7600984126329422,0.7664556
7,0.6419544,0.41545597,0.7379390895366669,0.8012206
8,0.69509643,0.4338126,0.7163678407669067,0.83372444
9,0.750493,0.4548261,0.6939095556735992,0.86631
10,0.7999924,0.47376776,0.6738646030426025,0.89442295
