model_group,target_group,horizon,MSE,MAE,NSE,RMSE
group1,group2,1,0.12154675,0.15481956,0.939305804669857,0.34863555
group1,group2,2,0.16247928,0.17940055,0.9189553037285805,0.4030872
group1,group2,3,0.2017306,0.20395412,0.8994896784424782,0.4491443
group1,group2,4,0.23966004,0.22516307,0.880729116499424,0.48955086
group1,group2,5,0.2751362,0.24603814,0.8632325977087021,0.5245343
group1,group2,6,0.31212428,0.26664752,0.8450323194265366,0.55868083
group1,group2,7,0.3461706,0.28351757,0.8283365964889526,0.58836263
group1,group2,8,0.36681595,0.29535803,0.8183342218399048,0.60565335
group1,group2,9,0.4056613,0.31157255,0.7993763387203217,0.63691545
group1,group2,10,0.43649453,0.32486302,0.7844130843877792,0.6606773
group2,group1,1,0.07483538,0.13902883,0.9618874788284302,0.27356055
group2,group1,2,0.12724203,0.17167802,0.9351831376552582,0.35671002
group2,group1,3,0.18161829,0.20130046,0.9074628725647926,0.42616698
group2,group1,4,0.22913502,0.22730334,0.8832250460982323,0.4786805
group2,group1,5,0.27648354,0.25492567,0.8590626865625381,0.52581704
group2,group1,6,0.31969437,0.27963096,0.8369984775781631,0.5654152
group2,group1,7,0.36076963,0.29721922,0.8160105794668198,0.600641
group2,group1,8,0.40210292,0.3157601,0.7948869168758392,0.6341159
group2,group1,9,0.4351869,0.3330979,0.7779618054628372,0.659687
group2,group1,10,0.46610186,0.34775954,0.7621341943740845,0.68271655
