horizon,MSE,MAE,NSE,RMSE
1,1.6831049,0.33773527,0.8699267655611038,1.2973453
2,3.0318093,0.4748256,0.7657245844602585,1.7412091
3,3.7084942,0.56732804,0.7135083675384521,1.9257451
4,4.1636777,0.6386309,0.6785492599010468,2.0405092
5,4.5445266,0.69024277,0.6496695280075073,2.1317894
6,4.7995934,0.7316505,0.6304895579814911,2.1907973
7,4.963785,0.7621503,0.6183188557624817,2.2279553
8,5.081668,0.7887621,0.6091437339782715,2.2542555
9,5.150224,0.80873704,0.6036679744720459,2.2694106
10,5.222256,0.82360256,0.5979259014129639,2.2852256
