,run,run,run,run,MSE,MSE,MSE,MSE,MAE,MAE,MAE,MAE,NSE,NSE,NSE,NSE,RMSE,RMSE,RMSE,RMSE
,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max,mean,std,min,max
horizon,,,,,,,,,,,,,,,,,,,,
1,0.0,,0,0,2.2985327141849616,,2.2985327141849616,2.2985327141849616,0.35278743466264323,,0.35278743466264323,0.35278743466264323,0.8400308364316037,,0.8400308364316037,0.8400308364316037,1.4950493707468635,,1.4950493707468635,1.4950493707468635
2,0.0,,0,0,3.7924953087380056,,3.7924953087380056,3.7924953087380056,0.494292630470897,,0.494292630470897,0.494292630470897,0.7361257159592289,,0.7361257159592289,0.7361257159592289,1.9204175005617894,,1.9204175005617894,1.9204175005617894
3,0.0,,0,0,4.581838969337313,,4.581838969337313,4.581838969337313,0.5917431618037976,,0.5917431618037976,0.5917431618037976,0.6814190063037371,,0.6814190063037371,0.6814190063037371,2.110532929630656,,2.110532929630656,2.110532929630656
4,0.0,,0,0,5.143556928164081,,5.143556928164081,5.143556928164081,0.6604067010706978,,0.6604067010706978,0.6604067010706978,0.6427358256554917,,0.6427358256554917,0.6427358256554917,2.235422779854975,,2.235422779854975,2.235422779854975
5,0.0,,0,0,5.577215320185611,,5.577215320185611,5.577215320185611,0.7111538172160324,,0.7111538172160324,0.7111538172160324,0.6128258128699504,,0.6128258128699504,0.6128258128699504,2.3280751689484243,,2.3280751689484243,2.3280751689484243
6,0.0,,0,0,5.876804830212342,,5.876804830212342,5.876804830212342,0.7504587200911421,,0.7504587200911421,0.7504587200911421,0.5920646046533397,,0.5920646046533397,0.5920646046533397,2.390490274680288,,2.390490274680288,2.390490274680288
7,0.0,,0,0,6.086448432583558,,6.086448432583558,6.086448432583558,0.7814916721300075,,0.7814916721300075,0.7814916721300075,0.5773497391492128,,0.5773497391492128,0.5773497391492128,2.4338567609849733,,2.4338567609849733,2.4338567609849733
8,0.0,,0,0,6.227452216964019,,6.227452216964019,6.227452216964019,0.8081777107558752,,0.8081777107558752,0.8081777107558752,0.5670541887612719,,0.5670541887612719,0.5670541887612719,2.4628327606539977,,2.4628327606539977,2.4628327606539977
9,0.0,,0,0,6.330052695776287,,6.330052695776287,6.330052695776287,0.8285801940058407,,0.8285801940058407,0.8285801940058407,0.5595643082143444,,0.5595643082143444,0.5595643082143444,2.4834423480849517,,2.4834423480849517,2.4834423480849517
10,0.0,,0,0,6.412099298677946,,6.412099298677946,6.412099298677946,0.8446976011128802,,0.8446976011128802,0.8446976011128802,0.5532369762659073,,0.5532369762659073,0.5532369762659073,2.50054206032502,,2.50054206032502,2.50054206032502
