model_group,target_group,horizon,MSE,MAE,NSE,RMSE
group1,group2,1,0.08130069,0.14434579,0.9233109652996063,0.28513277
group1,group2,2,0.100314505,0.16900569,0.905359297990799,0.31672466
group1,group2,3,0.12411878,0.18946616,0.882876493036747,0.35230497
group1,group2,4,0.15345669,0.21015759,0.8551572114229202,0.3917355
group1,group2,5,0.18024978,0.22866,0.8298321217298508,0.42455834
group1,group2,6,0.20102103,0.24272975,0.8101904094219208,0.44835368
group1,group2,7,0.22316049,0.25671247,0.7892621755599976,0.47239867
group1,group2,8,0.24363641,0.27024227,0.7698986381292343,0.4935954
group1,group2,9,0.2657034,0.2838969,0.7490238547325134,0.51546425
group1,group2,10,0.2799583,0.29265526,0.7355188727378845,0.52911085
group2,group1,1,0.24305013,0.23521517,0.9005623459815979,0.49300113
group2,group1,2,0.31997094,0.27788922,0.869137167930603,0.56565976
group2,group1,3,0.4084833,0.31804094,0.832996740937233,0.63912696
group2,group1,4,0.48527163,0.34971982,0.8016766756772995,0.6966144
group2,group1,5,0.54406226,0.37383795,0.777733102440834,0.73760575
group2,group1,6,0.5874542,0.39491677,0.7600984126329422,0.7664556
group2,group1,7,0.6419544,0.41545597,0.7379390895366669,0.8012206
group2,group1,8,0.69509643,0.4338126,0.7163678407669067,0.83372444
group2,group1,9,0.750493,0.4548261,0.6939095556735992,0.86631
group2,group1,10,0.7999924,0.47376776,0.6738646030426025,0.89442295
