horizon,MSE,MAE,NSE,RMSE
1,1.5662107,0.29647568,0.8618339747190475,1.2514834
2,2.5844717,0.4104738,0.7720343470573425,1.6076292
3,3.1153452,0.49278092,0.7252912521362305,1.7650341
4,3.4787214,0.55524373,0.6934119760990143,1.865133
5,3.7804022,0.60163677,0.667180210351944,1.9443257
6,4.002372,0.6404253,0.6479873359203339,2.000593
7,4.175671,0.67040604,0.6330876350402832,2.0434458
8,4.2993245,0.695344,0.6221587359905243,2.0734813
9,4.381896,0.7142742,0.6147677004337311,2.093298
10,4.4699736,0.73025095,0.6068969368934631,2.114231
