model_group,target_group,horizon,MSE,MAE,NSE,RMSE
group1,group2,1,0.061570473,0.11640147,0.9526124224066734,0.24813399
group1,group2,2,0.08636052,0.13582975,0.9335012659430504,0.2938716
group1,group2,3,0.112571254,0.15777227,0.9132758602499962,0.3355164
group1,group2,4,0.13829584,0.1756016,0.8934026882052422,0.37188148
group1,group2,5,0.16136397,0.19156955,0.8755735158920288,0.40170136
group1,group2,6,0.18424582,0.20496614,0.8578931838274002,0.42923865
group1,group2,7,0.20459194,0.21608879,0.8421872109174728,0.4523184
group1,group2,8,0.22259046,0.22637427,0.8282964080572128,0.47179493
group1,group2,9,0.23785469,0.23521161,0.8165178894996643,0.48770347
group1,group2,10,0.25411972,0.24433191,0.80396768450737,0.5041029
group2,group1,1,0.07002694,0.12640794,0.9660114049911499,0.26462603
group2,group1,2,0.11117499,0.15512058,0.946100365370512,0.33342913
group2,group1,3,0.15064491,0.18315747,0.9270505756139755,0.38813
group2,group1,4,0.18923177,0.20838924,0.9084774851799011,0.43500778
group2,group1,5,0.22548701,0.22934178,0.8910727277398109,0.47485474
group2,group1,6,0.2587473,0.24877915,0.8751582950353622,0.5086721
group2,group1,7,0.2843378,0.2635844,0.8629749119281769,0.53323334
group2,group1,8,0.3085939,0.27681348,0.8514785319566727,0.5555123
group2,group1,9,0.3326606,0.2902638,0.840123862028122,0.5767674
group2,group1,10,0.35451856,0.30258128,0.8298432379961014,0.59541464
