basin_id,horizon,MSE,MAE,NSE,RMSE
CA_15020,1,0.045560207,0.12137128,0.9780292138457298,0.21344838
CA_15020,2,0.06478264,0.14426482,0.9688828215003014,0.25452435
CA_15020,3,0.08237396,0.16450739,0.9605994634330273,0.28700864
CA_15020,4,0.09442618,0.18080543,0.9550364352762699,0.30728844
CA_15020,5,0.11086976,0.20089482,0.9474434293806553,0.3329711
CA_15020,6,0.13112514,0.22843245,0.9381215572357178,0.36211205
CA_15020,7,0.15398519,0.2516036,0.9276593551039696,0.39240947
CA_15020,8,0.17624138,0.27334377,0.917625717818737,0.41981113
CA_15020,9,0.19694245,0.29236645,0.9085131287574768,0.44378197
CA_15020,10,0.21396759,0.30576098,0.901135578751564,0.46256632
CA_15022,1,0.09645636,0.1656597,0.9703140035271645,0.31057423
CA_15022,2,0.15275449,0.20957159,0.9532350711524487,0.39083818
CA_15022,3,0.20705374,0.25260964,0.9369433894753456,0.45503157
CA_15022,4,0.23374592,0.2732396,0.929184652864933,0.48347276
CA_15022,5,0.2570903,0.29137695,0.9224918410181999,0.50704074
CA_15022,6,0.2906482,0.31791103,0.9128241837024689,0.539118
CA_15022,7,0.3469041,0.349787,0.8964813351631165,0.5889857
CA_15022,8,0.40517575,0.38500232,0.8796700909733772,0.63653415
CA_15022,9,0.44323647,0.4049901,0.869028702378273,0.66576004
CA_15022,10,0.4761709,0.4251816,0.8599994778633118,0.6900514
CA_15025,1,0.022603793,0.09983983,0.9747101254761219,0.15034558
CA_15025,2,0.04299731,0.13459261,0.9520019367337227,0.20735793
CA_15025,3,0.06489015,0.16862577,0.9277461916208267,0.25473547
CA_15025,4,0.07250711,0.17713721,0.9194940775632858,0.26927146
CA_15025,5,0.078687936,0.18014222,0.9129179865121841,0.2805137
CA_15025,6,0.08448944,0.19432366,0.9067878425121307,0.29067066
CA_15025,7,0.11278287,0.22550218,0.8759410232305527,0.3358316
CA_15025,8,0.15135434,0.26264325,0.8343185633420944,0.38904285
CA_15025,9,0.16471717,0.2721287,0.8204796761274338,0.40585363
CA_15025,10,0.17144105,0.28567454,0.8139129281044006,0.4140544
CA_15034,1,0.2152675,0.20765708,0.9451014474034309,0.4639693
CA_15034,2,0.31134698,0.24394092,0.9206073060631752,0.55798477
CA_15034,3,0.40773323,0.27837035,0.8960422202944756,0.6385399
CA_15034,4,0.49805465,0.31063655,0.8730313777923584,0.7057299
CA_15034,5,0.5946223,0.3495998,0.8484341502189636,0.77111757
CA_15034,6,0.70910376,0.38440195,0.8192772269248962,0.842083
CA_15034,7,0.7855013,0.4097679,0.799831822514534,0.8862851
CA_15034,8,0.8422525,0.43112648,0.785396084189415,0.91774315
CA_15034,9,0.8957043,0.45024544,0.7718033045530319,0.94641656
CA_15034,10,0.9463257,0.46749207,0.7589335441589355,0.97279274
CA_15040,1,0.08945506,0.13430224,0.9590682834386826,0.2990904
CA_15040,2,0.113718435,0.15210985,0.9479615725576878,0.33722165
CA_15040,3,0.13045181,0.16855167,0.940299466252327,0.36118114
CA_15040,4,0.14760639,0.18816088,0.9324435666203499,0.38419577
CA_15040,5,0.17052278,0.20956323,0.921947754919529,0.41294405
CA_15040,6,0.2008506,0.23528521,0.908056303858757,0.4481636
CA_15040,7,0.21808337,0.25046155,0.9001570865511894,0.46699396
CA_15040,8,0.22747406,0.2610774,0.8958479166030884,0.47694242
CA_15040,9,0.24324894,0.27342135,0.888616569340229,0.49320275
CA_15040,10,0.26330304,0.28603482,0.8794260323047638,0.5131306
CA_15044,1,0.21619041,0.17372619,0.9410651735961437,0.4649628
CA_15044,2,0.28730872,0.20239717,0.9216596409678459,0.5360119
CA_15044,3,0.36100125,0.23799685,0.901542991399765,0.6008338
CA_15044,4,0.42852026,0.27517548,0.883102111518383,0.65461457
CA_15044,5,0.49124494,0.30487612,0.8659534156322479,0.7008887
CA_15044,6,0.56329757,0.33131725,0.8462462574243546,0.75053155
