horizon,MSE,MAE,NSE,RMSE
1,1.7081107,0.31803232,0.8493160158395767,1.3069471
2,2.6703417,0.4261141,0.7644601166248322,1.6341181
3,3.1974719,0.51005137,0.7180493772029877,1.7881476
4,3.5755527,0.5742688,0.6848779916763306,1.8909132
5,3.8850899,0.6241551,0.6579636931419373,1.9710631
6,4.125351,0.6644568,0.6371711790561676,2.031096
7,4.311295,0.6969953,0.6211704611778259,2.0763657
8,4.447722,0.7269912,0.6091170012950897,2.1089623
9,4.5469103,0.7479676,0.6002605259418488,2.1323485
10,4.665661,0.7709348,0.5896875858306885,2.1600142
