basin_id,horizon,MSE,MAE,NSE,RMSE
CA_15013,10,1.3411413,0.7525438,0.3462085723876953,1.1580765
CA_15013,9,1.3106797,0.744075,0.3610582947731018,1.1448492
CA_15013,8,1.2748864,0.7350373,0.378507137298584,1.1291087
CA_15013,7,1.1901548,0.7143581,0.4198128581047058,1.0909421
CA_15013,6,1.1143981,0.6944866,0.45674335956573486,1.0556506
CA_15013,5,1.0675231,0.69232166,0.4795944094657898,1.0332102
CA_15013,4,1.0017215,0.6771923,0.5116719603538513,1.0008603
CA_15013,3,0.87868935,0.6391543,0.5716487467288971,0.9373843
CA_15013,2,0.73332727,0.58746964,0.6425111591815948,0.8563453
CA_15013,1,0.5261735,0.51163167,0.743496298789978,0.72537816
CA_15039,10,0.27524522,0.37197635,0.23405241966247559,0.5246382
CA_15039,9,0.2641944,0.36416897,0.2648044228553772,0.51399845
CA_15039,8,0.24801816,0.3503649,0.30981940031051636,0.4980142
CA_15039,7,0.22821726,0.3316668,0.364920973777771,0.4777209
CA_15039,6,0.21280877,0.32002065,0.40779948234558105,0.46131203
CA_15039,5,0.20047057,0.30902633,0.4421340227127075,0.4477394
CA_15039,4,0.18466137,0.29336548,0.4861275553703308,0.42972243
CA_15039,3,0.15798587,0.27377552,0.5603596866130829,0.39747435
CA_15039,2,0.12780482,0.24875417,0.6443469822406769,0.357498
CA_15039,1,0.07978383,0.20045295,0.7779789566993713,0.2824603
CA_15259,10,0.14563519,0.2666122,0.30797988176345825,0.38162178
CA_15259,9,0.13463616,0.25708753,0.35944294929504395,0.366928
CA_15259,8,0.12213076,0.24393255,0.418212890625,0.3494721
CA_15259,7,0.11071301,0.23208736,0.47204262018203735,0.33273566
CA_15259,6,0.10001642,0.22055414,0.522456169128418,0.31625372
CA_15259,5,0.08962629,0.20862718,0.5714955925941467,0.2993765
CA_15259,4,0.078506894,0.19451003,0.6241721212863922,0.28019083
CA_15259,3,0.06576315,0.17881854,0.6847530007362366,0.25644326
CA_15259,2,0.05134872,0.15879023,0.7535912692546844,0.22660255
CA_15259,1,0.0338705,0.12929122,0.8372931629419327,0.1840394
CA_15283,10,1.1348493,0.6905529,0.4363780617713928,1.0652931
CA_15283,9,1.0511667,0.6628159,0.47793900966644287,1.0252641
CA_15283,8,0.957827,0.6334028,0.5242960453033447,0.97868633
CA_15283,7,0.8475453,0.5971012,0.5790673494338989,0.9206222
CA_15283,6,0.7631454,0.56750816,0.6209845244884491,0.87358195
CA_15283,5,0.7148289,0.54846925,0.6449808478355408,0.84547555
CA_15283,4,0.60799974,0.50468385,0.6980374455451965,0.7797434
CA_15283,3,0.4790334,0.44777003,0.7620884776115417,0.6921224
CA_15283,2,0.34423342,0.38133004,0.829036757349968,0.5867141
CA_15283,1,0.20643707,0.305349,0.8974732086062431,0.45435345
CA_15287,10,0.20548658,0.3046522,0.5028854608535767,0.4533063
CA_15287,9,0.18827899,0.2887139,0.5445141792297363,0.43391126
CA_15287,8,0.16813101,0.27172545,0.5932562947273254,0.41003782
CA_15287,7,0.14606656,0.25302055,0.6466347873210907,0.38218656
CA_15287,6,0.12672749,0.2370848,0.6934199631214142,0.35598806
CA_15287,5,0.11304697,0.2263949,0.7265160083770752,0.3362246
CA_15287,4,0.09438015,0.20712286,0.7716749012470245,0.30721352
CA_15287,3,0.073414005,0.18390769,0.8223963230848312,0.2709502
CA_15287,2,0.05270292,0.15896021,0.8725007325410843,0.22957116
CA_15287,1,0.03535059,0.13414338,0.9144796058535576,0.18801753
CA_16055,10,0.3522538,0.39151365,0.31780582666397095,0.59350973
CA_16055,9,0.3381248,0.3853226,0.3451688289642334,0.58148503
CA_16055,8,0.31927255,0.375966,0.3816791772842407,0.5650421
CA_16055,7,0.29595256,0.36164597,0.4268419146537781,0.5440152
CA_16055,6,0.27231297,0.3441469,0.47262364625930786,0.52183616
CA_16055,5,0.24707584,0.32395902,0.5214992761611938,0.49706724
CA_16055,4,0.21680309,0.30393356,0.5801271498203278,0.46562117
CA_16055,3,0.17709474,0.2784522,0.6570285260677338,0.42082626
CA_16055,2,0.12803093,0.24693567,0.7520482391119003,0.3578141
CA_16055,1,0.08049962,0.2025552,0.8440999984741211,0.28372455
CA_16068,10,0.19270502,0.2857876,0.442909300327301,0.4389818
CA_16068,9,0.18637145,0.27799082,0.4617246985435486,0.4317076
CA_16068,8,0.17712282,0.26890332,0.4882720112800598,0.4208596
CA_16068,7,0.16457897,0.25715148,0.5243594646453857,0.40568334
CA_16068,6,0.15082729,0.2474788,0.5644060969352722,0.38836488
CA_16068,5,0.13569258,0.234296,0.6102210283279419,0.36836475
CA_16068,4,0.11800795,0.21780546,0.6639449894428253,0.34352285
CA_16068,3,0.09543068,0.19714355,0.7321357727050781,0.30891857
CA_16068,2,0.066870734,0.16959438,0.8149430751800537,0.25859377
CA_16068,1,0.037448864,0.13613543,0.8977458626031876,0.19351709
CA_16070,10,0.41644529,0.43523952,0.2863963842391968,0.6453257
CA_16070,9,0.39778787,0.42614728,0.3175738453865051,0.6307043
CA_16070,8,0.37435958,0.41469163,0.35696685314178467,0.6118493
CA_16070,7,0.34375477,0.40030587,0.4090937376022339,0.58630604
CA_16070,6,0.3139262,0.38482058,0.45992887020111084,0.5602912
CA_16070,5,0.2841531,0.36302775,0.5106706917285919,0.53306013
CA_16070,4,0.24965452,0.3423842,0.5696480572223663,0.49965438
CA_16070,3,0.20809801,0.3189602,0.6409445106983185,0.4561776
CA_16070,2,0.15640669,0.2867405,0.7298854887485504,0.39548284
CA_16070,1,0.10221469,0.23988208,0.8232942521572113,0.3197103
CA_16100,10,0.8321401,0.59884775,0.5076445043087006,0.91221714
CA_16100,9,0.76652604,0.57495505,0.5464666187763214,0.87551475
CA_16100,8,0.6996274,0.55082303,0.5860487818717957,0.83643734
CA_16100,7,0.62865484,0.5209092,0.6280414164066315,0.79287755
CA_16100,6,0.5650075,0.49572366,0.66569983959198,0.7516698
CA_16100,5,0.5171015,0.47728,0.6940445601940155,0.71909773
CA_16100,4,0.4503939,0.4469394,0.733513742685318,0.6711139
CA_16100,3,0.3720733,0.40600786,0.7798539847135544,0.6099781
CA_16100,2,0.29596278,0.3662496,0.8248865753412247,0.5440246
CA_16100,1,0.237526,0.33533052,0.8594620823860168,0.48736638
CA_16134,10,0.39860275,0.36384827,0.7111364305019379,0.6313499
CA_16134,9,0.38184625,0.3518157,0.7232796847820282,0.6179371
CA_16134,8,0.3612808,0.34177655,0.7381832897663116,0.6010664
CA_16134,7,0.3471875,0.3276945,0.7483965754508972,0.5892262
CA_16134,6,0.33179748,0.3210991,0.7595495581626892,0.57601863
CA_16134,5,0.31687132,0.3138451,0.7703664153814316,0.56291324
CA_16134,4,0.294648,0.30408877,0.7864714413881302,0.54281485
CA_16134,3,0.24825285,0.27874067,0.8200935572385788,0.4982498
CA_16134,2,0.2036951,0.2521577,0.8523841202259064,0.45132595
CA_16134,1,0.14037141,0.2110112,0.8982741832733154,0.37466174
CA_16143,10,0.10802508,0.20077418,0.6762161552906036,0.3286717
CA_16143,9,0.10526202,0.19504559,0.6848653852939606,0.32444108
CA_16143,8,0.10324116,0.19011506,0.6912743747234344,0.32131162
CA_16143,7,0.100603364,0.18581295,0.6995092034339905,0.31718034
CA_16143,6,0.09733282,0.1853571,0.7096096873283386,0.3119821
CA_16143,5,0.09742238,0.18944706,0.7096710801124573,0.31212556
CA_16143,4,0.096509084,0.18604462,0.7127125859260559,0.3106591
CA_16143,3,0.10183579,0.18190762,0.6971392333507538,0.3191172
CA_16143,2,0.09936077,0.17989115,0.7041609287261963,0.31521544
CA_16143,1,0.082804844,0.16863842,0.7531718909740448,0.28775832
CA_16176,10,0.8305018,0.5616094,0.4341472387313843,0.9113187
CA_16176,9,0.77511567,0.539479,0.47188395261764526,0.88040656
CA_16176,8,0.7128464,0.516844,0.5143103897571564,0.8443023
