number,value,best_epoch,train_size,val_size,test_size,input_length,learning_rate,num_layers,hidden_size,dropout
0,0.07139119505882263,14,201689,95915,95968,155,0.0007969454818643932,3,166,0.07800932022121826
1,0.06331337243318558,95,206069,100295,100348,82,1.3066739238053272e-05,3,167,0.35403628889802274
2,0.05549325421452522,19,208829,103055,103108,36,0.0008706020878304854,3,79,0.09091248360355031
3,0.05866215005517006,54,205529,99755,99808,91,4.059611610484306e-05,2,129,0.14561457009902096
4,0.058793894946575165,100,196889,91115,91168,235,1.9010245319870364e-05,1,114,0.22803499210851796
5,0.06057404726743698,62,193409,87655,87708,293,2.5081156860452307e-05,2,165,0.023225206359998862
6,0.05735580995678902,49,196949,91175,91228,234,2.1930485556643678e-05,1,245,0.4828160165372797
7,0.05882926285266876,37,192929,87183,87236,301,4.066563313514796e-05,1,185,0.22007624686980065
8,0.056200239807367325,17,206729,100955,101008,71,9.7803370166594e-05,1,236,0.12938999080000846
9,0.05946478247642517,45,195869,90095,90148,252,4.201672054372529e-05,2,155,0.09242722776276352
10,0.05592074617743492,35,201449,95675,95728,159,0.0007335514278058891,3,38,0.3259332753890891
11,0.05600034445524216,24,201449,95675,95728,159,0.000930852046833969,3,40,0.3692027723625105
12,0.05623547360301018,37,208589,102815,102868,40,0.00035598913444921085,3,38,0.33708879658729707
13,0.05887662619352341,24,202529,96755,96808,141,0.00033485386412936754,3,81,0.27601312003775946
14,0.058571282774209976,29,203609,97835,97888,123,0.0003816555624863522,3,81,0.48187576693416306
