number,value,best_epoch,train_size,val_size,test_size,input_length,learning_rate,hidden_size,dropout,num_attention_heads,lstm_layers,attn_dropout,add_relative_index,use_revin,context_length_ratio,use_embedding_for_context,encoder_layers
0,0.0574728399515152,18,201689,95915,95968,155,0.0007969454818643932,104,0.2993292420985183,2,1,0.017425083650459836,True,True,0.9849549260809971,True,1
2,0.07617399841547012,50,196949,91175,91228,234,2.1930485556643678e-05,32,0.4744427686266666,8,3,0.0913841307520112,False,True,0.7475884550556351,False,1
3,0.05892794579267502,50,195869,90095,90148,252,4.201672054372529e-05,80,0.2733551396716398,2,3,0.23253984700833435,True,False,0.5442462510259598,True,1
5,0.05913658067584038,36,194549,88776,88829,274,0.000348771262454593,32,0.1792328642721363,1,3,0.18698943804826737,True,False,0.864803089169032,False,2
7,0.05762588232755661,35,204209,98435,98488,113,6.618595597183474e-05,104,0.11439908274581123,1,1,0.04836638617620132,True,False,0.9018360384495572,False,2
8,0.05843986198306084,21,192929,87183,87236,301,0.0006197015748809143,64,0.05502596226383838,2,2,0.24540442977674792,True,True,0.6110539052353652,False,3
9,0.05862504988908768,24,202709,96935,96988,138,0.00010903884523201111,104,0.181814801189647,8,3,0.07553468874760924,True,True,0.8047821669899484,True,1
11,0.05507855862379074,30,200189,94415,94468,180,0.00011782800596762841,128,0.012507643942066562,1,1,0.11017107214818637,True,False,0.9996428591644929,True,2
13,0.054411593824625015,23,208949,103175,103228,34,0.00015996162179839556,120,0.3690491710631163,3,1,0.12456198490898998,True,False,0.9286955650046743,True,1
14,0.060093846172094345,21,209009,103235,103288,33,0.00016881386551197052,120,0.3698622804392174,4,1,0.1401185096879226,True,False,0.918036407388451,True,2
