number,value,best_epoch,train_size,val_size,test_size,input_length,hidden_size,dropout,learning_rate,num_encoder_layers,num_decoder_layers,decoder_output_size,temporal_decoder_hidden_size,use_layer_norm
0,0.061135586351156235,33,201689,95915,95968,155,124,0.36599697090570255,0.00015751320499779721,1,1,9,58,False
1,0.10216063261032104,100,208829,103055,103108,36,126,0.41622132040021087,2.6587543983272695e-05,1,1,15,41,True
2,0.09263019263744354,100,196889,91115,91168,235,45,0.14607232426760908,5.4041038546473305e-05,2,3,12,41,True
3,0.08394920825958252,57,196949,91175,91228,234,48,0.03252579649263976,0.000790261954970823,3,3,15,20,True
4,0.08154887706041336,66,206729,100955,101008,71,80,0.017194260557609198,0.000658628931758311,1,2,15,41,True
5,0.06575595587491989,17,189689,83997,84050,355,107,0.46974947078209456,0.0006161049539380963,2,3,10,25,False
6,0.06098702922463417,72,201389,95615,95668,160,58,0.41436875457596467,5.170191786366994e-05,1,2,11,55,False
7,0.08221257477998734,59,193649,87891,87944,289,51,0.0027610585618011996,0.0004274869455295214,3,3,27,19,True
8,0.11017239838838577,100,191789,86062,86115,320,92,0.1654490124263246,1.3400367243354803e-05,1,1,26,47,True
9,0.059212736785411835,35,206789,101015,101068,70,101,0.3803925243084487,0.0001326033192269654,3,2,21,36,False
10,0.0613681860268116,33,205049,99275,99328,99,77,0.30487807819864604,0.0001903690691144192,3,2,21,30,False
11,0.06230474263429642,47,201569,95795,95848,157,68,0.3217430576333741,6.659740230606756e-05,2,2,21,62,False
12,0.06257520616054535,69,203609,97835,97888,123,101,0.4856987831355106,3.559842328352271e-05,3,2,31,52,False
13,0.06391697376966476,29,199469,93695,93748,192,62,0.22827167832548143,0.0001335734309868617,2,2,18,32,False
14,0.05453148111701012,29,208949,103175,103228,34,110,0.4040330172235821,0.00029399848560567596,2,2,24,51,False
