number,value,best_epoch,train_size,val_size,test_size,input_length,hidden_size,dropout,learning_rate,num_mixing_layers,static_embedding_size,fusion_method
0,0.06966381520032883,47,201689,95915,95968,155,124,0.36599697090570255,0.00015751320499779721,4,7,concat
1,0.0665232315659523,12,197129,91355,91408,231,100,0.010292247147901223,0.0008706020878304854,13,8,concat
2,0.06259886920452118,100,203069,97295,97348,132,82,0.21597250932105788,3.8234752246751835e-05,10,7,concat
3,0.06059657782316208,33,200009,94235,94288,183,108,0.09983689107917987,0.00010677482709481354,10,5,add
4,0.0616612434387207,39,207929,102155,102208,51,124,0.4828160165372797,0.0004138040112561013,6,6,add
5,0.05344807729125023,19,206729,100955,101008,71,80,0.017194260557609198,0.000658628931758311,5,15,concat
6,0.06105608493089676,74,198209,92435,92488,213,49,0.4847923138822793,0.0003550304858128307,15,19,concat
7,0.055688582360744476,100,207449,101675,101728,59,51,0.022613644455269033,4.473636174621264e-05,7,9,add
8,0.05510392412543297,32,203549,97775,97828,124,84,0.07046211248738132,0.0004021554526690286,3,20,add
9,0.05895997956395149,46,209129,103355,103408,31,111,0.35342867192380856,0.0002870875348195468,12,6,add
10,0.12649884819984436,100,190169,84469,84522,347,32,0.18436438636054864,1.0862348973937137e-05,2,16,concat
11,0.05480062961578369,28,204269,98495,98548,112,79,0.10908164441666235,0.0009605066603370137,2,14,add
12,0.055356379598379135,27,205529,99755,99808,91,64,0.14025645154125035,0.0009953723819627466,5,13,concat
13,0.05654939264059067,38,195329,89555,89608,261,70,0.28497117626627677,0.000686602606210497,2,13,add
14,0.05767735093832016,33,205169,99395,99448,97,92,0.09914839793979001,0.0002557014956757395,7,16,add
