number,value,best_epoch,train_size,val_size,test_size,input_length,learning_rate,num_layers,hidden_size,dropout
0,0.05713583901524544,21,52218,24793,24813,155,0.0007969454818643932,3,166,0.07800932022121826
1,0.09509379416704178,50,53386,25961,25981,82,1.3066739238053272e-05,3,167,0.35403628889802274
2,0.05585484579205513,28,54122,26697,26717,36,0.0008706020878304854,3,79,0.09091248360355031
3,0.06671439856290817,50,53242,25817,25837,91,4.059611610484306e-05,2,129,0.14561457009902096
4,0.08169802278280258,50,50938,23513,23533,235,1.9010245319870364e-05,1,114,0.22803499210851796
5,0.0722779855132103,50,50010,22585,22605,293,2.5081156860452307e-05,2,165,0.023225206359998862
6,0.06430911272764206,50,50954,23529,23549,234,2.1930485556643678e-05,1,245,0.4828160165372797
7,0.061213426291942596,50,49882,22457,22477,301,4.066563313514796e-05,1,185,0.22007624686980065
8,0.05376865342259407,42,53562,26137,26157,71,9.7803370166594e-05,1,236,0.12938999080000846
9,0.06734990328550339,50,50666,23241,23261,252,4.201672054372529e-05,2,155,0.09242722776276352
10,0.05613044276833534,24,52218,24793,24813,155,0.0002480143928447655,1,246,0.3259332753890891
11,0.06682991236448288,50,54058,26633,26653,40,0.00015429388642549427,3,40,0.1494972877882617
12,0.05502476170659065,38,54138,26713,26733,35,0.0005490065222391831,3,66,0.021602895791384358
13,0.0568992979824543,25,52938,25513,25533,110,0.0003419937544446769,2,217,0.0019856223196894965
14,0.06032164767384529,50,52378,24953,24973,145,0.00010938985096944196,2,91,0.15895155197995803
