number,value,best_epoch,train_size,val_size,test_size,input_length,hidden_size,dropout,learning_rate,num_encoder_layers,num_decoder_layers,decoder_output_size,temporal_decoder_hidden_size,use_layer_norm
0,0.06645787507295609,54,52218,24793,24813,155,124,0.36599697090570255,0.00015751320499779721,1,1,9,58,False
1,0.22587637603282928,100,54122,26697,26717,36,126,0.41622132040021087,2.6587543983272695e-05,1,1,15,41,True
2,0.1299547255039215,100,50938,23513,23533,235,45,0.14607232426760908,5.4041038546473305e-05,2,3,12,41,True
3,0.08752746880054474,100,50954,23529,23549,234,48,0.03252579649263976,0.000790261954970823,3,3,15,20,True
4,0.09144757688045502,100,53562,26137,26157,71,80,0.017194260557609198,0.000658628931758311,1,2,15,41,True
5,0.07557113468647003,32,49018,21593,21613,355,107,0.46974947078209456,0.0006161049539380963,2,3,10,25,False
6,0.07273659110069275,81,52138,24713,24733,160,58,0.41436875457596467,5.170191786366994e-05,1,2,11,55,False
7,0.08981998264789581,100,50074,22649,22669,289,51,0.0027610585618011996,0.0004274869455295214,3,3,27,19,True
8,0.1987372189760208,100,49578,22153,22173,320,92,0.1654490124263246,1.3400367243354803e-05,1,1,26,47,True
9,0.06261634826660156,68,53578,26153,26173,70,101,0.3803925243084487,0.0001326033192269654,3,2,21,36,False
10,0.06220005452632904,70,53114,25689,25709,99,77,0.30487807819864604,0.0001903690691144192,3,2,21,30,False
11,0.06186487153172493,57,53114,25689,25709,99,76,0.3078685206868833,0.00018159850484411317,3,2,22,32,False
12,0.06739268451929092,37,52794,25369,25389,119,73,0.28080835857175174,0.00024090981541141133,3,2,21,30,False
13,0.06336799263954163,54,53002,25577,25597,106,67,0.2851447130854664,0.000282233011365136,2,2,32,31,False
14,0.06806822866201401,71,51834,24409,24429,179,91,0.20261510212741476,6.793020634935386e-05,3,2,25,30,False
