number,value,best_epoch,train_size,val_size,test_size,input_length,hidden_size,dropout,learning_rate,num_mixing_layers,static_embedding_size,fusion_method
0,0.08816644549369812,81,52218,24793,24813,155,124,0.36599697090570255,0.00015751320499779721,4,7,concat
1,0.07398032397031784,18,51002,23577,23597,231,100,0.010292247147901223,0.0008706020878304854,13,8,concat
2,0.10323861986398697,69,52586,25161,25181,132,82,0.21597250932105788,3.8234752246751835e-05,10,7,concat
3,0.07290369272232056,55,51770,24345,24365,183,108,0.09983689107917987,0.00010677482709481354,10,5,add
4,0.16068114340305328,21,53882,26457,26477,51,124,0.4828160165372797,0.0004138040112561013,6,6,add
5,0.05873558670282364,29,53562,26137,26157,71,80,0.017194260557609198,0.000658628931758311,5,15,concat
6,0.11138932406902313,34,51290,23865,23885,213,49,0.4847923138822793,0.0003550304858128307,15,19,concat
7,0.06965932250022888,100,53754,26329,26349,59,51,0.022613644455269033,4.473636174621264e-05,7,9,add
8,0.05787888541817665,60,52714,25289,25309,124,84,0.07046211248738132,0.0004021554526690286,3,20,add
9,0.0842847004532814,46,54202,26777,26797,31,111,0.35342867192380856,0.0002870875348195468,12,6,add
10,0.24319125711917877,100,49146,21721,21741,347,32,0.15384710572513108,1.0862348973937137e-05,2,19,add
11,0.06327247619628906,37,52906,25481,25501,112,79,0.10908164441666235,0.0009605066603370137,2,15,concat
12,0.06104191392660141,29,53242,25817,25837,91,84,0.0031720275431359815,0.0004938734254375464,5,15,concat
13,0.06904369592666626,86,50522,23097,23117,261,63,0.10511182373418729,0.00018000554787310762,4,16,add
14,0.07479444146156311,29,53210,25785,25805,93,68,0.2186537953003794,0.0005679081321461994,8,11,add
