number,value,best_epoch,batch_size,input_length,hidden_size,learning_rate,dropout
0,1.0718008279800415,4,106,349,196,0.0015751320499779737,0.07800932022121826
1,1.069349765777588,9,53,49,226,0.0015930522616241021,0.35403628889802274
2,0.32461631298065186,6,20,355,219,0.00026587543983272726,0.09091248360355031
3,0.33196964859962463,11,60,132,150,0.0007309539835912913,0.14561457009902096
4,0.34177690744400024,4,163,76,97,0.0005404103854647331,0.22803499210851796
5,0.3329857885837555,6,205,97,147,0.0015304852121831463,0.023225206359998862
6,1.0724588632583618,7,162,87,46,0.007902619549708232,0.4828160165372797
7,0.3439950942993164,7,210,132,53,0.0023359635026261607,0.22007624686980065
8,1.0683141946792603,5,45,196,39,0.006586289317583112,0.12938999080000846
9,0.3291616439819336,9,175,134,149,0.0012399967836846098,0.09242722776276352
10,0.3315252959728241,4,109,343,250,0.00011460691809839679,0.3259332753890891
11,0.3263610303401947,5,234,285,179,0.0002447042085718224,0.00378925234429639
12,0.32470929622650146,7,255,282,199,0.00020571602679428632,0.008316224166117256
13,0.3231163024902344,5,99,277,208,0.00027019174827601166,0.001817089415866011
14,0.3228217661380768,6,88,295,255,0.00037062124676494345,0.1738167152482913
15,0.3275096118450165,4,91,255,256,0.00038717910628661165,0.17991059702238832
16,0.331912636756897,10,136,223,232,0.0001208840206965753,0.34411475597509966
17,0.33180880546569824,12,88,314,112,0.0003993283965248623,0.2868974815347274
18,0.3413170576095581,10,140,208,185,0.000769938008770312,0.410236126593346
19,0.3233863115310669,6,74,252,216,0.00018015596595059326,0.17682016713142418
20,0.3251139223575592,4,111,311,169,0.00039113572652428325,0.04748635139188023
21,0.32709765434265137,6,73,259,211,0.00018071794790954607,0.17895869551934068
22,0.3247571587562561,7,30,229,238,0.00015693857236566392,0.25223995079449957
23,0.3240366578102112,11,76,188,209,0.00029593835184061603,0.14398274433584465
24,0.3245328664779663,15,132,310,240,0.0005264515322041247,0.18849798538318907
25,0.3306858539581299,12,120,252,110,0.00010577194276253518,0.27217400648350343
26,0.33836889266967773,10,92,165,163,0.0001556453030596891,0.06250202503836594
27,0.3199261426925659,6,74,279,254,0.0003156954753666193,0.10999916333056746
28,1.0709905624389648,7,36,288,256,0.0028515075469995495,0.10472233360965644
29,1.0705848932266235,5,61,337,191,0.0007812634833498683,0.041850376776818105
