number,value,best_epoch,train_size,val_size,test_size,input_length,hidden_size,dropout,learning_rate,num_layers
0,0.0606229193508625,16,297974,142725,142907,155,245,0.36599697090570255,0.00015751320499779721,1
1,0.05314210429787636,50,303522,148273,148455,82,45,0.4330880728874676,0.00015930522616241006,3
2,0.055389173328876495,43,307018,151769,151951,36,250,0.41622132040021087,2.6587543983272695e-05,1
3,0.05619916692376137,38,302838,147589,147771,91,100,0.2623782158161189,7.309539835912905e-05,1
4,0.05633854493498802,50,291894,136645,136827,235,63,0.14607232426760908,5.4041038546473305e-05,2
5,0.05758066847920418,39,287486,132237,132419,293,76,0.2571172192068058,0.00015304852121831474,1
6,0.055081263184547424,15,291970,136721,136903,234,70,0.03252579649263976,0.000790261954970823,3
7,0.05773818492889404,16,286878,131629,131811,301,100,0.048836057003191935,0.000233596350262616,2
8,0.06016741320490837,9,304358,149109,149291,71,143,0.017194260557609198,0.000658628931758311,1
9,0.05837962031364441,27,290602,135353,135535,252,102,0.2600340105889054,0.00012399967836846095,1
