number,value,best_epoch,train_size,val_size,test_size,input_length,hidden_size,dropout,learning_rate,num_encoder_layers,num_decoder_layers,decoder_output_size,temporal_decoder_hidden_size,use_layer_norm
0,0.05417264252901077,36,297974,142725,142907,155,124,0.36599697090570255,0.00015751320499779721,1,1,9,58,False
1,0.1053503155708313,50,307018,151769,151951,36,126,0.41622132040021087,2.6587543983272695e-05,1,1,15,41,True
2,0.08904559165239334,50,291894,136645,136827,235,45,0.14607232426760908,5.4041038546473305e-05,2,3,12,41,True
3,0.07234352082014084,42,291970,136721,136903,234,48,0.03252579649263976,0.000790261954970823,3,3,15,20,True
4,0.06970846652984619,50,304358,149109,149291,71,80,0.017194260557609198,0.000658628931758311,1,2,15,41,True
5,0.05912429839372635,12,282774,127525,127707,355,107,0.46974947078209456,0.0006161049539380963,2,3,10,25,False
6,0.053972210735082626,50,297594,142345,142527,160,58,0.41436875457596467,5.170191786366994e-05,1,2,11,55,False
7,0.06805181503295898,44,287790,132541,132723,289,51,0.0027610585618011996,0.0004274869455295214,3,3,27,19,True
8,0.10513342916965485,50,285434,130185,130367,320,92,0.1654490124263246,1.3400367243354803e-05,1,1,26,47,True
9,0.05238328501582146,40,304434,149185,149367,70,101,0.3803925243084487,0.0001326033192269654,3,2,21,36,False
