number,value,best_epoch,train_size,val_size,test_size,input_length,hidden_size,dropout,learning_rate,num_mixing_layers,static_embedding_size,fusion_method
0,0.06573852151632309,40,297974,142725,142907,155,124,0.36599697090570255,0.00015751320499779721,4,7,concat
1,0.07330643385648727,11,292198,136949,137131,231,100,0.010292247147901223,0.0008706020878304854,13,8,concat
2,0.07626453787088394,50,299722,144473,144655,132,82,0.21597250932105788,3.8234752246751835e-05,10,7,concat
3,0.05994632467627525,44,295846,140597,140779,183,108,0.09983689107917987,0.00010677482709481354,10,5,add
4,0.06513698399066925,31,305878,150629,150811,51,124,0.4828160165372797,0.0004138040112561013,6,6,add
5,0.062488216906785965,15,304358,149109,149291,71,80,0.017194260557609198,0.000658628931758311,5,15,concat
6,0.0820392593741417,23,293566,138317,138499,213,49,0.4847923138822793,0.0003550304858128307,15,19,concat
7,0.06092265620827675,50,305270,150021,150203,59,51,0.022613644455269033,4.473636174621264e-05,7,9,add
8,0.05393530800938606,26,300330,145081,145263,124,84,0.07046211248738132,0.0004021554526690286,3,20,add
9,0.0677742213010788,18,307398,152149,152331,31,111,0.35342867192380856,0.0002870875348195468,12,6,add
10,0.15441042184829712,50,283382,128133,128315,347,32,0.15384710572513108,1.0862348973937137e-05,2,19,add
11,0.06461218744516373,37,289994,134745,134927,260,87,0.12187219910911079,8.223697633900002e-05,9,12,add
12,0.06047167256474495,45,299038,143789,143971,141,98,0.11771478078287442,0.00015253421517969648,2,15,add
13,0.07245545089244843,37,287334,132085,132267,295,61,0.2044004504682364,7.37262321683428e-05,11,11,add
14,0.0781518891453743,50,296378,141129,141311,176,72,0.08549092353144969,1.8089224154177894e-05,8,16,add
