number,value,best_epoch,train_size,val_size,test_size,input_length,hidden_size,dropout,learning_rate,num_mixing_layers,static_embedding_size,fusion_method
0,0.07269765436649323,28,297974,142725,142907,155,124,0.36599697090570255,0.00015751320499779721,4,7,concat
1,0.09622441232204437,11,292198,136949,137131,231,100,0.010292247147901223,0.0008706020878304854,13,8,concat
2,0.0722174197435379,50,299722,144473,144655,132,82,0.21597250932105788,3.8234752246751835e-05,10,7,concat
3,0.06279020011425018,32,295846,140597,140779,183,108,0.09983689107917987,0.00010677482709481354,10,5,add
4,0.07515689730644226,17,305878,150629,150811,51,124,0.4828160165372797,0.0004138040112561013,6,6,add
5,0.06893572956323624,22,304358,149109,149291,71,80,0.017194260557609198,0.000658628931758311,5,15,concat
6,0.0815386176109314,22,293566,138317,138499,213,49,0.4847923138822793,0.0003550304858128307,15,19,concat
7,0.060138676315546036,50,305270,150021,150203,59,51,0.022613644455269033,4.473636174621264e-05,7,9,add
8,0.06095373257994652,31,300330,145081,145263,124,84,0.07046211248738132,0.0004021554526690286,3,20,add
9,0.06708028167486191,26,307398,152149,152331,31,111,0.35342867192380856,0.0002870875348195468,12,6,add
