model_type,run,best_val_loss,best_epoch,checkpoint_path
tsmixer,0,0.18168829381465912,11,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tsmixer/run_0/global_tsmixer_epoch=11_val_loss=0.1817.ckpt
tsmixer,1,0.18282246589660645,15,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tsmixer/run_1/global_tsmixer_epoch=15_val_loss=0.1828.ckpt
tsmixer,2,0.17680643498897552,20,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tsmixer/run_2/global_tsmixer_epoch=20_val_loss=0.1768.ckpt
tsmixer,3,0.17698615789413452,21,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tsmixer/run_3/global_tsmixer_epoch=21_val_loss=0.1770.ckpt
tsmixer,4,0.1781325340270996,18,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tsmixer/run_4/global_tsmixer_epoch=18_val_loss=0.1781.ckpt
ealstm,0,0.19647718966007233,12,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/ealstm/run_0/global_ealstm_epoch=12_val_loss=0.1965.ckpt
ealstm,1,0.19172845780849457,14,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/ealstm/run_1/global_ealstm_epoch=14_val_loss=0.1917.ckpt
ealstm,2,0.1951986700296402,12,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/ealstm/run_2/global_ealstm_epoch=12_val_loss=0.1952.ckpt
ealstm,3,0.19266240298748016,14,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/ealstm/run_3/global_ealstm_epoch=14_val_loss=0.1927.ckpt
ealstm,4,0.19010479748249054,14,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/ealstm/run_4/global_ealstm_epoch=14_val_loss=0.1901.ckpt
tide,0,0.19368615746498108,19,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tide/run_0/global_tide_epoch=19_val_loss=0.1937.ckpt
tide,1,0.19272489845752716,18,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tide/run_1/global_tide_epoch=18_val_loss=0.1927.ckpt
tide,2,0.1934177130460739,22,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tide/run_2/global_tide_epoch=22_val_loss=0.1934.ckpt
tide,3,0.19506575167179108,27,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tide/run_3/global_tide_epoch=27_val_loss=0.1951.ckpt
tide,4,0.1940055638551712,24,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tide/run_4/global_tide_epoch=24_val_loss=0.1940.ckpt
tft,0,0.18214036524295807,14,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tft/run_0/global_tft_epoch=14_val_loss=0.1821.ckpt
tft,1,0.1769782155752182,18,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tft/run_1/global_tft_epoch=18_val_loss=0.1770.ckpt
tft,2,0.17521269619464874,15,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tft/run_2/global_tft_epoch=15_val_loss=0.1752.ckpt
tft,3,0.17832054197788239,20,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tft/run_3/global_tft_epoch=20_val_loss=0.1783.ckpt
tft,4,0.176529660820961,17,experiments/LowHumanInfluenceTransfer/output/tajikistan/checkpoints/tft/run_4/global_tft_epoch=17_val_loss=0.1765.ckpt
