horizon,MSE,MAE,NSE,RMSE
1,3.0873106,0.3664775,0.7257759273052216,1.7570745
2,4.7126637,0.512639,0.5819471180438995,2.170867
3,5.5657306,0.600975,0.5072084069252014,2.35918
4,6.0682583,0.6590157,0.4632306694984436,2.4633834
5,6.3994474,0.6966858,0.4342948794364929,2.529713
6,6.5975714,0.7226053,0.41700130701065063,2.5685737
7,6.72679,0.7410684,0.40550893545150757,2.5936055
8,6.8086715,0.7561837,0.39753347635269165,2.609343
9,6.8687415,0.7688232,0.3917466402053833,2.6208284
10,6.9150643,0.777381,0.3874041438102722,2.629651
