horizon,MSE,MAE,NSE,RMSE
1,0.068213314,0.12774,0.9631222262978554,0.2611768
2,0.10087642,0.1522751,0.9454683810472488,0.31761047
3,0.13440885,0.17724302,0.9273451864719391,0.36661813
4,0.16733259,0.19775741,0.9095605835318565,0.40906307
5,0.20549664,0.21963795,0.8888467997312546,0.45331737
6,0.22658597,0.2322344,0.877389945089817,0.47601047
7,0.2537788,0.24666442,0.8626083582639694,0.5037646
8,0.27605882,0.2581962,0.8505451828241348,0.525413
9,0.2924896,0.26802725,0.8416641652584076,0.54082304
10,0.3147365,0.2795954,0.8296308219432831,0.5610138
