,horizon,prediction,observed,basin_id
0,1,0.28523642,0.78999996,CA_15013
1,2,0.32709697,0.78,CA_15013
2,3,0.32302746,0.78,CA_15013
3,4,0.3696355,0.77,CA_15013
4,5,0.32376,0.77,CA_15013
5,6,0.3265444,0.77,CA_15013
6,7,0.42912865,0.76,CA_15013
7,8,0.433793,0.76,CA_15013
8,9,0.40398532,0.89,CA_15013
9,10,0.43211207,0.75,CA_15013
10,1,0.26777518,0.78,CA_15013
11,2,0.3288408,0.78,CA_15013
12,3,0.34471497,0.77,CA_15013
13,4,0.36962554,0.77,CA_15013
14,5,0.36924127,0.77,CA_15013
15,6,0.3298742,0.76,CA_15013
16,7,0.40049595,0.76,CA_15013
17,8,0.3833538,0.89,CA_15013
18,9,0.44509414,0.75,CA_15013
19,10,0.4883629,0.89,CA_15013
20,1,0.39044237,0.78,CA_15013
21,2,0.3946542,0.77,CA_15013
22,3,0.37570006,0.77,CA_15013
23,4,0.4023546,0.77,CA_15013
24,5,0.44769394,0.76,CA_15013
25,6,0.42202994,0.76,CA_15013
26,7,0.4886227,0.89,CA_15013
27,8,0.5651382,0.75,CA_15013
28,9,0.50760007,0.89,CA_15013
29,10,0.4673074,1.03,CA_15013
30,1,0.43405414,0.77,CA_15013
31,2,0.4120106,0.77,CA_15013
32,3,0.4264974,0.77,CA_15013
33,4,0.4225111,0.76,CA_15013
34,5,0.43603608,0.76,CA_15013
35,6,0.409024,0.89,CA_15013
36,7,0.5005504,0.75,CA_15013
37,8,0.5689108,0.89,CA_15013
38,9,0.48226812,1.03,CA_15013
39,10,0.50564295,1.17,CA_15013
40,1,0.524944,0.77,CA_15013
41,2,0.4934036,0.77,CA_15013
42,3,0.5179026,0.76,CA_15013
43,4,0.4986795,0.76,CA_15013
44,5,0.54535186,0.89,CA_15013
45,6,0.5103816,0.75,CA_15013
46,7,0.5580992,0.89,CA_15013
47,8,0.6599454,1.03,CA_15013
48,9,0.58758044,1.17,CA_15013
49,10,0.55650914,1.3,CA_15013
50,1,0.5010279,0.77,CA_15013
51,2,0.47466487,0.76,CA_15013
52,3,0.48293567,0.76,CA_15013
53,4,0.4904948,0.89,CA_15013
54,5,0.49079084,0.75,CA_15013
55,6,0.5129092,0.89,CA_15013
56,7,0.549708,1.03,CA_15013
57,8,0.61381745,1.17,CA_15013
58,9,0.5462796,1.3,CA_15013
59,10,0.5419727,2.06,CA_15013
60,1,0.3888172,0.76,CA_15013
61,2,0.3801938,0.76,CA_15013
62,3,0.37333128,0.89,CA_15013
63,4,0.42482585,0.75,CA_15013
64,5,0.47903672,0.89,CA_15013
65,6,0.4341649,1.03,CA_15013
66,7,0.4460681,1.17,CA_15013
67,8,0.507251,1.3,CA_15013
68,9,0.47151107,2.06,CA_15013
69,10,0.4656158,2.48,CA_15013
70,1,0.39278984,0.76,CA_15013
71,2,0.43867353,0.89,CA_15013
72,3,0.482132,0.75,CA_15013
73,4,0.5054091,0.89,CA_15013
74,5,0.51162297,1.03,CA_15013
75,6,0.44222397,1.17,CA_15013
76,7,0.49784064,1.3,CA_15013
77,8,0.55913883,2.06,CA_15013
78,9,0.5579264,2.48,CA_15013
79,10,0.5733417,2.48,CA_15013
80,1,0.4272932,0.89,CA_15013
81,2,0.4476161,0.75,CA_15013
82,3,0.45512685,0.89,CA_15013
83,4,0.4340885,1.03,CA_15013
84,5,0.4824208,1.17,CA_15013
85,6,0.45768464,1.3,CA_15013
86,7,0.49453378,2.06,CA_15013
87,8,0.58346915,2.48,CA_15013
88,9,0.5357314,2.48,CA_15013
89,10,0.5928668,3.0799997,CA_15013
90,1,0.48076862,0.75,CA_15013
91,2,0.47971216,0.89,CA_15013
92,3,0.5133163,1.03,CA_15013
93,4,0.48032948,1.17,CA_15013
94,5,0.4762994,1.3,CA_15013
95,6,0.42444763,2.06,CA_15013
96,7,0.525055,2.48,CA_15013
97,8,0.603106,2.48,CA_15013
98,9,0.5257843,3.0799997,CA_15013
99,10,0.58828855,3.63,CA_15013
100,1,0.41295144,0.89,CA_15013
101,2,0.37595606,1.03,CA_15013
102,3,0.4203901,1.17,CA_15013
103,4,0.43711984,1.3,CA_15013
104,5,0.4053935,2.06,CA_15013
105,6,0.3817402,2.48,CA_15013
106,7,0.55889654,2.48,CA_15013
107,8,0.59896207,3.0799997,CA_15013
108,9,0.57785094,3.63,CA_15013
109,10,0.54278874,2.93,CA_15013
110,1,0.461956,1.03,CA_15013
111,2,0.45780605,1.17,CA_15013
112,3,0.48790628,1.3,CA_15013
113,4,0.47745275,2.06,CA_15013
114,5,0.50838655,2.48,CA_15013
115,6,0.48700842,2.48,CA_15013
116,7,0.55425274,3.0799997,CA_15013
117,8,0.6552748,3.63,CA_15013
118,9,0.62223977,2.93,CA_15013
119,10,0.5835278,2.1999998,CA_15013
120,1,0.55060613,1.17,CA_15013
121,2,0.5283554,1.3,CA_15013
