basin_id,horizon,MSE,MAE,NSE,RMSE
CA_15013,1,0.12912,0.18342695,0.9486629255115986,0.3593327
CA_15013,2,0.22376357,0.2457158,0.9110269248485565,0.47303653
CA_15013,3,0.3102963,0.28857535,0.8766167163848877,0.5570425
CA_15013,4,0.3775356,0.31896764,0.8498857170343399,0.61443925
CA_15013,5,0.43129107,0.34628674,0.8285260498523712,0.65672755
CA_15013,6,0.4917806,0.3719557,0.8045019656419754,0.7012707
CA_15013,7,0.5442638,0.387789,0.7836712300777435,0.73774236
CA_15013,8,0.5948133,0.40055075,0.763617679476738,0.77124137
CA_15013,9,0.64121735,0.4159197,0.7452261447906494,0.8007605
CA_15013,10,0.67388934,0.42843118,0.732302188873291,0.82090765
CA_15020,1,0.027269851,0.087521054,0.9871398694813251,0.16513586
CA_15020,2,0.04804916,0.11463062,0.9775026813149452,0.21920118
CA_15020,3,0.06931226,0.14012098,0.9677929766476154,0.26327223
CA_15020,4,0.08860039,0.16572575,0.9591586515307426,0.29765818
CA_15020,5,0.10918676,0.18765515,0.9500652849674225,0.3304342
CA_15020,6,0.1280915,0.2087413,0.9418746456503868,0.35789874
CA_15020,7,0.14954963,0.22634798,0.932657279074192,0.38671649
CA_15020,8,0.17318605,0.24484019,0.9226852506399155,0.4161563
CA_15020,9,0.19453359,0.26076296,0.9140447974205017,0.44105962
CA_15020,10,0.2166384,0.2770453,0.9051275253295898,0.4654443
CA_15022,1,0.027819708,0.0927884,0.9906540280207992,0.16679241
CA_15022,2,0.04744493,0.12020859,0.9842215273529291,0.21781857
CA_15022,3,0.070526555,0.14759944,0.9767790883779526,0.26556838
CA_15022,4,0.09157009,0.1709647,0.9701476246118546,0.3026055
CA_15022,5,0.10991932,0.19256547,0.9644920341670513,0.33154082
CA_15022,6,0.12676047,0.21168607,0.959442738443613,0.35603437
CA_15022,7,0.14640129,0.2300887,0.9535986296832561,0.3826242
CA_15022,8,0.164918,0.24601239,0.9481849893927574,0.406101
CA_15022,9,0.1851849,0.26079544,0.9423471167683601,0.43033114
CA_15022,10,0.20807756,0.27348435,0.9358027502894402,0.4561552
