,horizon,prediction,observed,basin_id
0,1,0.39544287,0.42,CA_15013
1,2,0.39959618,0.45,CA_15013
2,3,0.40163314,0.47999996,CA_15013
3,4,0.40468672,0.51,CA_15013
4,5,0.4068985,0.53999996,CA_15013
5,6,0.40916207,0.57,CA_15013
6,7,0.4087236,0.59000003,CA_15013
7,8,0.40960068,0.62,CA_15013
8,9,0.4118828,0.65,CA_15013
9,10,0.4120219,0.68000007,CA_15013
10,1,0.43088162,0.45,CA_15013
11,2,0.4346074,0.47999996,CA_15013
12,3,0.4366879,0.51,CA_15013
13,4,0.4398291,0.53999996,CA_15013
14,5,0.44215912,0.57,CA_15013
15,6,0.4447214,0.59000003,CA_15013
16,7,0.44461086,0.62,CA_15013
17,8,0.4456632,0.65,CA_15013
18,9,0.44783804,0.68000007,CA_15013
19,10,0.44793648,0.71,CA_15013
20,1,0.44455236,0.47999996,CA_15013
21,2,0.44872838,0.51,CA_15013
22,3,0.45197713,0.53999996,CA_15013
23,4,0.4563793,0.57,CA_15013
24,5,0.459813,0.59000003,CA_15013
25,6,0.46385872,0.62,CA_15013
26,7,0.46495837,0.65,CA_15013
27,8,0.46697488,0.68000007,CA_15013
28,9,0.4695906,0.71,CA_15013
29,10,0.47004396,0.74,CA_15013
30,1,0.4750458,0.51,CA_15013
31,2,0.4814518,0.53999996,CA_15013
32,3,0.48719004,0.57,CA_15013
33,4,0.49375087,0.59000003,CA_15013
34,5,0.49895027,0.62,CA_15013
35,6,0.5047702,0.65,CA_15013
36,7,0.5077778,0.68000007,CA_15013
37,8,0.51129234,0.71,CA_15013
38,9,0.5150458,0.74,CA_15013
39,10,0.516747,0.77,CA_15013
40,1,0.5028657,0.53999996,CA_15013
41,2,0.51123583,0.57,CA_15013
42,3,0.51943594,0.59000003,CA_15013
43,4,0.5282413,0.62,CA_15013
44,5,0.53531075,0.65,CA_15013
45,6,0.5431677,0.68000007,CA_15013
46,7,0.5482089,0.71,CA_15013
47,8,0.55333245,0.74,CA_15013
48,9,0.558193,0.77,CA_15013
49,10,0.5610539,0.8,CA_15013
50,1,0.545099,0.57,CA_15013
51,2,0.5585764,0.59000003,CA_15013
52,3,0.5728378,0.62,CA_15013
53,4,0.58718085,0.65,CA_15013
54,5,0.5988549,0.68000007,CA_15013
55,6,0.6116466,0.71,CA_15013
56,7,0.62158096,0.74,CA_15013
57,8,0.63065517,0.77,CA_15013
58,9,0.6383935,0.8,CA_15013
59,10,0.644209,0.78999996,CA_15013
60,1,0.5673929,0.59000003,CA_15013
61,2,0.58094627,0.62,CA_15013
62,3,0.59530866,0.65,CA_15013
63,4,0.6096456,0.68000007,CA_15013
64,5,0.6213077,0.71,CA_15013
65,6,0.6340176,0.74,CA_15013
66,7,0.64406574,0.77,CA_15013
67,8,0.6531638,0.8,CA_15013
68,9,0.6609015,0.78999996,CA_15013
69,10,0.66683894,0.78999996,CA_15013
70,1,0.58337146,0.62,CA_15013
71,2,0.5946746,0.65,CA_15013
72,3,0.6065831,0.68000007,CA_15013
73,4,0.618598,0.71,CA_15013
74,5,0.6283382,0.74,CA_15013
75,6,0.63898766,0.77,CA_15013
76,7,0.6471892,0.8,CA_15013
77,8,0.654695,0.78999996,CA_15013
78,9,0.6611615,0.78999996,CA_15013
79,10,0.6659359,0.78999996,CA_15013
80,1,0.6994666,0.65,CA_15013
81,2,0.7122149,0.68000007,CA_15013
82,3,0.7271935,0.71,CA_15013
83,4,0.742311,0.74,CA_15013
84,5,0.7552049,0.77,CA_15013
85,6,0.76878774,0.8,CA_15013
86,7,0.77973646,0.78999996,CA_15013
87,8,0.78881437,0.78999996,CA_15013
88,9,0.7958824,0.78999996,CA_15013
89,10,0.8010355,0.78,CA_15013
90,1,0.6940277,0.68000007,CA_15013
91,2,0.7001296,0.71,CA_15013
92,3,0.7061934,0.74,CA_15013
93,4,0.7123507,0.77,CA_15013
94,5,0.71680236,0.8,CA_15013
95,6,0.7220111,0.78999996,CA_15013
96,7,0.72552097,0.78999996,CA_15013
97,8,0.72873706,0.78999996,CA_15013
98,9,0.73148,0.78,CA_15013
99,10,0.73294723,0.78,CA_15013
100,1,0.76403725,0.71,CA_15013
101,2,0.76834154,0.74,CA_15013
102,3,0.7738233,0.77,CA_15013
103,4,0.7798444,0.8,CA_15013
104,5,0.7850337,0.78999996,CA_15013
105,6,0.79040563,0.78999996,CA_15013
106,7,0.7940676,0.78999996,CA_15013
107,8,0.7968987,0.78,CA_15013
108,9,0.7990522,0.78,CA_15013
109,10,0.7997578,0.77,CA_15013
110,1,0.80922556,0.74,CA_15013
111,2,0.8176265,0.77,CA_15013
112,3,0.8271917,0.8,CA_15013
113,4,0.8370045,0.78999996,CA_15013
114,5,0.8450239,0.78999996,CA_15013
115,6,0.8536204,0.78999996,CA_15013
116,7,0.8607209,0.78,CA_15013
117,8,0.866614,0.78,CA_15013
118,9,0.87138516,0.77,CA_15013
119,10,0.8746089,0.77,CA_15013
120,1,0.8752998,0.77,CA_15013
121,2,0.8993378,0.8,CA_15013
122,3,0.9225303,0.78999996,CA_15013
123,4,0.94537264,0.78999996,CA_15013
124,5,0.9652047,0.78999996,CA_15013
125,6,0.98463,0.78,CA_15013
126,7,1.0027455,0.78,CA_15013
127,8,1.0182593,0.77,CA_15013
128,9,1.0323399,0.77,CA_15013
129,10,1.0445973,0.77,CA_15013
130,1,0.95062256,0.8,CA_15013
131,2,0.99570864,0.78999996,CA_15013
132,3,1.0360112,0.78999996,CA_15013
133,4,1.0750877,0.78999996,CA_15013
134,5,1.1058031,0.78,CA_15013
135,6,1.1352832,0.78,CA_15013
136,7,1.1643668,0.77,CA_15013
137,8,1.1917574,0.77,CA_15013
138,9,1.2171011,0.77,CA_15013
139,10,1.2393494,0.76,CA_15013
140,1,0.9756151,0.78999996,CA_15013
141,2,1.0225178,0.78999996,CA_15013
142,3,1.0627103,0.78999996,CA_15013
143,4,1.1007392,0.78,CA_15013
144,5,1.1302695,0.78,CA_15013
145,6,1.1592035,0.77,CA_15013
146,7,1.1885641,0.77,CA_15013
147,8,1.2167063,0.77,CA_15013
148,9,1.2431891,0.76,CA_15013
149,10,1.2673315,0.76,CA_15013
150,1,0.97123307,0.78999996,CA_15013
151,2,1.0159149,0.78999996,CA_15013
152,3,1.0600696,0.78,CA_15013
153,4,1.1033213,0.78,CA_15013
154,5,1.1399465,0.77,CA_15013
155,6,1.1757729,0.77,CA_15013
156,7,1.2101452,0.77,CA_15013
157,8,1.2394933,0.76,CA_15013
158,9,1.2653579,0.76,CA_15013
159,10,1.2891507,0.89,CA_15013
160,1,0.953738,0.78999996,CA_15013
161,2,0.9864304,0.78,CA_15013
162,3,1.0167048,0.78,CA_15013
163,4,1.0486131,0.77,CA_15013
164,5,1.0756,0.77,CA_15013
165,6,1.103911,0.77,CA_15013
166,7,1.135213,0.76,CA_15013
167,8,1.1642753,0.76,CA_15013
168,9,1.1923362,0.89,CA_15013
169,10,1.2210249,0.75,CA_15013
170,1,1.0204011,0.78,CA_15013
171,2,1.0734128,0.78,CA_15013
172,3,1.1250079,0.77,CA_15013
173,4,1.1777176,0.77,CA_15013
174,5,1.2233341,0.77,CA_15013
175,6,1.2685553,0.76,CA_15013
176,7,1.316564,0.76,CA_15013
