horizon,MSE,MAE,NSE,RMSE
1,0.045457784,0.08518499,0.9754544254392385,0.21320832
2,0.080214895,0.11584611,0.9567111358046532,0.28322235
3,0.11343672,0.14260574,0.938818596303463,0.33680367
4,0.14421313,0.16493627,0.9222658425569534,0.37975404
5,0.1716797,0.18390875,0.9075166061520576,0.4143425
6,0.19646561,0.20049119,0.8942252993583679,0.44324443
7,0.21847823,0.21419132,0.882446326315403,0.46741655
8,0.23761734,0.22642191,0.8722350001335144,0.4874601
9,0.2543281,0.23697053,0.8633443713188171,0.50430954
10,0.26915443,0.2464921,0.8554783016443253,0.518801
