,horizon,prediction,observed,basin_id
0,1,0.39934602,0.42,CA_15013
1,2,0.40720025,0.45,CA_15013
2,3,0.41884798,0.47999996,CA_15013
3,4,0.43359035,0.51,CA_15013
4,5,0.4471919,0.53999996,CA_15013
5,6,0.46333727,0.57,CA_15013
6,7,0.47747865,0.59000003,CA_15013
7,8,0.48846236,0.62,CA_15013
8,9,0.49861446,0.65,CA_15013
9,10,0.50769186,0.68000007,CA_15013
10,1,0.43394595,0.45,CA_15013
11,2,0.45018873,0.47999996,CA_15013
12,3,0.47499108,0.51,CA_15013
13,4,0.5042013,0.53999996,CA_15013
14,5,0.5320992,0.57,CA_15013
15,6,0.56201714,0.59000003,CA_15013
16,7,0.58818054,0.62,CA_15013
17,8,0.6101259,0.65,CA_15013
18,9,0.6279549,0.68000007,CA_15013
19,10,0.64323604,0.71,CA_15013
20,1,0.4299856,0.47999996,CA_15013
21,2,0.4434654,0.51,CA_15013
22,3,0.46460193,0.53999996,CA_15013
23,4,0.48946455,0.57,CA_15013
24,5,0.5129843,0.59000003,CA_15013
25,6,0.53865564,0.62,CA_15013
26,7,0.56114644,0.65,CA_15013
27,8,0.58019257,0.68000007,CA_15013
28,9,0.5957374,0.71,CA_15013
29,10,0.6091695,0.74,CA_15013
30,1,0.4496099,0.51,CA_15013
31,2,0.46221298,0.53999996,CA_15013
32,3,0.48130167,0.57,CA_15013
33,4,0.50370824,0.59000003,CA_15013
34,5,0.5248286,0.62,CA_15013
35,6,0.5483044,0.65,CA_15013
36,7,0.5689664,0.68000007,CA_15013
37,8,0.5858313,0.71,CA_15013
38,9,0.59958124,0.74,CA_15013
39,10,0.6114069,0.77,CA_15013
40,1,0.488102,0.53999996,CA_15013
41,2,0.5010649,0.57,CA_15013
42,3,0.51983607,0.59000003,CA_15013
43,4,0.5425064,0.62,CA_15013
44,5,0.56430423,0.65,CA_15013
45,6,0.5884244,0.68000007,CA_15013
46,7,0.6093512,0.71,CA_15013
47,8,0.6254565,0.74,CA_15013
48,9,0.6388361,0.77,CA_15013
49,10,0.6502538,0.8,CA_15013
50,1,0.5351419,0.57,CA_15013
51,2,0.5500047,0.59000003,CA_15013
52,3,0.5719898,0.62,CA_15013
53,4,0.59913313,0.65,CA_15013
54,5,0.62629634,0.68000007,CA_15013
55,6,0.65599537,0.71,CA_15013
