horizon,MSE,MAE,NSE,RMSE
1,0.047415547,0.08973624,0.9743973035365343,0.21775112
2,0.08320156,0.12093812,0.9550993479788303,0.2884468
3,0.11579563,0.14624535,0.9375463351607323,0.34028757
4,0.14494182,0.16732866,0.9218730553984642,0.38071224
5,0.17163658,0.18608457,0.9075398370623589,0.41429046
6,0.1963259,0.20252723,0.8943005129694939,0.44308677
7,0.21769066,0.2166458,0.8828700855374336,0.46657333
8,0.23677765,0.22913677,0.8726864904165268,0.48659804
9,0.2550125,0.24082117,0.862976610660553,0.50498766
10,0.2706401,0.25054172,0.8546805828809738,0.5202308
