basin_id,horizon,MSE,MAE,NSE,RMSE
CA_15013,1,0.29956993,0.33496246,0.8815135583281517,0.54732984
CA_15013,2,0.39874536,0.38510364,0.8423981219530106,0.6314629
CA_15013,3,0.46858478,0.41452157,0.8149257898330688,0.6845325
CA_15013,4,0.515712,0.4269404,0.7964136153459549,0.71813095
CA_15013,5,0.5757736,0.44519216,0.7728706002235413,0.75879747
CA_15013,6,0.64837366,0.46095246,0.7443623840808868,0.80521655
CA_15013,7,0.6990351,0.46618316,0.7243529260158539,0.8360832
CA_15013,8,0.76693654,0.47798565,0.6975329220294952,0.8757491
CA_15013,9,0.8153613,0.4876919,0.6785246729850769,0.9029736
CA_15013,10,0.8415726,0.49641034,0.6683805584907532,0.91737264
CA_15020,1,0.28375396,0.31643456,0.8725371956825256,0.53268564
CA_15020,2,0.29576397,0.3283102,0.8680477440357208,0.54384184
CA_15020,3,0.29186702,0.33240324,0.8707324415445328,0.5402472
CA_15020,4,0.28094995,0.3313078,0.8765229359269142,0.5300471
CA_15020,5,0.30073383,0.33905002,0.8688327968120575,0.54839206
CA_15020,6,0.3140801,0.34264225,0.8640421777963638,0.5604285
CA_15020,7,0.3350885,0.3539796,0.8560244143009186,0.57886827
CA_15020,8,0.35758767,0.36333215,0.8476445823907852,0.59798634
CA_15020,9,0.38147062,0.37620223,0.8390955477952957,0.6176331
CA_15020,10,0.39339608,0.38320413,0.835498496890068,0.62721294
CA_15022,1,0.59964263,0.46316,0.8032302111387253,0.77436596
CA_15022,2,0.61581266,0.4618572,0.7998746186494827,0.7847373
CA_15022,3,0.57833594,0.44605276,0.8138439208269119,0.76048404
CA_15022,4,0.49235877,0.4153291,0.8430146872997284,0.7016828
CA_15022,5,0.4661554,0.40538108,0.8526699542999268,0.68275577
CA_15022,6,0.4848926,0.41900486,0.8481587469577789,0.6963423
CA_15022,7,0.50954366,0.43840477,0.8418895453214645,0.71382326
CA_15022,8,0.5427731,0.4585491,0.8329968601465225,0.7367314
CA_15022,9,0.5728778,0.47654295,0.8252969682216644,0.75688696
CA_15022,10,0.5419603,0.4691316,0.8361661434173584,0.73617953
CA_15025,1,0.60030717,0.45946246,0.27515923976898193,0.77479494
CA_15025,2,0.5955912,0.45770082,0.2839415669441223,0.77174556
CA_15025,3,0.5836482,0.45323873,0.3016403317451477,0.7639687
CA_15025,4,0.5649814,0.44331634,0.3276190757751465,0.7516524
CA_15025,5,0.5772216,0.44544652,0.31732094287872314,0.759751
CA_15025,6,0.5805953,0.4403171,0.31739288568496704,0.7619681
CA_15025,7,0.59540373,0.4454283,0.3038715124130249,0.7716241
CA_15025,8,0.60470605,0.44840842,0.29950302839279175,0.7776285
CA_15025,9,0.62701803,0.45794764,0.27962183952331543,0.7918447
CA_15025,10,0.6125796,0.4554328,0.30160242319107056,0.7826746
CA_15039,1,0.037281748,0.10938747,0.9120754823088646,0.19308482
CA_15039,2,0.05678695,0.13174376,0.8661566972732544,0.23830013
