,horizon,prediction,observed,basin_id
0,1,4.0897665,2.7799997,CA_15013
1,2,4.2784758,2.7799997,CA_15013
2,3,4.295456,3.0799997,CA_15013
3,4,4.328087,2.7799997,CA_15013
4,5,4.3730907,3.0799997,CA_15013
5,6,4.3954997,3.63,CA_15013
6,7,4.517296,3.63,CA_15013
7,8,4.563878,3.2699997,CA_15013
8,9,4.5697293,2.9299996,CA_15013
9,10,4.5995865,3.63,CA_15013
10,1,4.344188,2.7799997,CA_15013
11,2,4.513088,3.0799997,CA_15013
12,3,4.5425835,2.7799997,CA_15013
13,4,4.542468,3.0799997,CA_15013
14,5,4.5759015,3.63,CA_15013
15,6,4.583784,3.63,CA_15013
16,7,4.6837897,3.2699997,CA_15013
17,8,4.726529,2.9299996,CA_15013
18,9,4.746603,3.63,CA_15013
19,10,4.7641296,4.1999993,CA_15013
20,1,4.3094435,3.0799997,CA_15013
21,2,4.465106,2.7799997,CA_15013
22,3,4.4809113,3.0799997,CA_15013
23,4,4.4344325,3.63,CA_15013
24,5,4.460404,3.63,CA_15013
25,6,4.4578,3.2699997,CA_15013
26,7,4.5531487,2.9299996,CA_15013
27,8,4.59464,3.63,CA_15013
28,9,4.6478257,4.1999993,CA_15013
29,10,4.6560254,3.8299997,CA_15013
30,1,4.301038,2.7799997,CA_15013
31,2,4.4485703,3.0799997,CA_15013
32,3,4.4572854,3.63,CA_15013
33,4,4.4124274,3.63,CA_15013
34,5,4.4513707,3.2699997,CA_15013
35,6,4.46466,2.9299996,CA_15013
36,7,4.5728083,3.63,CA_15013
37,8,4.609821,4.1999993,CA_15013
38,9,4.6712017,3.8299997,CA_15013
39,10,4.6772614,4.43,CA_15013
40,1,4.2272635,3.0799997,CA_15013
41,2,4.4076805,3.63,CA_15013
42,3,4.4087825,3.63,CA_15013
43,4,4.345318,3.2699997,CA_15013
44,5,4.3960447,2.9299996,CA_15013
45,6,4.438623,3.63,CA_15013
46,7,4.5665913,4.1999993,CA_15013
47,8,4.569623,3.8299997,CA_15013
48,9,4.6471195,4.43,CA_15013
49,10,4.6159425,3.4699998,CA_15013
50,1,4.290415,3.63,CA_15013
51,2,4.4683433,3.63,CA_15013
52,3,4.468872,3.2699997,CA_15013
53,4,4.413772,2.9299996,CA_15013
54,5,4.464837,3.63,CA_15013
55,6,4.508084,4.1999993,CA_15013
56,7,4.6221333,3.8299997,CA_15013
57,8,4.616269,4.43,CA_15013
58,9,4.6749625,3.4699998,CA_15013
59,10,4.6333756,3.4699998,CA_15013
60,1,4.3852787,3.63,CA_15013
61,2,4.6229463,3.2699997,CA_15013
62,3,4.582825,2.9299996,CA_15013
63,4,4.5437236,3.63,CA_15013
64,5,4.587528,4.1999993,CA_15013
65,6,4.6495523,3.8299997,CA_15013
66,7,4.7844763,4.43,CA_15013
67,8,4.7419453,3.4699998,CA_15013
68,9,4.7839127,3.4699998,CA_15013
69,10,4.7327623,3.4699998,CA_15013
70,1,4.5880933,3.2699997,CA_15013
71,2,4.8611593,2.9299996,CA_15013
72,3,4.8290114,3.63,CA_15013
73,4,4.7340245,4.1999993,CA_15013
74,5,4.7848406,3.8299997,CA_15013
75,6,4.8568974,4.43,CA_15013
76,7,4.98857,3.4699998,CA_15013
77,8,4.9086637,3.4699998,CA_15013
78,9,4.9829674,3.4699998,CA_15013
79,10,4.8884826,3.9999995,CA_15013
80,1,4.6082134,2.9299996,CA_15013
81,2,4.872856,3.63,CA_15013
82,3,4.873734,4.1999993,CA_15013
83,4,4.785751,3.8299997,CA_15013
84,5,4.8348026,4.43,CA_15013
85,6,4.8823485,3.4699998,CA_15013
86,7,5.0119963,3.4699998,CA_15013
87,8,4.962253,3.4699998,CA_15013
88,9,5.0343804,3.9999995,CA_15013
89,10,4.9518805,4.43,CA_15013
90,1,4.550772,3.63,CA_15013
91,2,4.786683,4.1999993,CA_15013
92,3,4.823246,3.8299997,CA_15013
93,4,4.7648306,4.43,CA_15013
94,5,4.8128834,3.4699998,CA_15013
95,6,4.8392563,3.4699998,CA_15013
96,7,4.928686,3.4699998,CA_15013
97,8,4.8802805,3.9999995,CA_15013
98,9,4.9198284,4.43,CA_15013
99,10,4.8646784,4.6299996,CA_15013
100,1,4.713581,4.1999993,CA_15013
101,2,4.9940157,3.8299997,CA_15013
102,3,5.0155005,4.43,CA_15013
103,4,4.9175777,3.4699998,CA_15013
104,5,4.976035,3.4699998,CA_15013
105,6,5.0195613,3.4699998,CA_15013
106,7,5.1345754,3.9999995,CA_15013
107,8,5.065073,4.43,CA_15013
108,9,5.145046,4.6299996,CA_15013
109,10,5.057588,4.6299996,CA_15013
110,1,4.9182177,3.8299997,CA_15013
111,2,5.1842036,4.43,CA_15013
112,3,5.2037597,3.4699998,CA_15013
113,4,5.107025,3.4699998,CA_15013
114,5,5.1699176,3.4699998,CA_15013
115,6,5.2336082,3.9999995,CA_15013
116,7,5.3503294,4.43,CA_15013
117,8,5.275024,4.6299996,CA_15013
118,9,5.34351,4.6299996,CA_15013
119,10,5.2291403,4.43,CA_15013
120,1,4.6485963,4.43,CA_15013
121,2,4.844035,3.4699998,CA_15013
122,3,4.8482656,3.4699998,CA_15013
123,4,4.7882223,3.4699998,CA_15013
124,5,4.848266,3.9999995,CA_15013
125,6,4.8787146,4.43,CA_15013
126,7,4.9744706,4.6299996,CA_15013
127,8,4.926756,4.6299996,CA_15013
128,9,4.9571943,4.43,CA_15013
129,10,4.880499,4.43,CA_15013
130,1,4.8287754,3.4699998,CA_15013
131,2,5.0445094,3.4699998,CA_15013
132,3,5.010154,3.4699998,CA_15013
133,4,4.937029,3.9999995,CA_15013
134,5,4.971977,4.43,CA_15013
135,6,5.0029917,4.6299996,CA_15013
136,7,5.1131344,4.6299996,CA_15013
137,8,5.0611205,4.43,CA_15013
138,9,5.098955,4.43,CA_15013
139,10,5.02212,4.43,CA_15013
140,1,4.5863953,3.4699998,CA_15013
141,2,4.819476,3.4699998,CA_15013
142,3,4.8201227,3.9999995,CA_15013
143,4,4.7425075,4.43,CA_15013
144,5,4.791365,4.6299996,CA_15013
145,6,4.841624,4.6299996,CA_15013
146,7,4.944796,4.43,CA_15013
147,8,4.8637676,4.43,CA_15013
148,9,4.914346,4.43,CA_15013
149,10,4.838953,3.63,CA_15013
150,1,4.771633,3.4699998,CA_15013
151,2,5.013504,3.9999995,CA_15013
152,3,5.0293217,4.43,CA_15013
153,4,4.9273767,4.6299996,CA_15013
154,5,4.996316,4.6299996,CA_15013
155,6,5.0727415,4.43,CA_15013
156,7,5.1904607,4.43,CA_15013
157,8,5.1065936,4.43,CA_15013
158,9,5.188445,3.63,CA_15013
159,10,5.08685,3.8299997,CA_15013
160,1,4.897545,3.9999995,CA_15013
161,2,5.095293,4.43,CA_15013
162,3,5.1486015,4.6299996,CA_15013
163,4,5.0445185,4.6299996,CA_15013
164,5,5.111359,4.43,CA_15013
165,6,5.197128,4.43,CA_15013
166,7,5.2970104,4.43,CA_15013
167,8,5.2227964,3.63,CA_15013
168,9,5.2969327,3.8299997,CA_15013
169,10,5.192638,3.63,CA_15013
170,1,5.08614,4.43,CA_15013
171,2,5.289405,4.6299996,CA_15013
172,3,5.336935,4.6299996,CA_15013
173,4,5.201066,4.43,CA_15013
174,5,5.243742,4.43,CA_15013
175,6,5.3316326,4.43,CA_15013
176,7,5.4276443,3.63,CA_15013
177,8,5.3524685,3.8299997,CA_15013
178,9,5.4439707,3.63,CA_15013
179,10,5.314621,3.63,CA_15013
180,1,5.1795154,4.6299996,CA_15013
181,2,5.4037523,4.6299996,CA_15013
182,3,5.4241943,4.43,CA_15013
183,4,5.2751875,4.43,CA_15013
184,5,5.3303113,4.43,CA_15013
185,6,5.4341044,3.63,CA_15013
186,7,5.5463076,3.8299997,CA_15013
187,8,5.464649,3.63,CA_15013
188,9,5.5575943,3.63,CA_15013
189,10,5.410837,3.4699998,CA_15013
190,1,5.1481714,4.6299996,CA_15013
191,2,5.366255,4.43,CA_15013
192,3,5.356097,4.43,CA_15013
193,4,5.2040014,4.43,CA_15013
194,5,5.2475996,3.63,CA_15013
195,6,5.3474693,3.8299997,CA_15013
196,7,5.4626493,3.63,CA_15013
197,8,5.3835974,3.63,CA_15013
198,9,5.4688005,3.4699998,CA_15013
199,10,5.320547,3.63,CA_15013
200,1,5.1744976,4.43,CA_15013
201,2,5.400293,4.43,CA_15013
202,3,5.405339,4.43,CA_15013
203,4,5.2429667,3.63,CA_15013
204,5,5.292995,3.8299997,CA_15013
205,6,5.413961,3.63,CA_15013
206,7,5.529692,3.63,CA_15013
207,8,5.406645,3.4699998,CA_15013
208,9,5.496507,3.63,CA_15013
209,10,5.329359,4.1999993,CA_15013
210,1,5.1003346,4.43,CA_15013
211,2,5.3201547,4.43,CA_15013
212,3,5.349655,3.63,CA_15013
213,4,5.1851554,3.8299997,CA_15013
214,5,5.2550564,3.63,CA_15013
215,6,5.3612437,3.63,CA_15013
216,7,5.469119,3.4699998,CA_15013
217,8,5.343025,3.63,CA_15013
218,9,5.4240913,4.1999993,CA_15013
219,10,5.270458,3.4699998,CA_15013
220,1,4.99792,4.43,CA_15013
221,2,5.201004,3.63,CA_15013
222,3,5.2272625,3.8299997,CA_15013
223,4,5.0839515,3.63,CA_15013
224,5,5.155555,3.63,CA_15013
225,6,5.2591095,3.4699998,CA_15013
226,7,5.362913,3.63,CA_15013
227,8,5.2427983,4.1999993,CA_15013
228,9,5.3109612,3.4699998,CA_15013
229,10,5.1728463,3.9999995,CA_15013
230,1,5.1461697,3.63,CA_15013
231,2,5.352702,3.8299997,CA_15013
232,3,5.3924236,3.63,CA_15013
233,4,5.254101,3.63,CA_15013
234,5,5.32998,3.4699998,CA_15013
235,6,5.422663,3.63,CA_15013
236,7,5.518795,4.1999993,CA_15013
237,8,5.406993,3.4699998,CA_15013
238,9,5.4530687,3.9999995,CA_15013
239,10,5.308449,3.9999995,CA_15013
240,1,4.8872643,3.8299997,CA_15013
241,2,5.0884337,3.63,CA_15013
242,3,5.1472673,3.63,CA_15013
243,4,5.0142837,3.4699998,CA_15013
244,5,5.0972795,3.63,CA_15013
245,6,5.18367,4.1999993,CA_15013
246,7,5.2609944,3.4699998,CA_15013
247,8,5.148963,3.9999995,CA_15013
248,9,5.189791,3.9999995,CA_15013
249,10,5.0583825,3.63,CA_15013
250,1,4.790968,3.63,CA_15013
251,2,4.993202,3.63,CA_15013
252,3,5.0415277,3.4699998,CA_15013
253,4,4.9086237,3.63,CA_15013
254,5,5.004948,4.1999993,CA_15013
255,6,5.0786653,3.4699998,CA_15013
256,7,5.16491,3.9999995,CA_15013
257,8,5.0335016,3.9999995,CA_15013
258,9,5.0797486,3.63,CA_15013
259,10,4.960733,4.6299996,CA_15013
260,1,4.644758,3.63,CA_15013
261,2,4.8299665,3.4699998,CA_15013
262,3,4.8842545,3.63,CA_15013
263,4,4.752479,4.1999993,CA_15013
264,5,4.8435116,3.4699998,CA_15013
265,6,4.9235244,3.9999995,CA_15013
