horizon,MSE,MAE,NSE,RMSE
1,0.15686518,0.18779585,0.9151948764920235,0.39606208
2,0.18588579,0.20536143,0.8995141386985779,0.43114474
3,0.20901598,0.22101468,0.8870162069797516,0.45718265
4,0.22790818,0.23391868,0.8768208622932434,0.4773973
5,0.25172633,0.24773389,0.8638411313295364,0.50172335
6,0.2729353,0.25733483,0.8523094207048416,0.5224321
7,0.2935083,0.26800844,0.8410994410514832,0.5417641
8,0.3126635,0.2778573,0.8307278752326965,0.5591632
9,0.3304658,0.2875087,0.8211061805486679,0.5748615
10,0.33927494,0.29381257,0.8163479417562485,0.5824731
