basin_id,horizon,group,MSE,MAE,NSE,RMSE
CA_15013,1,group2,0.53352237,0.515247,0.7597616612911224,0.73042613
CA_15013,2,group2,0.74466693,0.5946424,0.663029283285141,0.86294085
CA_15013,3,group2,0.8947049,0.64929354,0.5934324562549591,0.9458884
CA_15013,4,group2,1.021198,0.68801934,0.5342435538768768,1.0105435
CA_15013,5,group2,1.0887768,0.7030369,0.5020228624343872,1.0434446
CA_15013,6,group2,1.1369567,0.7055585,0.47863322496414185,1.0662817
CA_15013,7,group2,1.214398,0.72479796,0.44193941354751587,1.1019973
CA_15013,8,group2,1.2994058,0.7450386,0.40194833278656006,1.1399149
CA_15013,9,group2,1.3370559,0.75548583,0.3834414482116699,1.1563114
CA_15013,10,group2,1.3686533,0.7644642,0.36804884672164917,1.1698946
CA_15039,1,group2,0.08033567,0.2019458,0.7844290733337402,0.28343546
CA_15039,2,group2,0.12861755,0.25131187,0.6536133885383606,0.3586329
CA_15039,3,group2,0.1588976,0.27663416,0.5702446103096008,0.39861962
CA_15039,4,group2,0.18538728,0.29579827,0.49657076597213745,0.43056622
CA_15039,5,group2,0.2011445,0.3110792,0.4513928294181824,0.44849136
CA_15039,6,group2,0.21325536,0.3214923,0.41563767194747925,0.4617958
CA_15039,7,group2,0.22864962,0.33277884,0.3707524538040161,0.4781732
CA_15039,8,group2,0.24831873,0.3510216,0.3140747547149658,0.4983159
CA_15039,9,group2,0.26412824,0.36402005,0.267617404460907,0.5139341
CA_15039,10,group2,0.27524522,0.37197638,0.23405241966247559,0.5246382
CA_15259,1,group2,0.0075797257,0.054971136,0.7707978039979935,0.08706162
CA_15259,2,group2,0.012391727,0.06993233,0.6425543129444122,0.111318134
CA_15259,3,group2,0.017024392,0.08112978,0.5393193066120148,0.13047755
CA_15259,4,group2,0.020607784,0.08862494,0.47175711393356323,0.14355412
CA_15259,5,group2,0.024108605,0.095420726,0.4182501435279846,0.15526946
CA_15259,6,group2,0.027345777,0.10392233,0.37641698122024536,0.16536559
CA_15259,7,group2,0.030017888,0.11046331,0.34409409761428833,0.17325671
CA_15259,8,group2,0.03256508,0.115100905,0.3254241943359375,0.18045796
CA_15259,9,group2,0.036465414,0.12311207,0.2811504006385803,0.1909592
CA_15259,10,group2,0.039938442,0.1285131,0.25074613094329834,0.19984604
CA_15283,1,group2,0.20652953,0.30527055,0.8993213623762131,0.4544552
CA_15283,2,group2,0.3445379,0.38216284,0.8316735029220581,0.58697355
CA_15283,3,group2,0.47974318,0.4497651,0.765123724937439,0.69263494
CA_15283,4,group2,0.6090442,0.5077216,0.7011565864086151,0.78041285
CA_15283,5,group2,0.71560806,0.5509922,0.6481094360351562,0.8459362
CA_15283,6,group2,0.7637105,0.5695058,0.6236393451690674,0.8739053
CA_15283,7,group2,0.8480436,0.59879667,0.5812866687774658,0.92089283
CA_15283,8,group2,0.9582337,0.6348381,0.525969386100769,0.9788941
CA_15283,9,group2,1.0514367,0.66364086,0.478851854801178,1.0253959
CA_15283,10,group2,1.1348493,0.6905529,0.4363780617713928,1.0652931
CA_15287,1,group2,0.03553911,0.13481756,0.9158076047897339,0.1885182
CA_15287,2,group2,0.05299551,0.16021141,0.8741216957569122,0.23020753
CA_15287,3,group2,0.07385215,0.18589488,0.8241405785083771,0.2717575
CA_15287,4,group2,0.09487099,0.20939197,0.7735583484172821,0.30801135
CA_15287,5,group2,0.11337969,0.2280177,0.7287631332874298,0.336719
CA_15287,6,group2,0.12691823,0.23815835,0.6957009434700012,0.35625583
CA_15287,7,group2,0.1462048,0.2539514,0.648700475692749,0.38236737
CA_15287,8,group2,0.16824226,0.27243343,0.5948382318019867,0.41017345
CA_15287,9,group2,0.18835059,0.2891568,0.5453721582889557,0.43399376
CA_15287,10,group2,0.2054866,0.30465224,0.5028854012489319,0.4533063
CA_16055,1,group2,0.08043287,0.20188273,0.8477471470832825,0.2836069
CA_16055,2,group2,0.12794958,0.24621285,0.7571446001529694,0.3577004
CA_16055,3,group2,0.1770289,0.27789524,0.663102924823761,0.42074803
CA_16055,4,group2,0.21677002,0.30378395,0.586367666721344,0.46558568
CA_16055,5,group2,0.24704847,0.3237311,0.5273333787918091,0.4970397
CA_16055,6,group2,0.27229542,0.3439032,0.47759121656417847,0.52181935
CA_16055,7,group2,0.29594955,0.36159536,0.430713415145874,0.5440124
CA_16055,8,group2,0.31927153,0.37599048,0.3843955993652344,0.5650412
CA_16055,9,group2,0.33812535,0.38535437,0.3466089963912964,0.58148545
CA_16055,10,group2,0.3522538,0.39151365,0.31780582666397095,0.59350973
CA_16068,1,group2,0.01089078,0.054568373,0.9523685984313488,0.1043589
CA_16068,2,group2,0.0175058,0.064002916,0.9209854230284691,0.13230948
CA_16068,3,group2,0.025767878,0.07113679,0.8796916753053665,0.16052376
CA_16068,4,group2,0.03307938,0.07750634,0.8402971625328064,0.18187737
CA_16068,5,group2,0.040007867,0.086294055,0.8030326962471008,0.20001967
CA_16068,6,group2,0.045934003,0.093319856,0.7706654965877533,0.2143222
CA_16068,7,group2,0.051151402,0.09489152,0.7443630397319794,0.22616675
