gauge_id,hii,human_influence_category
CH_2009,0.3950347297079331,High
CH_2011,0.35841634628099067,High
CH_2016,0.5055201954768429,High
CH_2018,0.5702961804650246,High
CH_2019,0.34812753335826574,High
CH_2020,0.3756953822135277,High
CH_2024,0.3769509470068044,High
CH_2033,0.3271211512117905,Medium
CH_2034,0.3775610820739681,High
CH_2044,0.43746214460151334,High
CH_2053,0.37814152518146227,High
CH_2056,0.29113457081022714,Medium
CH_2063,0.47363427841161554,High
CH_2067,0.3178190922414568,Medium
CH_2070,0.34022944347688105,Medium
CH_2078,0.30928517789000504,Medium
CH_2084,0.31542729540494097,Medium
CH_2085,0.5184498384802245,High
CH_2086,0.3595067142248862,High
CH_2087,0.2979985417130527,Medium
CH_2091,0.46444187474145987,High
CH_2106,0.40918783584313245,High
CH_2109,0.36508576833730877,High
CH_2110,0.49211493699444175,High
CH_2112,0.3337177804556194,Medium
CH_2117,0.3691689249914932,High
CH_2119,0.3829882933156058,High
CH_2122,0.3886878881382657,High
CH_2126,0.4445661400114407,High
CH_2132,0.5434504020283856,High
CH_2135,0.4453367506366549,High
CH_2139,0.4689447814396781,High
CH_2141,0.3321536569501119,Medium
CH_2143,0.5423158916582228,High
CH_2150,0.3404087182977982,Medium
CH_2151,0.34111411242587003,Medium
CH_2155,0.4131701402461861,High
CH_2159,0.4071054065303926,High
CH_2160,0.34948370172469945,High
CH_2161,0.30392235093141956,Medium
CH_2170,0.44569354824585156,High
CH_2174,0.5735147952969003,High
CH_2176,0.5154391080551027,High
CH_2179,0.3436025274838357,Medium
CH_2181,0.4576292934361308,High
CH_2185,0.36428089067303887,High
CH_2187,0.46326085335107164,High
CH_2199,0.43613314001989784,High
CH_2200,0.3366438333975356,Medium
CH_2202,0.49767621785303223,High
CH_2203,0.4110248966998434,High
CH_2205,0.6015009783234838,High
CH_2210,0.33732781074257545,Medium
CH_2215,0.4238304772397224,High
CH_2239,0.3558461700803028,High
CH_2243,0.6567112492611752,High
CH_2247,0.32570313377250176,Medium
CH_2262,0.3168780021627149,Medium
CH_2263,0.3206513056275876,Medium
CH_2265,0.32113040582582036,Medium
CH_2269,0.312921156054101,Medium
CH_2270,0.35719313294542215,High
CH_2289,0.5362180039069497,High
CH_2290,0.33278111971094115,Medium
CH_2303,0.37239092456705397,High
CH_2307,0.39922574466731536,High
CH_2321,0.4450205361700897,High
CH_2342,0.33450020960082705,Medium
CH_2346,0.30817814867379123,Medium
CH_2351,0.3198264266610352,Medium
CH_2352,0.3456443231543078,Medium
CH_2355,0.33192185069893954,Medium
CH_2364,0.3390161102241332,Medium
